ctgry,media_jp,title_pickup,title_articles,link_pickup,link_articles,date_original
it,読売新聞オンライン,ぷよぷよ生みの親 今は家賃5万円,ぷよぷよ生みの親、売上高７０億円の絶頂からわずか一年で「ぷよ」のように会社はじけ人生一転…「ぷよの縁」再びゲーム開発の世界に,https://news.yahoo.co.jp/pickup/6484596,https://news.yahoo.co.jp/articles/8809b2b3986920bcb2fbc176cfbf17abc1227435,12/11(月) 11:07
it,MBSニュース,auの通信障害、すべて復旧,【速報】auの通信障害が「全面復旧」音声通話・SMSなどに一時影響　au、UQmobile、povo　UQ WiMAXなど　原因は調査中,https://news.yahoo.co.jp/pickup/6484594,https://news.yahoo.co.jp/articles/714f8dd4d0bb8143342a8a9bb8ad522fc363d71a,12/11(月) 10:55
it,MBSニュース,auの通信障害 全国に範囲拡大,【速報】auの通信障害 範囲は全国に拡大　音声通話・SMSは復旧　au、UQmobile、povo　UQ WiMAXなど　データ通信が利用しづらい／利用できない　原因調査中,https://news.yahoo.co.jp/pickup/6484591,https://news.yahoo.co.jp/articles/6b2f853cedba0d43c2dc8e783c34f49839d095e8,12/11(月) 10:30
it,読売新聞オンライン,絶頂→倒産 ぷよぷよ生みの親の今,ぷよぷよ生みの親、売上高７０億円の絶頂からわずか一年で「ぷよ」のように会社はじけ人生一転…「ぷよの縁」再びゲーム開発の世界に,https://news.yahoo.co.jp/pickup/6484585,https://news.yahoo.co.jp/articles/8809b2b3986920bcb2fbc176cfbf17abc1227435,12/11(月) 9:44
it,MBSニュース,au回線 西日本エリアで通信障害,【速報】auが西日本エリアで通信障害　au、UQmobile、povo　UQ WiMAXなど　音声通話・データ通信が利用しづらい／利用できない　原因調査中,https://news.yahoo.co.jp/pickup/6484581,https://news.yahoo.co.jp/articles/6b2f853cedba0d43c2dc8e783c34f49839d095e8,12/11(月) 8:41
it,スポニチアネックス,運命の日 大谷12/9発表にSNS反応,大谷翔平の「12・9」にSNS騒然　「運命の日」「特別な意味」　日本ハム、エンゼルスに続く入団発表,https://news.yahoo.co.jp/pickup/6484519,https://news.yahoo.co.jp/articles/90511aeade751ca3ee49bebb47b5e0f68a000cb9,12/10(日) 14:48
it,Bloomberg,iPhoneデザイン担当責任者退社へ,アップル、iPhoneとWatchのデザイン担当責任者が退社へ－関係者,https://news.yahoo.co.jp/pickup/6484442,https://news.yahoo.co.jp/articles/1020d251e4c225c8eb56a7afae1a9e607b4a24c2,12/9(土) 15:24
it,朝日新聞デジタル,EU 初の包括的AI規制で大筋合意,EU、世界初の包括的AI規制で大筋合意　日本など外国企業にも影響,https://news.yahoo.co.jp/pickup/6484435,https://news.yahoo.co.jp/articles/50f6a7428b8dc4b732088b9c98fd109f5c471918,12/9(土) 13:33
it,朝日新聞デジタル,EU 初の包括的AI規制で政治合意,EU、世界初の包括的AI規制で政治合意　日本など外国企業にも影響,https://news.yahoo.co.jp/pickup/6484424,https://news.yahoo.co.jp/articles/50f6a7428b8dc4b732088b9c98fd109f5c471918,12/9(土) 10:27
it,文春オンライン,NHK BSネット配信巡る騒動の内幕,《“厳秘”議事録入手》NHK副会長が前体制の「違法性」に言及で役員会大荒れ　広報も「再発防止の徹底」とコメント,https://news.yahoo.co.jp/pickup/6484370,https://news.yahoo.co.jp/articles/2cd91d82b7f7dbb470519991e7a45f0488038ab8,12/8(金) 19:33
it,ファミ通.com,モンハン新作 2025年に発売へ,【モンハン新作】『モンスターハンター ワイルズ』が2025年に発売決定。PS5、Xbox Series X|S、PCで展開【The Game Awards 2023】,https://news.yahoo.co.jp/pickup/6484342,https://news.yahoo.co.jp/articles/771a69baddb3cf3b39ece0a160a0209c13b0d572,12/8(金) 15:16
it,TBS NEWS DIG Powered by JNN,X、日本でも技術者を新規採用へ,旧ツイッター“X”　今後日本でも技術者採用へ,https://news.yahoo.co.jp/pickup/6484333,https://news.yahoo.co.jp/articles/1fdf86eddb394de14ac789e2ea5c9c8fedfa52e7,12/8(金) 13:35
it,Forbes JAPAN,ひき肉です バズり続ける理由解明,TikTokで5.7億回再生、「ひき肉です」がミーム化でバズり続ける理由,https://news.yahoo.co.jp/pickup/6484331,https://news.yahoo.co.jp/articles/884bc3b11bf691231e494b45ab9f4bb7b9139fda,12/8(金) 13:14
it,ファミ通.com,「聖剣伝説」新作 24年に発売決定,『聖剣伝説』シリーズ新作『聖剣伝説 ヴィジョンズ オブ マナ』が2024年発売決定！ ハードはPS5/PS4、XSX|S、PC【The Game Awards 2023】,https://news.yahoo.co.jp/pickup/6484322,https://news.yahoo.co.jp/articles/929491ba97fe7ecc636c2807226665cecf446795,12/8(金) 11:49
it,産経新聞,20代6割がスマホ依存症自覚 調査,２０代は６割が「スマホ依存症」自覚　老眼世代の５０代は７割以上が「目に疲れ」,https://news.yahoo.co.jp/pickup/6484305,https://news.yahoo.co.jp/articles/c76c4b167d01b63e1d6c13173ec3c95fe4b303dd,12/8(金) 9:53
it,オリコン,脅迫行為 任天堂がゲーム大会延期,任天堂、脅迫行為受け『スプラトゥーン甲子園』全国決勝大会を延期に　『Nintendo Live』は中止,https://news.yahoo.co.jp/pickup/6484264,https://news.yahoo.co.jp/articles/fd460ea233c87f78d9ad2413cd5a321bf32c98d1,12/7(木) 20:08
it,読売新聞オンライン,安倍氏の偽動画 投稿続ける男性,生成ＡＩの偽動画、偏った考え増幅の「エコーチェンバー」引き起こす…安倍元首相の追悼行事で騒動引き起こす,https://news.yahoo.co.jp/pickup/6484228,https://news.yahoo.co.jp/articles/dc3f168da773af54e8875311be11fbae798c681b,12/7(木) 15:47
it,読売新聞オンライン,私なりの啓発活動 偽動画作る男性,生成ＡＩの偽動画、偏った考え増幅の「エコーチェンバー」引き起こす…安倍元首相の追悼行事で騒動引き起こす,https://news.yahoo.co.jp/pickup/6484226,https://news.yahoo.co.jp/articles/dc3f168da773af54e8875311be11fbae798c681b,12/7(木) 15:34
it,弁護士ドットコムニュース,ミニーのスカートめくる動画 批判,ディズニーパレードでミニーのスカートめくり「セクハラ」批判の声　オリエンタルランド謝罪,https://news.yahoo.co.jp/pickup/6484217,https://news.yahoo.co.jp/articles/ee2e14b617b3dd318211c388590cd7df580f3d65,12/7(木) 14:00
