ctgry,media_jp,title_pickup,title_articles,link_pickup,link_articles,date_original
world,共同通信,露の侵攻兵力9割が死傷か 米機関,ロシア、侵攻兵力の9割死傷か　31万5千人と米情報機関,https://news.yahoo.co.jp/pickup/6484808,https://news.yahoo.co.jp/articles/632acc8494caf436ef145bb7fe2d1df9a778a3b9,12/13(水) 9:51
world,共同通信,水攻めか ガザ地下トンネルへ海水,イスラエル軍が「水攻め開始」　米紙報道、地下トンネル網に,https://news.yahoo.co.jp/pickup/6484801,https://news.yahoo.co.jp/articles/38a3305224facbbe0eb5175855175c0a8cdeae50,12/13(水) 8:36
world,BBC News,ガザ戦闘 1～2カ月続くとの見方も,イスラエル軍、ガザ南部ハンユニスに前進続ける　戦闘まだ1カ月は続くとみる専門家も,https://news.yahoo.co.jp/pickup/6484780,https://news.yahoo.co.jp/articles/660e264c4c1a238241c2a8e84036c60a1ae91641,12/12(火) 22:09
world,共同通信,台湾総統選 最大野党結束し接戦も,台湾、最大野党結束で追い上げ　総統選へ1カ月、接戦も,https://news.yahoo.co.jp/pickup/6484763,https://news.yahoo.co.jp/articles/750cb4006b072e649528c6a40f4819e1f945549f,12/12(火) 19:09
world,CNN.co.jp,イスラエル 最後のハマス拠点包囲,イスラエル軍、ハマスの最後の拠点を包囲　ガザ北部,https://news.yahoo.co.jp/pickup/6484739,https://news.yahoo.co.jp/articles/9b41a4e03672cc743dcd2c063269dbe53bd3cf7b,12/12(火) 16:09
world,時事通信,ネパールから200人露軍入隊 推定,ネパールから200人入隊か　ロシア軍に、6人の死亡確認,https://news.yahoo.co.jp/pickup/6484721,https://news.yahoo.co.jp/articles/b51c64c4a67482b44e1bf3829638cee33525d54a,12/12(火) 12:24
world,TBS NEWS DIG Powered by JNN,ハマス戦闘員らの拘束 500人以上,イスラエル軍「ハマス戦闘員ら500人以上拘束」　戦闘終結後のガザ管理秘密裏に検討するチーム発足か,https://news.yahoo.co.jp/pickup/6484705,https://news.yahoo.co.jp/articles/d5851dcdaf79b8f2c55cefc79a6769a2e1eb8164,12/12(火) 10:52
world,日テレNEWS NNN,ハマス投降映像 真偽巡り食い違い,“戦闘員投降”映像にイスラエル首相「ハマスの終わりの始まり」…真偽めぐり主張食い違い,https://news.yahoo.co.jp/pickup/6484669,https://news.yahoo.co.jp/articles/61313a9a6da963042677d4fe54938eb0f1345184,12/11(月) 21:29
world,FNNプライムオンライン（フジテレビ系）,ホテルで邦人女性死亡 ジャカルタ,ホテル浴室でシャワーホースが首に…インドネシアで日本人女性（66）死亡　夫が発見　殺人の可能性含め警察が捜査,https://news.yahoo.co.jp/pickup/6484635,https://news.yahoo.co.jp/articles/b504cf2d07586836c07177769f9b0595c29e9e8e,12/11(月) 16:36
world,TBS NEWS DIG Powered by JNN,在韓米軍機が黄海に墜落 訓練中,在韓米軍F16戦闘機が黄海に墜落　パイロットは緊急脱出　韓国海軍が救助,https://news.yahoo.co.jp/pickup/6484633,https://news.yahoo.co.jp/articles/345c0fddb741f926417e6b488a20f74c4b8d9e49,12/11(月) 16:31
