ctgry,media_jp,title_pickup,title_articles,link_pickup,link_articles,date_original
top-picks,読売新聞オンライン,「勘弁して」能登震源の地震500回,「能登半島沖」「能登地方」震源の地震５００回超に…住民ら避難所で「眠れない日々」,https://news.yahoo.co.jp/pickup/6487438,https://news.yahoo.co.jp/articles/8c9925359bb003a8d4e8e404d274e45d55b1f436,1/7(日) 10:39
top-picks,SOCCER DIGEST Web,DF冨安 アジア杯巡る発言を説明,「間違いなくそういう意図で言ったのではない」冨安健洋がアジア杯に関する苦言の“真意”を説明「AFCに対して発信したつもり」【現地発】,https://news.yahoo.co.jp/pickup/6487439,https://news.yahoo.co.jp/articles/9c95deb5459c1d3a0bd5eb818c42611f2844490b,1/7(日) 10:36
top-picks,時事通信,孤立集落「ガソリン必要」の声,ガソリン不足、暖取れず　珠洲市の孤立集落　能登地震,https://news.yahoo.co.jp/pickup/6487437,https://news.yahoo.co.jp/articles/afef300f1fdc26c87621fd3dcc7543b7e6f60357,1/7(日) 10:03
top-picks,毎日新聞,地震保険の加入率 石川富山低い訳,地震保険の加入率に地域差　石川、富山が低い理由　東京は…,https://news.yahoo.co.jp/pickup/6487434,https://news.yahoo.co.jp/articles/f6d83868d4d2858dfe46b1db1f50728d2234c88a,1/7(日) 9:49
top-picks,共同通信,イスラエル「北部でハマス解体」,ガザ北部でハマス「解体」表明　戦闘3カ月、終結見えず,https://news.yahoo.co.jp/pickup/6487433,https://news.yahoo.co.jp/articles/9ca6e41c76f29796c8396492e9b330aeb5b071a5,1/7(日) 9:32
top-picks,オリコン,プリキュア新作 初めて犬が変身,『プリキュア』新作テーマは「動物との絆」　飼い犬が変身で初の犬プリキュア誕生　出演は長縄まりあ＆種崎敦美,https://news.yahoo.co.jp/pickup/6487431,https://news.yahoo.co.jp/articles/c0e2d0387f460bbf9b4b0b73eea02cd3a0469081,1/7(日) 9:23
top-picks,読売新聞オンライン,能登地震 珠洲市で津波最大3.6mか,津波は石川・珠洲で最大３・６ｍか、新潟県にかけて２～３ｍ超だった可能性…研究チーム分析,https://news.yahoo.co.jp/pickup/6487430,https://news.yahoo.co.jp/articles/f6e43f6381742850f9634b9ac50a01faffa23fa5,1/7(日) 8:59
top-picks,堀潤,液状化深刻「住むのもう難しい」,奥能登だけではない「もう故郷に住めなくなる」液状化で深刻な被害　内灘町の住民は「激甚災害」指定を待つ,https://news.yahoo.co.jp/pickup/6487429,https://news.yahoo.co.jp/expert/articles/43b6784521548cfaf2756b67ebfde16cd2c9f611,1/7(日) 8:50
top-picks,読売新聞オンライン,能登沿岸 海底隆起し85キロ陸地に,沿岸部の海底８５ｋｍが隆起して露出、海岸が最大２００ｍ海側にせり出す…国土地理院が解析,https://news.yahoo.co.jp/pickup/6487428,https://news.yahoo.co.jp/articles/fdc126664613350e8448eed52c5700c51dc42b36,1/7(日) 8:37
top-picks,時事通信,孤立集落 ガソリン不足で暖取れず,ガソリン不足、暖取れず　珠洲市の孤立集落　能登地震,https://news.yahoo.co.jp/pickup/6487424,https://news.yahoo.co.jp/articles/afef300f1fdc26c87621fd3dcc7543b7e6f60357,1/7(日) 8:13
top-picks,産経新聞,郵政金融2社株保有継続へ自民議論,＜独自＞郵政民営化方針撤回、金融２社の株式保有継続　自民、通常国会に改正法案提出検討,https://news.yahoo.co.jp/pickup/6487425,https://news.yahoo.co.jp/articles/b34be1f10605bb46ad834393d5e4b0c9b1d15a63,1/7(日) 8:08
top-picks,デイリースポーツ,オリ山崎 実家で被災「死ぬかと」,被災したオリックス・山崎颯「元気づける」　帰省中の石川・加賀市で震度５強「死ぬかと」　５０試合以上登板で４連覇へ,https://news.yahoo.co.jp/pickup/6487422,https://news.yahoo.co.jp/articles/7733fec83a62397d05f79d7257a8f4a9fab3efb5,1/7(日) 8:06
top-picks,時事通信,集落孤立 子供背に崖道越えて脱出,子ども背に、崖伝い脱出　土砂崩れで集落孤立　輪島市・能登地震,https://news.yahoo.co.jp/pickup/6487421,https://news.yahoo.co.jp/articles/0cefd5384acbbb0699c7a620fabae8aedeff9606,1/7(日) 7:41
top-picks,tenki.jp,北陸で大雪恐れ 低体温症の対策を,日曜～成人の日　強い寒気流入　北海道や北陸で警報級の大雪の恐れ　広く厳しい寒さ,https://news.yahoo.co.jp/pickup/6487420,https://news.yahoo.co.jp/articles/3592e911cd8217d6e5d17bde2b444f4929a2a4ce,1/7(日) 7:31
top-picks,日テレNEWS NNN,安倍派・池田佳隆議員を逮捕へ,【独自】自民党・安倍派、池田佳隆衆議院議員をきょうにも逮捕へ　 派閥のパーティー券めぐる政治資金規正法事件　東京地検特捜部,https://news.yahoo.co.jp/pickup/6487419,https://news.yahoo.co.jp/articles/cf2cf80e629590aa28549a15ad3efffe880b1ef3,1/7(日) 7:20
top-picks,TBS NEWS DIG Powered by JNN,震度6弱観測 気象庁が現地調査へ,「通常とは違うと感じている」志賀町で震度6弱観測　周辺は震度3以下　確認に時間を要し震度情報にも遅れ　気象庁,https://news.yahoo.co.jp/pickup/6487417,https://news.yahoo.co.jp/articles/d1054c85a0aa5e904562bac2f12dea7328d3b106,1/7(日) 2:05
top-picks,北國新聞社,避難所の自販機破壊 事件性なしか,〈１.１大震災〉自販機破壊、避難者のためだった　「飲料水確保するため」　穴水高,https://news.yahoo.co.jp/pickup/6487416,https://news.yahoo.co.jp/articles/9454efce176aaa524403ad8869b53c6436ce2664,1/7(日) 1:27
top-picks,共同通信,震度6弱観測の志賀町「弱い揺れ」,震度6弱情報に現地「弱い揺れ」　気象庁「震度の調査進める」,https://news.yahoo.co.jp/pickup/6487415,https://news.yahoo.co.jp/articles/0e38b57541d8d76cdc65395059af8b5920917a11,1/7(日) 0:50
top-picks,ウェザーニュース,石川県で震度6弱 津波の心配なし,能登半島沖でM4.4の地震　石川県志賀町で震度6弱　津波の心配なし,https://news.yahoo.co.jp/pickup/6487413,https://news.yahoo.co.jp/articles/69df840c8c23fbb9e02c007a1c77fae6f3ce8259,1/6(土) 23:43
top-picks,,地震情報,地震情報（Yahoo!天気・災害）,https://news.yahoo.co.jp/pickup/6487073,https://emergency-weather.yahoo.co.jp/weather/jp/earthquake/,1/6(土) 23:37
