ctgry,media_jp,title_pickup,title_articles,link_pickup,link_articles,date_original
science,,ネコのスプレー尿 悪臭の原因は,悪臭拡散の原因解明　ネコのスプレー尿　岩手大,https://news.yahoo.co.jp/pickup/6497581,https://news.yahoo.co.jp/articles/56b75956c91591c117e1f6342a1eddc9e8b08081,4/11(木) 9:39
science,,日本人が初めて月面へ 日米が合意,【速報】日本人宇宙飛行士2人が月面へ　月面探査車で1カ月生活も　アルテミス計画,https://news.yahoo.co.jp/pickup/6497569,,4/11(木) 8:08
science,,足のつりが全身に 発病時の思い,足の“攣（つ）り”が全身に広がり、その後病気が判明　「自宅は買って半年、車は4ヶ月。この先どうすれば…」発病時の思いと心境の変化について患者に聞いた,https://news.yahoo.co.jp/pickup/6497547,https://news.yahoo.co.jp/articles/8271dfc2849b1591282535f18e210ca121d73cd6,4/10(水) 21:03
science,,足のつり全身に 希少な病気知って,足の“攣（つ）り”が全身に広がり、その後病気が判明　「自宅は買って半年、車は4ヶ月。この先どうすれば…」発病時の思いと心境の変化について患者に聞いた,https://news.yahoo.co.jp/pickup/6497542,https://news.yahoo.co.jp/articles/8271dfc2849b1591282535f18e210ca121d73cd6,4/10(水) 20:37
science,,紅麹巡る論文 著者の教授「適正」,紅こうじ論文は「適正」と著者　販売後の品質確認が重要と指摘,https://news.yahoo.co.jp/pickup/6497517,https://news.yahoo.co.jp/articles/b983947e5f89eb40e49fa3c5bff3ae86fa970412,4/10(水) 17:40
science,,異変 北海道にイワシ大群や死がい,海に異変？北海道日本海側で相次ぐイワシの大群　一体なぜ？　釣り人たちは歓喜「１００匹ぐらいは」,https://news.yahoo.co.jp/pickup/6497509,,4/10(水) 16:59
science,,がんでステージ4 レスラーの区議,議員レスラー西村修、食道がんでステージ4　すでに転移、手術困難も「まだ死ぬわけにはいかない」,https://news.yahoo.co.jp/pickup/6497486,https://news.yahoo.co.jp/articles/de45793ceca5d48240ef47491cdae60c21df1aea,4/10(水) 14:24
science,,国内最高齢19歳 アムールトラ死ぬ,【速報】国内最高齢19歳のアムールトラ死ぬ「子育て上手で穏やか」死因は腎不全　京都市動物園,https://news.yahoo.co.jp/pickup/6497475,https://news.yahoo.co.jp/articles/bed074a296378d028b33e5dc75e336bef58a8862,4/10(水) 12:27
science,,日米、宇宙協力で「重大」発表か,日米、宇宙協力で「重大」発表　AIなど新興技術で共同研究　米高官,https://news.yahoo.co.jp/pickup/6497470,https://news.yahoo.co.jp/articles/8f2ea2d901cd600f7a148b66f7cb7574c4e8feb6,4/10(水) 11:00
science,,ノーベル物理学賞 ヒッグス氏死去,ピーター・ヒッグスさん死去　ノーベル物理学賞,https://news.yahoo.co.jp/pickup/6497465,https://news.yahoo.co.jp/articles/22d1498c04a278e8917871894b51385e3a99d85c,4/10(水) 9:33
science,,ブタの膵島移植、臨床研究へ,糖尿病患者にブタの膵臓組織を移植、国際医療研など臨床研究…特殊カプセルに包み拒絶反応を防止,https://news.yahoo.co.jp/pickup/6497457,https://news.yahoo.co.jp/articles/5149786043b925edde1316f2cb459332d1fed882,4/10(水) 8:13
science,,自閉症=天才 イメージに嘆く家族,“自閉症=天才”のイメージが作る生きづらさ… 当事者家族が語る「才能は期待していない。普通の日常を送ってもらうことが一番の望み」,https://news.yahoo.co.jp/pickup/6497411,https://news.yahoo.co.jp/articles/98970d0666f4c397d0aaf3adb5f78db3a9305934,4/9(火) 18:15
science,,富士山でスラッシュ雪崩 雨影響か,【映像あり】富士山で“スラッシュ雪崩” カメラ捉える 雨などで融雪原因か 被害は確認されず 山梨県,https://news.yahoo.co.jp/pickup/6497399,https://news.yahoo.co.jp/articles/287cdefcc5197af605bd92a12e357452a96a7d2a,4/9(火) 17:13
science,,ジャガーが「高齢出産」 園は歓喜,10歳ジャガーが「高齢出産」　元気な赤ちゃん誕生　とべ動物園,https://news.yahoo.co.jp/pickup/6497391,https://news.yahoo.co.jp/articles/ab5b5b1c00f2a34d618ecbb8c8697be785e00e7b,4/9(火) 16:18
science,,摂取し飛び降り?「1D-LSD」とは,強烈な幻覚……「新しい自分になる」と8階から飛び降り死　危険ドラッグ「1D-LSD」とは？　お香に偽装も【#みんなのギモン】,https://news.yahoo.co.jp/pickup/6497376,https://news.yahoo.co.jp/articles/9b43c19ee243cf5a8717c8d402e64fa283f54a0a,4/9(火) 13:47
science,,アスパラガス 緑白紫色で何が違う,アスパラガスの白、緑、紫　色によって何が違う？　栄養や特徴など栄養士が解説,https://news.yahoo.co.jp/pickup/6497357,https://news.yahoo.co.jp/articles/8e1bb35e9414395baa0c7aaf02ca26d3ce977913,4/9(火) 11:11
science,,皆既日食 米で最大400万人移動か,アメリカで７年ぶり「皆既日食」、観測のため最大４００万人移動…日本では１１年後,https://news.yahoo.co.jp/pickup/6497354,https://news.yahoo.co.jp/articles/520aec2225859d6798ffb813e9d3a21b4ba2d816,4/9(火) 11:07
science,,お香に偽装も 「1D-LSD」とは,強烈な幻覚……「新しい自分になる」と8階から飛び降り死　危険ドラッグ「1D-LSD」とは？　お香に偽装も【#みんなのギモン】,https://news.yahoo.co.jp/pickup/6497351,https://news.yahoo.co.jp/articles/9b43c19ee243cf5a8717c8d402e64fa283f54a0a,4/9(火) 10:45
science,,上野の双子パンダ 別々に展示へ,上野の双子パンダ、別々に展示　じゃれ合い激しく、16日から,https://news.yahoo.co.jp/pickup/6497315,https://news.yahoo.co.jp/articles/29433253836eb421d603d6cfc9b94114b496d10e,4/8(月) 21:33
science,,民家の水槽からマリモ 研究者驚き,【驚き】研究者もビックリ!国内2例目のマリモ「モトスマリモ」が川崎市の民家の水槽から見つかる,https://news.yahoo.co.jp/pickup/6497299,https://news.yahoo.co.jp/articles/5229087c9d58582495189c0068628191120d3ef4,4/8(月) 18:42
science,,日本初の「脂肪減少薬」販売開始,日本初の“脂肪減少薬”きょう販売開始　薬剤師の指導のもと購入可　腹囲など条件あり,https://news.yahoo.co.jp/pickup/6497294,https://news.yahoo.co.jp/articles/0207b7a292139cd3b859df67b33ab3197fcf0d1d,4/8(月) 18:16
science,,前立腺がん40年までに倍増 英研究,前立腺がん、2040年までに全世界で倍増　英ロンドン大学予測,https://news.yahoo.co.jp/pickup/6497255,https://news.yahoo.co.jp/articles/e7d70d706e1a540994da8927f1273e168213c7d2,4/8(月) 12:05
science,,辛いもの食べ過ぎで「痔」本当?,“辛いもの”の食べ過ぎで「痔」になるの？　“要注意食材”を消化器病専門医が解説,https://news.yahoo.co.jp/pickup/6497249,https://news.yahoo.co.jp/articles/b72f59dfe8baf8b2cb2c67c916ada0863e102a1d,4/8(月) 11:18
science,,男性の不妊検査 都が実質無料化へ,男性の不妊検査、東京都が実質無料化へ…受講条件に３９歳まで対象,https://news.yahoo.co.jp/pickup/6497237,https://news.yahoo.co.jp/articles/b1432bd1d8fc4437fad728bc73b8685f7b7fa429,4/8(月) 10:09
science,,400種超の新種発見 千葉の科学者,400種超を見つけた“新種ハンター”　「今でもドキドキ」少年のような探究心 　#令和に働く,https://news.yahoo.co.jp/pickup/6497211,https://news.yahoo.co.jp/articles/7e1bf9a874efc10abdc3073774db81f2f213e0b6,4/7(日) 22:47
science,,頻繁な耳掃除はNG? 病気リスクも,「耳あか」は定期的に取り除いた方がいいの？　放置してもOK？　注意点を耳鼻科医に聞く,https://news.yahoo.co.jp/pickup/6497201,https://news.yahoo.co.jp/articles/6db9e27b0825983c94f9a9bb289174559ff81790,4/7(日) 20:35
