ctgry,media_jp,title_pickup,title_articles,link_pickup,link_articles,date_original
entertainment,Media info not found,「ニンダイ」に厳しい意見も 背景,　任天堂のゲーム情報番組「ニンテンドーダイレクト（ニンダイ）」で、任天堂以外のメーカーが発売するソフトを紹介する「ソフトメーカーラインナップ」が配信されました。「X（旧Twitter）」で配信前からトレンド入りし、配信後も上位が関連ワードで埋め尽くすなど、圧倒的な話題になりました。好意的な意見はあるものの、厳しい意見が並んだのも確かで、かなり荒れた感があります。「サプライズがない」という不満を解消するには、任天堂の大作の情報をチラリと出せば解決しますが、しないのです。その背景を考察します。,https://news.yahoo.co.jp/pickup/6568990,https://game.watch.impress.co.jp/docs/news/2083915.html,2/7(土) 9:29
entertainment,スポニチアネックス,太田光とさんま漫才 時間オーバー,2/7(土) 8:11,https://news.yahoo.co.jp/pickup/6568983,https://news.yahoo.co.jp/articles/8a7b3ea381b6b436c150b5f064addfb9d92227ca,2/7(土) 8:11
entertainment,スポニチアネックス,開会式 テルマエ作者の解説反響,2/7(土) 7:40,https://news.yahoo.co.jp/pickup/6568978,https://news.yahoo.co.jp/articles/883d24df35cb1da495bcd8f06f7f8584c003c45e,2/7(土) 7:40
entertainment,スポニチアネックス,爆問とさんまが即興漫才 観客沸く,2/7(土) 7:40,https://news.yahoo.co.jp/pickup/6568979,https://news.yahoo.co.jp/articles/8a7b3ea381b6b436c150b5f064addfb9d92227ca,2/7(土) 7:40
entertainment,スポニチアネックス,五輪開会式にマライア 会場興奮,2/7(土) 6:30,https://news.yahoo.co.jp/pickup/6568971,https://news.yahoo.co.jp/articles/e4d8b6b0033da87165c0923b9f5356b45fe115b5,2/7(土) 6:30
entertainment,magacol,池田エライザ NAZEに学んだこと,2/6(金) 23:48,https://news.yahoo.co.jp/pickup/6568968,https://news.yahoo.co.jp/articles/cbe7f05ebf08f34eb809c7e6c6f7f7b10c407666,2/6(金) 23:48
entertainment,ENCOUNT,浜辺美波 目黒蓮からの手紙に感謝,2/6(金) 19:58,https://news.yahoo.co.jp/pickup/6568944,https://news.yahoo.co.jp/articles/e9ba588659db072aed4feabae4a89b31b883ab5c,2/6(金) 19:58
entertainment,Media info not found,ケンコバ結婚 芸人晩婚化の背景は,ピン芸人のケンドーコバヤシさんが先月31日、結婚と第一子誕生を公表しました。コバヤシさんは現在53歳。昨年1月に結婚を発表したお笑いコンビ「錦鯉」の長谷川雅紀さんも発表当時53歳でした。40代後半から50代にかけて結婚する芸人さんが昨今は増えていますが、その背景にあるものとは。,https://news.yahoo.co.jp/pickup/6568939,https://news.yahoo.co.jp/articles/683e41b27e8ce4f90bfa394175cf55814e45fcf4,2/6(金) 19:07
entertainment,オリコン,t.A.T.u. 2002年の楽曲再ヒット,2/6(金) 18:12,https://news.yahoo.co.jp/pickup/6568927,https://news.yahoo.co.jp/articles/02ddc117b829f5ffa4f5d4ffe00d7597157451fe,2/6(金) 18:12
entertainment,週刊SPA!,粗品がTHE Wで酷評 コンビ本音,2/6(金) 17:53,https://news.yahoo.co.jp/pickup/6568925,https://news.yahoo.co.jp/articles/d08f66a35aa2b49132b6183b0f0589e9ddcb437c,2/6(金) 17:53
entertainment,スポニチアネックス,オダウエダ小田 3月から一部休養,2/6(金) 16:17,https://news.yahoo.co.jp/pickup/6568906,https://news.yahoo.co.jp/articles/9e89050c2ec5ade8d2e52ac055e797b2d0dc5cc9,2/6(金) 16:17
entertainment,MANTANWEB,20秒吉沢亮の顔 ばけばけ予告狙い,2/6(金) 9:08,https://news.yahoo.co.jp/pickup/6568853,https://news.yahoo.co.jp/articles/7ef8e93ae1f181c58b90905912df1f27765811a8,2/6(金) 9:08
entertainment,Media info not found,ニンダイで作品発表 任天堂の狙い,昨夜配信された「Nintendo Direct ソフトメーカーラインナップ 2026.2.5」では、「パワプロ」新作や「スーパーボンバーマン」から「FF7 リバース」「インディ・ジョーンズ」まで、実に多彩なタイトルが並びました。この時代やジャンルを超えた幅広さこそが、Switch／Switch 2らしさだと言えるでしょう。,https://news.yahoo.co.jp/pickup/6568846,https://twitter.com/Nintendo/status/2019416231435202951,2/6(金) 8:07
entertainment,オリコン,ワンピヒロインのアニメ 7月放送,2/6(金) 7:54,https://news.yahoo.co.jp/pickup/6568845,https://news.yahoo.co.jp/articles/e4b10f533347dbece54029deca3467bfe9b858ff,2/6(金) 7:54
entertainment,オリコン,ワンピース 新作アニメ7月に放送,2/6(金) 7:41,https://news.yahoo.co.jp/pickup/6568842,https://news.yahoo.co.jp/articles/e4b10f533347dbece54029deca3467bfe9b858ff,2/6(金) 7:41
entertainment,スポニチアネックス,みちょぱ妊娠 芸能界から祝福の声,2/5(木) 23:10,https://news.yahoo.co.jp/pickup/6568833,https://news.yahoo.co.jp/articles/7e964c47330127b45502f42c278ff769fc298914,2/5(木) 23:10
entertainment,サンケイスポーツ,オスカー俳優に新喜劇洗礼 客笑う,2/5(木) 22:56,https://news.yahoo.co.jp/pickup/6568832,https://news.yahoo.co.jp/articles/7b5861d5358a9dba24e41efd969be73de89ca856,2/5(木) 22:56
entertainment,日刊スポーツ,櫻坂46・武元唯衣 卒業を発表,2/5(木) 22:48,https://news.yahoo.co.jp/pickup/6568829,https://news.yahoo.co.jp/articles/4cf9008dc86f1323ea5ab8d8ca1bdc0dfe837ced,2/5(木) 22:48
entertainment,サンケイスポーツ,オスカー俳優がズッコケ 観客笑い,2/5(木) 22:44,https://news.yahoo.co.jp/pickup/6568830,https://news.yahoo.co.jp/articles/7b5861d5358a9dba24e41efd969be73de89ca856,2/5(木) 22:44
entertainment,オリコン,堤真一「実は60歳過ぎました」,2/5(木) 19:06,https://news.yahoo.co.jp/pickup/6568812,https://news.yahoo.co.jp/articles/e1d9abc337f7bc5552cbf8ac5849771eea40fc77,2/5(木) 19:06
entertainment,オリコン,みちょぱ 第1子妊娠を報告,2/5(木) 18:39,https://news.yahoo.co.jp/pickup/6568809,https://news.yahoo.co.jp/articles/967ac409132958f670426f82ddad1c47b177e1aa,2/5(木) 18:39
entertainment,スポニチアネックス,カメ止め・ヒロイン役 第1子妊娠,2/5(木) 13:10,https://news.yahoo.co.jp/pickup/6568766,https://news.yahoo.co.jp/articles/9568e6bcb1dabdfced64e9593f394ad517043f4d,2/5(木) 13:10
entertainment,オリコン,Number_i 米拠点大手WMEと契約,2/5(木) 10:26,https://news.yahoo.co.jp/pickup/6568744,https://news.yahoo.co.jp/articles/b6d7e6d2a2c9dc5aa5f1558f2977daf7f5847576,2/5(木) 10:26
entertainment,オリコン,なにわ男子 京セラで6日連続公演,2/5(木) 9:07,https://news.yahoo.co.jp/pickup/6568729,https://news.yahoo.co.jp/articles/291ec967a0a5cceae4e41b31a92bfb540c522d94,2/5(木) 9:07
entertainment,徳力基彦,ガンダム新作映画 なぜ大ヒット,2/5(木) 7:18,https://news.yahoo.co.jp/pickup/6568720,,2/5(木) 7:18
entertainment,スポニチアネックス,ミセス大森 ソロで初の映画主題歌,2/5(木) 6:14,https://news.yahoo.co.jp/pickup/6568715,https://news.yahoo.co.jp/articles/72952c731010d1bd0f83277652da995a9956fcbe,2/5(木) 6:14
entertainment,スポニチアネックス,岡田結実が第1子出産を発表,2/4(水) 22:12,https://news.yahoo.co.jp/pickup/6568708,https://news.yahoo.co.jp/articles/072d0f4433d8274aea4d46906a884cdba72c0f55,2/4(水) 22:12
entertainment,映画.com,賀来賢人 米の大手事務所と契約,2/4(水) 19:56,https://news.yahoo.co.jp/pickup/6568695,https://news.yahoo.co.jp/articles/960124ffd6d0e410f991ed07faf5edaf4791c292,2/4(水) 19:56
entertainment,ENCOUNT,竹内涼真 携帯待ち受け夏帆だった,2/4(水) 18:52,https://news.yahoo.co.jp/pickup/6568687,https://news.yahoo.co.jp/articles/94d2f3c7b9deba6c0110e3a1c195de0905d14a44,2/4(水) 18:52
entertainment,スポーツ報知,宝塚 高額な「お花代」に歯止め,2/4(水) 16:32,https://news.yahoo.co.jp/pickup/6568667,https://news.yahoo.co.jp/articles/5320f59238f4798998390c645f2116817ec2e4d8,2/4(水) 16:32
entertainment,スポーツ報知,中島健人 セクゾ卒業後の苦しみ,2/4(水) 16:23,https://news.yahoo.co.jp/pickup/6568665,https://news.yahoo.co.jp/articles/75c743feea10d4438bb6a96c608eddb5350a8d63,2/4(水) 16:23
entertainment,デイリースポーツ,元JO1の鶴房汐恩が活動を再開,2/4(水) 13:56,https://news.yahoo.co.jp/pickup/6568651,https://news.yahoo.co.jp/articles/c7fd488a9697580042fb4cfd3dfa1d34e6978f15,2/4(水) 13:56
entertainment,オリコン,ガンダム新作映画 異例の大ヒット,2/4(水) 13:44,https://news.yahoo.co.jp/pickup/6568647,https://news.yahoo.co.jp/articles/c433e96800d83c436e98ce269a612578211b13cc,2/4(水) 13:44
entertainment,集英社オンライン,ナイトスクープ騒動 長男語る心境,2/4(水) 11:51,https://news.yahoo.co.jp/pickup/6568632,https://news.yahoo.co.jp/articles/1697dd9c79817619c0932f943657677ddc0a8863,2/4(水) 11:51
entertainment,スポニチアネックス,虎に翼スピンオフドラマ 3/20放送,2/4(水) 9:54,https://news.yahoo.co.jp/pickup/6568621,https://news.yahoo.co.jp/articles/9ea4310fb46ea54985fb271a567d1c52c6522bd1,2/4(水) 9:54
entertainment,スポニチアネックス,虎に翼 スピンオフに秋元才加ら,2/4(水) 9:30,https://news.yahoo.co.jp/pickup/6568617,https://news.yahoo.co.jp/articles/9ea4310fb46ea54985fb271a567d1c52c6522bd1,2/4(水) 9:30
entertainment,サンケイスポーツ,元ジュディマリTAKUYA タイ移住,2/4(水) 6:09,https://news.yahoo.co.jp/pickup/6568597,https://news.yahoo.co.jp/articles/6caf9b89955e700b905260ab0c6926f173bb1c55,2/4(水) 6:09
entertainment,デイリースポーツ,浜辺美波 豆まきで顔に直撃も笑顔,2/3(火) 22:45,https://news.yahoo.co.jp/pickup/6568586,https://news.yahoo.co.jp/articles/85ec6612b64a10fc2aa6d80554282d16138bbd21,2/3(火) 22:45
entertainment,CHANTO WEB,難病母の死に喪失 新喜劇マドンナ,2/3(火) 21:22,https://news.yahoo.co.jp/pickup/6568578,https://news.yahoo.co.jp/articles/831c75caffbeafd4d7c378ae9978b885c41c3950,2/3(火) 21:22
entertainment,スポーツ報知,木村拓哉が客に手渡し 粋な計らい,2/3(火) 21:06,https://news.yahoo.co.jp/pickup/6568580,https://news.yahoo.co.jp/articles/772b50a2e7ccac527684840970cc119eb3d7b604,2/3(火) 21:06
entertainment,スポーツ報知,木村拓哉 観客にポップコーン配る,2/3(火) 19:39,https://news.yahoo.co.jp/pickup/6568568,https://news.yahoo.co.jp/articles/772b50a2e7ccac527684840970cc119eb3d7b604,2/3(火) 19:39
entertainment,スポーツ報知,山田涼介32歳 肌年齢は「24歳」,2/3(火) 18:56,https://news.yahoo.co.jp/pickup/6568564,https://news.yahoo.co.jp/articles/4759c285811dc752b39699aa10a591560eb138f7,2/3(火) 18:56
entertainment,スポーツ報知,梅澤美波 イタリアでナンパされた,2/3(火) 17:27,https://news.yahoo.co.jp/pickup/6568549,https://news.yahoo.co.jp/articles/c158c7869c2bd6eb647c2eca24b6998605f574f5,2/3(火) 17:27
entertainment,テレビ朝日系（ANN）,Micro容疑者逮捕 ライブは中止,2/3(火) 16:14,https://news.yahoo.co.jp/pickup/6568534,https://news.yahoo.co.jp/articles/11c34827853d8f6fc7c44e536694496236cf9222,2/3(火) 16:14
entertainment,Media info not found,江口のりこ ドラマで怪演話題,冬ドラマの注目作の1本になっている『再会～Silent Truth～』。23年前に小学生4人組が隠した罪が、現在の殺人事件につながる本格サスペンスミステリーだが、江口のりこの怪演がまるでホラーと話題になっている。,https://news.yahoo.co.jp/pickup/6568529,https://trilltrill.jp/articles/4473129,2/3(火) 14:39
entertainment,TVガイドWeb,稲葉浩志 名曲「タッチ」をカバー,2/3(火) 14:38,https://news.yahoo.co.jp/pickup/6568528,https://news.yahoo.co.jp/articles/63d16edeb88da4db5367ef8fe6305df1b1d08edf,2/3(火) 14:38
entertainment,オリコン,STARTO チケ不正転売などで声明,2/3(火) 14:10,https://news.yahoo.co.jp/pickup/6568526,https://news.yahoo.co.jp/articles/1566bc5fdc389a69f1bb06707db9c92bf4c6d16d,2/3(火) 14:10
entertainment,Media info not found,ガンダム3日間興収8.4億円 評価は,　アニメ映画「機動戦士ガンダム　閃光のハサウェイ　キルケーの魔女」の初週3日間（1月30日～2月1日）の興行収入（興収）が約8.4億円と発表されました。同作は、2021年に公開された「機動戦士ガンダム　閃光のハサウェイ」の続編で、三部作の第2弾です。前作の初週興収（3日間）の約5.2億円を上回りましたが、昨今のアニメは「鬼滅の刃」や「名探偵コナン」など大ヒット作が出ているだけに、それらと比較して「下」という意地悪な見方ができなくもありません。参考になる記事などを紹介しながら、同作について考えてみます。,https://news.yahoo.co.jp/pickup/6568513,https://twitter.com/gundam_hathaway/status/2018157436708737416,2/3(火) 13:28
entertainment,Media info not found,ドラマ「再会」江口のりこが怪演,冬ドラマの注目作の1本になっている『再会～Silent Truth～』。23年前に小学生4人組が隠した罪が、現在の殺人事件につながる本格サスペンスミステリーだが、江口のりこの怪演がまるでホラーと話題になっている。,https://news.yahoo.co.jp/pickup/6568515,https://trilltrill.jp/articles/4473129,2/3(火) 13:24
entertainment,オリコン,BTSが7人で復帰公演 ソウルで3月,2/3(火) 11:35,https://news.yahoo.co.jp/pickup/6568505,https://news.yahoo.co.jp/articles/d687a290712d02f53bbfbb997d26567a3b1684c9,2/3(火) 11:35
entertainment,スポーツ報知,坂口健太郎 劇中で決意の短髪姿,2/3(火) 9:14,https://news.yahoo.co.jp/pickup/6568486,https://news.yahoo.co.jp/articles/0dd8a8da15c8600ea2b005f69c48e3cb88059cb6,2/3(火) 9:14
entertainment,日刊スポーツ,香取慎吾49歳 高校生役で映画主演,2/3(火) 7:26,https://news.yahoo.co.jp/pickup/6568469,https://news.yahoo.co.jp/articles/40be02a7a4588dfed76f1fadb7cda28ef4cc1be4,2/3(火) 7:26
entertainment,スポニチアネックス,寂しい 長谷川和彦氏死去に室井滋,2/3(火) 7:23,https://news.yahoo.co.jp/pickup/6568468,https://news.yahoo.co.jp/articles/4c7cba2cedf7c1fe04891d5c0f6dafbb354d77f1,2/3(火) 7:23
entertainment,オリコン,清野菜名 岡田准一と夫婦役で共演,2/3(火) 6:10,https://news.yahoo.co.jp/pickup/6568463,https://news.yahoo.co.jp/articles/ea48aa70fce5b057ca161d7cb01f92e735582a92,2/3(火) 6:10
entertainment,スポーツ報知,長谷川和彦さん死去 室井滋そばに,2/2(月) 21:13,https://news.yahoo.co.jp/pickup/6568445,https://news.yahoo.co.jp/articles/e4b812089987fb71fcbfa5a7afecdbc8468fb865,2/2(月) 21:13
entertainment,スポーツ報知,吉田拓郎 ラジオで引退宣言を否定,2/2(月) 21:05,https://news.yahoo.co.jp/pickup/6568444,https://news.yahoo.co.jp/articles/b34242f2e403eff6b005c5302ae75f859400e8ea,2/2(月) 21:05
entertainment,スポニチアネックス,三山凌輝 ソロデビューを発表,2/2(月) 20:15,https://news.yahoo.co.jp/pickup/6568436,https://news.yahoo.co.jp/articles/55547963d6e9bb80c1fe19cb321a2c144b85d103,2/2(月) 20:15
entertainment,オリコン,市川由衣 小3長男との距離感葛藤,2/2(月) 17:38,https://news.yahoo.co.jp/pickup/6568403,https://news.yahoo.co.jp/articles/317edeeb408bbf1897bf687f106c588bbe63a125,2/2(月) 17:38
entertainment,Billboard JAPAN,2PM 約10年ぶり東京D公演発表,2/2(月) 16:30,https://news.yahoo.co.jp/pickup/6568392,https://news.yahoo.co.jp/articles/4c0fed022a94e6b40d592098ac47f4eac70f3816,2/2(月) 16:30
entertainment,スポーツ報知,本郷奏多 結婚祝福の声に照れ笑い,2/2(月) 16:20,https://news.yahoo.co.jp/pickup/6568388,https://news.yahoo.co.jp/articles/b6be2ecb377acc6d916525fdb4a3992e75907062,2/2(月) 16:20
entertainment,オリコン,MX スーパーアキダイで選挙特番,2/2(月) 16:01,https://news.yahoo.co.jp/pickup/6568386,https://news.yahoo.co.jp/articles/4fdbf20385d1555585a2af7efbbfc45207135b90,2/2(月) 16:01
entertainment,スポーツ報知,亀梨和也がG2軍キャンプに 騒然,2/2(月) 15:30,https://news.yahoo.co.jp/pickup/6568380,https://news.yahoo.co.jp/articles/becfe0ae835c81c757c189fb28b976c2af881714,2/2(月) 15:30
entertainment,NEWSポストセブン,井手上漠 ラウンジ出勤して役作り,2/2(月) 15:10,https://news.yahoo.co.jp/pickup/6568377,https://news.yahoo.co.jp/articles/21e255373bbe3b4f55eb67208a33eef32888d2a7,2/2(月) 15:10
entertainment,モデルプレス,山田孝之 俳優オーディション開催,2/2(月) 11:44,https://news.yahoo.co.jp/pickup/6568353,https://news.yahoo.co.jp/articles/ca1d7fb3797794754bd49ef10027fb91a99f4954,2/2(月) 11:44
entertainment,共同通信,ダライ・ラマに米グラミー賞,2/2(月) 10:36,https://news.yahoo.co.jp/pickup/6568346,https://news.yahoo.co.jp/articles/45adcf219cbf7aee6ff972b41b6313a1774d0931,2/2(月) 10:36
entertainment,スポーツ報知,森本毅郎アナが復帰 昨年入院,2/2(月) 8:40,https://news.yahoo.co.jp/pickup/6568336,https://news.yahoo.co.jp/articles/5919c6977b6e804e74415088d4b3a8746c996e46,2/2(月) 8:40
entertainment,毎日新聞,映画監督の長谷川和彦さん 死去,2/2(月) 7:52,https://news.yahoo.co.jp/pickup/6568332,https://news.yahoo.co.jp/articles/fdec2afc9e3af0e358699c0c2839b91124454d51,2/2(月) 7:52
entertainment,スポニチアネックス,永作博美 14年ぶり民放連ドラ主演,2/2(月) 6:07,https://news.yahoo.co.jp/pickup/6568324,https://news.yahoo.co.jp/articles/6e986666f601e8b1525ad8a1fdd9619e1715510f,2/2(月) 6:07
entertainment,スポニチアネックス,51歳・有吉弘行 第2子誕生に驚き,2/1(日) 22:33,https://news.yahoo.co.jp/pickup/6568320,https://news.yahoo.co.jp/articles/208664a9dfedfc0e60da14e80a6b34696d566f3e,2/1(日) 22:33
entertainment,スポニチアネックス,8日の大河休止 衆院選開票速報で,2/1(日) 22:20,https://news.yahoo.co.jp/pickup/6568317,https://news.yahoo.co.jp/articles/1b31e6be899926a43d645676ebd8d014869c0760,2/1(日) 22:20
entertainment,オリコン,大倉忠義 後輩との関わり方に葛藤,2/1(日) 20:22,https://news.yahoo.co.jp/pickup/6568306,https://news.yahoo.co.jp/articles/820a4edea285fa6cc1bfc6efecd52d8612ef4c57,2/1(日) 20:22
entertainment,スポニチアネックス,有吉弘行 第二子誕生ラジオで発表,2/1(日) 20:19,https://news.yahoo.co.jp/pickup/6568307,https://news.yahoo.co.jp/articles/a4f603ad468674c77457e1cdc2e32958071d5fb0,2/1(日) 20:19
entertainment,ENCOUNT,齊藤京子がダンス披露「汗だく」,2/1(日) 19:55,https://news.yahoo.co.jp/pickup/6568303,https://news.yahoo.co.jp/articles/0401415dcd12013e8143401b6be332871d87472b,2/1(日) 19:55
entertainment,モデルプレス,吉沢亮 「国宝」で流星に恐怖心,2/1(日) 18:47,https://news.yahoo.co.jp/pickup/6568294,https://news.yahoo.co.jp/articles/9a6d075d65df7c07bab54bbf61b08976debd4f65,2/1(日) 18:47
