media_en,media_jp,title_articles,link_articles,date_original
ann,テレビ朝日系（ANN）,パリオリンピック2024　雨の中で盛大に開幕,https://news.yahoo.co.jp/articles/90da6ab39bc3f45e2db52540ed6d4deb630fe7f9,7/27(土) 11:56
ann,テレビ朝日系（ANN）,コロナ急増で薬が足りない！変異株「KP.3」が猛威、猛暑で免疫低下「ドミノ感染」も,https://news.yahoo.co.jp/articles/574b0ad62cd6f9a5db798a3f3ed67e5938d10bb9,7/27(土) 11:40
ann,テレビ朝日系（ANN）,親子3人が守る味　荻窪の老舗食堂　物価高で値上げ3度、それでも客足途絶えぬワケは,https://news.yahoo.co.jp/articles/27e644810235d6387751e7485142da48d6494176,7/27(土) 11:33
ann,テレビ朝日系（ANN）,JR東海　衝突事故起こした東海道新幹線の保守用車両の運用を当面停止に,https://news.yahoo.co.jp/articles/2245eaa6cc4e4e7d9658f1654ae6801ada90a8f9,7/27(土) 11:26
ann,テレビ朝日系（ANN）,オバマ元大統領夫妻がハリス氏支持を表明　トランプ氏に勝つため「何でもする」,https://news.yahoo.co.jp/articles/79bc17ad281ebb27a33279ff3875d54abd8172c5,7/27(土) 11:09
ann,テレビ朝日系（ANN）,国際課税の宣言を公表し3会合ぶりに共同声明も採択　G20財務相・中央銀行総裁会議,https://news.yahoo.co.jp/articles/1cf048054108e816e33717e820265b06009d70df,7/27(土) 11:06
ann,テレビ朝日系（ANN）,“スゴ腕”家電修理人のタイ腕磨き旅　ピンチ!?　直したはずが…爆発＆煙　職人魂に火,https://news.yahoo.co.jp/articles/4efca5de2753ad7044abf38732971cc91c03498c,7/27(土) 11:02
ann,テレビ朝日系（ANN）,日本人の平均寿命が3年ぶりに延びる　女性87.14歳、男性81.09歳　コロナ死亡減少で,https://news.yahoo.co.jp/articles/eb0b7a657b191bf1c2e4d50e2888654dd6a8c51f,7/27(土) 10:51
ann,テレビ朝日系（ANN）,「日本橋伊勢定」販売の土用の丑のうなぎで体調不良相次ぐ　京急百貨店が発表,https://news.yahoo.co.jp/articles/f315c801c8af2c5e59597796fc011632d944332a,7/27(土) 10:48
ann,テレビ朝日系（ANN）,緊急性なければ「7700円」茨城、大病院への救急搬送で費用徴収検討　12月導入目指す,https://news.yahoo.co.jp/articles/9c65cc110966cedb78ade8df7253903e5ba5976a,7/27(土) 10:46
ann,テレビ朝日系（ANN）,クリックすると別サイト　豪雨被害に便乗か、悪質投稿相次ぐ「発信元の確認を」専門家,https://news.yahoo.co.jp/articles/0de422cfe30c29e6509f5449a8572ffd84933a9b,7/27(土) 10:40
ann,テレビ朝日系（ANN）,都庁の「プロジェクター」初公開　世界最大のプロジェクションマッピングにYOASOBI,https://news.yahoo.co.jp/articles/faffb6a2bf5df1f2360dd31eb7e4362190e32727,7/27(土) 10:22
ann,テレビ朝日系（ANN）,吉野家が最大72円値上げ　牛丼並盛は498円に,https://news.yahoo.co.jp/articles/e145e6302668a8511704fd50d771d7f78696e91d,7/27(土) 10:00
ann,テレビ朝日系（ANN）,慶応大学医学部に「栃木県枠」　経済的支援で県内での医師不足解消へ,https://news.yahoo.co.jp/articles/92fc4a6ca7387ce082aaee5e1c80ea6d6ac07bb7,7/27(土) 9:56
ann,テレビ朝日系（ANN）,NTT天気予報サービス「177」　来年3月に終了,https://news.yahoo.co.jp/articles/38e962df60787163d2dfb940470ca6b3184d19af,7/27(土) 9:49
ann,テレビ朝日系（ANN）,ジーコ氏、パリで8000万円超の盗難被害,https://news.yahoo.co.jp/articles/36e64787d8eeb61b60a6dab66cab910e5f595f16,7/27(土) 9:30
ann,テレビ朝日系（ANN）,母親（53）の首を絞め“殺人未遂”か　同居する息子（20）逮捕　母親は搬送先で死亡,https://news.yahoo.co.jp/articles/62e099f68f16f32626505f13009ba0a215fdfc1c,7/27(土) 8:53
ann,テレビ朝日系（ANN）,元サッカー日本代表監督ジーコ氏がダイヤなど入ったかばん盗まれる　五輪でパリ訪問中,https://news.yahoo.co.jp/articles/53bbb0c0a5b512ae562e776fcc0a17ecaddd5c27,7/27(土) 8:07
ann,テレビ朝日系（ANN）,藤田譲瑠チマの武器…勝利へのカギは高速「縦パス」　大久保嘉人も「本当に成長した」,https://news.yahoo.co.jp/articles/ee5ab8a7c2cd1e0e70de9c7a405d7c8742a9e38e,7/27(土) 7:46
ann,テレビ朝日系（ANN）,交通整理中の男性が車にはねられて死亡　ひき逃げ事件として捜査　千葉・柏市,https://news.yahoo.co.jp/articles/3755f66f2a862606e2f73865045ae367b2b2f92b,7/27(土) 7:46
ann,テレビ朝日系（ANN）,トランプ氏がイスラエルのネタニヤフ首相と会談「中東に平和もたらす努力」約束,https://news.yahoo.co.jp/articles/ab646596782d08bf2817926fc51b72e02b359d12,7/27(土) 7:43
ann,テレビ朝日系（ANN）,旭川の女子高校生殺害事件　家裁が19歳女の逆送決定,https://news.yahoo.co.jp/articles/da2a043281690de5f144cc5ce7beb4d26596d08d,7/27(土) 5:56
ann,テレビ朝日系（ANN）,渓流釣りに出かけた男女3人が遭難か　宮城・大崎市,https://news.yahoo.co.jp/articles/cb1410c7a6efa68758bc7ee912424e70692d4831,7/27(土) 5:55
ann,テレビ朝日系（ANN）,秋田・山形　大雨で被害拡大　警察官1人が死亡,https://news.yahoo.co.jp/articles/83537a7a40b83cab255dfbce06a56b3fdf52f1b4,7/27(土) 5:54
ann,テレビ朝日系（ANN）,アメリカのトランプ氏がイスラエル首相と会談,https://news.yahoo.co.jp/articles/cac0abf7d28f7cf3e077773a3742b630daaba7d1,7/27(土) 5:52
ann,テレビ朝日系（ANN）,フランス高速鉄道TGV施設放火　五輪選手団にも影響,https://news.yahoo.co.jp/articles/934e1c069e306cceb7734825952a756ff71e0810,7/27(土) 5:51
ann,テレビ朝日系（ANN）,パリオリンピック2024　花の都でオリンピック開幕,https://news.yahoo.co.jp/articles/6f5eb0560b8b27b422af1fd79ed2b1558a787b80,7/27(土) 5:50
ann,テレビ朝日系（ANN）,【速報】パリ五輪　セーヌ川の開会式始まる　夏の大会史上初の「スタジアム外」,https://news.yahoo.co.jp/articles/d3db496ae63601e9a2f65164b88140ef481eea78,7/27(土) 2:42
ann,テレビ朝日系（ANN）,“トランプ氏のウクライナ平和計画”ポンぺオ元国務長官ら寄稿　「ロシアは勝てない」,https://news.yahoo.co.jp/articles/70f0303263bfa9cc0b9886d14976156856275a28,7/27(土) 2:16
ann,テレビ朝日系（ANN）,米大統領選　オバマ元大統領夫妻もハリス氏支持表明　挙党体制へ,https://news.yahoo.co.jp/articles/897c5beb3da834af26c9b0a428293c050ab1a996,7/27(土) 0:57
ann,テレビ朝日系（ANN）,東京都が「カスハラ」防止の指針素案を公表　土下座強要など例示,https://news.yahoo.co.jp/articles/c0a40f8a6d504fc0b8ecada2fd1a0fa58f062602,7/27(土) 0:44
ann,テレビ朝日系（ANN）,気象庁も雨量予測は“非常に困難”氾濫・土砂崩れ…記録的大雨で被害拡大　山形・秋田,https://news.yahoo.co.jp/articles/d1d25c8eb7bb3715087e06262507131d493c84cd,7/27(土) 0:36
ann,テレビ朝日系（ANN）,「大規模攻撃受けた」仏高速鉄道3路線“破壊行為”,https://news.yahoo.co.jp/articles/a84c9b9aebb9c47b1dae28abc80ebc1594082d56,7/26(金) 23:45
ann,テレビ朝日系（ANN）,敦賀原発2号機　新規制基準「不適合」審査会合初判断,https://news.yahoo.co.jp/articles/993d385e2a640a935cfffc5bc44936353e191262,7/26(金) 23:45
ann,テレビ朝日系（ANN）,他社製品に青カビ由来「プベルル酸」混入か…小林製薬“紅麹サプリ”問題,https://news.yahoo.co.jp/articles/d29ce281d1ec79cafd0c22341219f70e5ec05e71,7/26(金) 23:30
ann,テレビ朝日系（ANN）,横浜市教育委員会による裁判傍聴動員問題　「職務とは言えない」検証チームが報告,https://news.yahoo.co.jp/articles/187c3b71d01d5f7b0da1d7171cf5607714e70108,7/26(金) 23:03
ann,テレビ朝日系（ANN）,北朝鮮経済が急回復 GDP+3.1％　ロシアへの弾薬提供で金属増産 成長を牽引か,https://news.yahoo.co.jp/articles/4ecff6c9e20a495dc8d7718c3026e6f3ebeb30ae,7/26(金) 21:56
ann,テレビ朝日系（ANN）,KADOKAWAサイバー攻撃　ドワンゴがニコニコを8月5日再開,https://news.yahoo.co.jp/articles/deefdb0e7c6343c9a9de71be1d742415dfed5113,7/26(金) 21:55
ann,テレビ朝日系（ANN）,損保ジャパンからの出向者　千葉銀で1万件超の情報を自社に漏洩,https://news.yahoo.co.jp/articles/5463a14d4cc49b90951184410548238f5235bc0d,7/26(金) 21:32
ann,テレビ朝日系（ANN）,小林製薬の「紅麹」製品調査で報告漏れ　厚労省の確認で判明　同社は「ない」と報告も,https://news.yahoo.co.jp/articles/4815803dc75becd91be419c2a6e6a09c43b7c3c8,7/26(金) 21:22
ann,テレビ朝日系（ANN）,パリ発着の高速鉄道ユーロスター　28日まで25％の列車運休,https://news.yahoo.co.jp/articles/2576f214389c94f216727079be682320761d214b,7/26(金) 21:21
ann,テレビ朝日系（ANN）,「夏に生きることは、もはや容易ではない」エジプトは公営ビーチ殺到　スペインは47℃,https://news.yahoo.co.jp/articles/ee9c318632f646c4e3d560059d66ad32550448d8,7/26(金) 20:57
ann,テレビ朝日系（ANN）,著名人らがハリス応援団　選挙活動にビヨンセ“人気曲”採用,https://news.yahoo.co.jp/articles/2ef83f26d9c92ba90315d2fc20b384ff7d9ca931,7/26(金) 19:56
ann,テレビ朝日系（ANN）,パリ五輪 史上初 スタジアム外で開会式 選手は船で入場 テロ警戒でスナイパー配備も,https://news.yahoo.co.jp/articles/43d1fb412ab30478a1bfd4ca70c439c415f12f4f,7/26(金) 19:54
ann,テレビ朝日系（ANN）,「クレヨンしんちゃん」登場のスーパー 春日部のイトーヨーカドー閉店へ,https://news.yahoo.co.jp/articles/5cc8425a77b70090e1e41939123aa47900b81395,7/26(金) 19:52
ann,テレビ朝日系（ANN）,アフリカで干ばつ　生態系に影響　池が干上がり…フラミンゴ“絶滅危機”,https://news.yahoo.co.jp/articles/08a22ffefcdafc62ea565974f73e2c194e884459,7/26(金) 19:51
ann,テレビ朝日系（ANN）,南米で山火事が猛威　8000件超の火災　焼け野原広がる,https://news.yahoo.co.jp/articles/78e01fb32754fced90b25182e4395da4a642bab5,7/26(金) 19:49
ann,テレビ朝日系（ANN）,住宅地をのみ込む炎　米国で“今年最大”山火事　原因は…,https://news.yahoo.co.jp/articles/61e7d940cb18811b24b2ccceb62876ba866cdbed,7/26(金) 19:46
ann,テレビ朝日系（ANN）,開会式直前に…仏国鉄に“攻撃”交通混乱　パリ五輪への影響は,https://news.yahoo.co.jp/articles/7257d0bdb1e5def73c49ef23a19b406702fa0f8e,7/26(金) 19:44
ann,テレビ朝日系（ANN）,食品ロス削減へ　食べ残し「持ち帰り」ガイドライン作成に向け初会合,https://news.yahoo.co.jp/articles/090cce3727022efe8a383d94efe9d5bac9332c27,7/26(金) 19:39
ann,テレビ朝日系（ANN）,パリ五輪開会式直前に“攻撃”でフランス国鉄混乱　駅の様子は,https://news.yahoo.co.jp/articles/ccb03c8843c7b50890511d74fccaf83f8715eb9c,7/26(金) 19:37
ann,テレビ朝日系（ANN）,信心深い？いえ泥棒です“拝むフリ”からのさい銭窃盗 一部始終,https://news.yahoo.co.jp/articles/be7bf8e54f13cd1eb15068564ce076b8d2be6430,7/26(金) 19:36
ann,テレビ朝日系（ANN）,記録的大雨から一夜明け、全容次第に　山形で橋崩落　秋田の工事現場で土砂崩れ,https://news.yahoo.co.jp/articles/a0b46d9af1d1b999cc2c4bc393af1b6bb95ef7dc,7/26(金) 19:33
ann,テレビ朝日系（ANN）,相次ぐ水の事故「きれいで透き通った川が危ない」,https://news.yahoo.co.jp/articles/44669dd6a765dc44c7d64dbf03e4353bea363313,7/26(金) 19:27
ann,テレビ朝日系（ANN）,【速報】敦賀原発2号機　規制委審査会合が新規制基準に「不適合」と初めての判断,https://news.yahoo.co.jp/articles/c6a7d593d26dd89396b2533c3ffcd637e8e2441e,7/26(金) 19:25
ann,テレビ朝日系（ANN）,世界上位1％の富裕層が10年で資産42兆ドル増やす　下位50％の保有資産の34倍,https://news.yahoo.co.jp/articles/ce3ce018ec1c3a4fdc42881df911d03f539aa432,7/26(金) 19:21
ann,テレビ朝日系（ANN）,ロシア軍が黒海とつながるアゾフ海からすべての艦艇を撤退　ウクライナが明らかに,https://news.yahoo.co.jp/articles/258c08ce2c3bbc5e8a35061e47c877bc24863172,7/26(金) 19:19
ann,テレビ朝日系（ANN）,GACKT“交通費10分の1計画”ぶち上げ！ 赤楚衛二は昼寝時間導入を提案,https://news.yahoo.co.jp/articles/e10c1b6d11b53a60d0e6ce692a71067a1a1f2071,7/26(金) 19:18
ann,テレビ朝日系（ANN）,「五輪開会式に影響はない」仏高速鉄道の放火“テロとして捜査”,https://news.yahoo.co.jp/articles/8b7472e133a99de453f7afe3549288741ab28c40,7/26(金) 19:18
ann,テレビ朝日系（ANN）,「Amor Amore.」百野綾華（28）甲状腺の悪性腫瘍で9月に手術,https://news.yahoo.co.jp/articles/38c698986f8a039b073a17bde51361a8237babc8,7/26(金) 19:17
ann,テレビ朝日系（ANN）,中国・蘇州市バス停で日本人親子襲われた事件で阻止して死亡の中国人女性が「勇士」に,https://news.yahoo.co.jp/articles/820f98e70fee78bbc4a5a4e46bbf0dc31ad27f6d,7/26(金) 19:17
ann,テレビ朝日系（ANN）,木原防衛大臣に「強いリーダーシップを」岸田総理が続投指示,https://news.yahoo.co.jp/articles/d80fd74fe9e388e93851e42aafb93b2bb32c960f,7/26(金) 19:15
ann,テレビ朝日系（ANN）,五輪直前のフランス国鉄に「大規模攻撃」　高速鉄道TGV3路線で放火,https://news.yahoo.co.jp/articles/a718edff74469e5092f2276b23b12609601e6fcf,7/26(金) 19:13
ann,テレビ朝日系（ANN）,JR秋田駅で断水　混乱広がる　貯水槽に不具合か,https://news.yahoo.co.jp/articles/7e9e833dc0b7997c9e6811e8212aabff266ee476,7/26(金) 19:06
ann,テレビ朝日系（ANN）,男子中学生が心肺停止 川遊び中か　広島市,https://news.yahoo.co.jp/articles/7a2550781927e1efd32cf8d93c20f0624d084739,7/26(金) 19:04
ann,テレビ朝日系（ANN）,【速報】「五輪開会式に影響はない」仏高速鉄道の放火“テロとして捜査”,https://news.yahoo.co.jp/articles/036f26638b76a857a6765a54d512848d6f875cdb,7/26(金) 19:03
ann,テレビ朝日系（ANN）,スルッと皮だけキレイに！「桃の皮むき」プロが教えるコツ,https://news.yahoo.co.jp/articles/0604cdb7f033619a85b8c90ddc42a3862f11741d,7/26(金) 19:01
ann,テレビ朝日系（ANN）,気軽に買えない！？ 夏祭りの定番「チョコバナナ」にも値上げの波,https://news.yahoo.co.jp/articles/267a72fc0a844534cc6912aecbb8f688fda500a1,7/26(金) 18:38
ann,テレビ朝日系（ANN）,大雨の影響で山形新幹線の一部区間であしたも運転を見合わせ　JR東日本,https://news.yahoo.co.jp/articles/6348279ddeb4acf0bfc996f003acad5ac4f2bbe6,7/26(金) 18:36
ann,テレビ朝日系（ANN）,後発品の販売妨害で医療機器販売会社に排除措置命令　公取委,https://news.yahoo.co.jp/articles/4eaf27d3dd90a317ff6b7f5524f6e72d145c15aa,7/26(金) 18:32
ann,テレビ朝日系（ANN）,【速報】東京・中野区の“駅前マンション”で火災  爆発の情報も,https://news.yahoo.co.jp/articles/c79da36a55d9183f5c010659b6f58778fe407e94,7/26(金) 18:28
ann,テレビ朝日系（ANN）,大雨続く山形＆秋田 2度の特別警報 爪痕は,https://news.yahoo.co.jp/articles/3ada2e124473a462a996a6f02308586ec47e0766,7/26(金) 18:27
ann,テレビ朝日系（ANN）,【速報】山形新幹線の一部区間  大雨の影響で27日も運転を見合わせ  JR東日本,https://news.yahoo.co.jp/articles/93bd5bdec6f2addb36e46261b7557aa651e6b0de,7/26(金) 18:25
ann,テレビ朝日系（ANN）,日本人の妻になるため偽装結婚か 中国籍の女ら5人逮捕,https://news.yahoo.co.jp/articles/19414608846d011e7da326bbdf3646e01d0ab75b,7/26(金) 18:11
ann,テレビ朝日系（ANN）,落雷が原因か　住宅が全焼　住人の女性搬送　三重・津市,https://news.yahoo.co.jp/articles/138ca4569c9e2f8aad046c04fe24b351f6bc5de4,7/26(金) 18:10
ann,テレビ朝日系（ANN）,広瀬すず＆山下智久が涼しげでさわやかな衣装で“自己流”夏の暑さ対策を熱弁!!,https://news.yahoo.co.jp/articles/835f8de442503426900ccd49bfc4ca81582589a4,7/26(金) 18:09
