media_en,media_jp,title_articles,link_articles,date_original
fullcount,Full-Count,判明した大谷翔平だけの記録　4か月で変え続けるド軍の歴史…本拠地2位だけじゃない偉業,https://news.yahoo.co.jp/articles/5779e0330cfa24223101934ec3fcb105fe95991c,7/22(月) 12:54
fullcount,Full-Count,大谷翔平「いい感覚がいい結果に」　トレード期限迫るも「今いるメンバーで」…一問一答,https://news.yahoo.co.jp/articles/4aba58d197ddfdf67017a0c4b18e57b4376bb633,7/22(月) 12:23
fullcount,Full-Count,吉田正尚、大谷翔平の特大弾に立ち会えず…動画で再生し驚愕「すごいの見られました」,https://news.yahoo.co.jp/articles/56868778e9b70fc4ccf642f13e1ed0fb6744fbe4,7/22(月) 12:01
fullcount,Full-Count,9人出場の日ハム勢に期待の球宴　26日再開のリーグ戦で巨人はDeNAと激突…今週のNPB日程,https://news.yahoo.co.jp/articles/850ee2d9b6d2e9ad2c0403a50c49840e25c4c8a7,7/22(月) 12:00
fullcount,Full-Count,ロバーツ監督、思わず「いやぁ…」　大谷翔平の特大144m弾に愕然「理解しがたい」,https://news.yahoo.co.jp/articles/6d04197d11494645c6b20be6e41f9fa62f3aa5d1,7/22(月) 11:51
fullcount,Full-Count,大谷翔平、日本開幕戦での投手復帰に言及　「それくらいのクオリティで迎えたい」,https://news.yahoo.co.jp/articles/d3062211d4801ac474d573eed5ab9d12c32c7462,7/22(月) 11:32
fullcount,Full-Count,大谷翔平「1番大きな本塁打は今後打てれば」　144m弾も満足せず…さらなる飛距離へ意欲,https://news.yahoo.co.jp/articles/396b064f314359eabb5082537a74953f158e621d,7/22(月) 11:19
fullcount,Full-Count,大谷翔平、日本人初の4年連続30HR　“場外”へ弾んだ超特大144m…ド軍は後半戦3連勝,https://news.yahoo.co.jp/articles/fc5dfafac294b4ba9642191d0d93ac16b4092315,7/22(月) 10:53
fullcount,Full-Count,大谷翔平の144m弾より「広告に目いったわ」　日本企業の“宣伝効果”が「えげつない」,https://news.yahoo.co.jp/articles/0267677179e3074cc31964f8927eb3140f95186c,7/22(月) 10:28
fullcount,Full-Count,大谷翔平の特大弾にカーショー笑い止まらず　144mに驚愕「ハハハ…言葉が出ない」,https://news.yahoo.co.jp/articles/b74a6ee5f07d0e08af5186b0f30f83cfaa394e43,7/22(月) 10:22
fullcount,Full-Count,大谷翔平の超特大弾は“場外”へ　飲み物探し…モニター見ていた男性ゲット「運がよかった」,https://news.yahoo.co.jp/articles/685b2324db32d17bb5ee73cd53f392b337750e33,7/22(月) 10:04
fullcount,Full-Count,大谷翔平、144m弾はドジャースタジアムで歴代2位　4年連続30号の節目に華…また快挙,https://news.yahoo.co.jp/articles/c4abf619d5aed51ff667ab938fa603f13c39427c,7/22(月) 9:50
fullcount,Full-Count,大谷翔平、日本人初4年連続30号は144m超特大弾　本拠地どよめき…日米通算250号王手,https://news.yahoo.co.jp/articles/21056f40409f68708e80c5b2607a0a22b24c8957,7/22(月) 9:31
fullcount,Full-Count,ピンクワンピ＆“うさ耳”が「超可愛いです」　美女インフルエンサーの豪快投球に注目,https://news.yahoo.co.jp/articles/c2e4deb06b5e2ee7872d2e98b889405b3b112c5d,7/22(月) 9:19
fullcount,Full-Count,ロッテ24歳が「マジで覚醒した」　打ちまくる“.471＆1.232”…6年目ドラ1は「最強！」,https://news.yahoo.co.jp/articles/5dc29559d08894bc37a4b7118c9689697f7d00af,7/22(月) 8:55
fullcount,Full-Count,人気急上昇の美人台湾チアは“元女優”　激白した日本愛…お気に入りの人気施設とは,https://news.yahoo.co.jp/articles/380504a76fa73a1c13e056ce530e1105db307ddc,7/22(月) 8:05
fullcount,Full-Count,巨人20歳が残した衝撃「えぐい」　育成からの急進化…圧倒の14球「後半戦は1軍で」,https://news.yahoo.co.jp/articles/76f0314c48e30c896947367f7f872595abc554d9,7/22(月) 7:55
fullcount,Full-Count,広島の入団テストで「完全に肘が飛んだ」　2つの後悔…指導に活かす“失敗基準”,https://news.yahoo.co.jp/articles/9ab24da77f90e9fceac37cace7a5343c03708c91,7/22(月) 7:50
fullcount,Full-Count,清宮幸太郎が「完全に蘇った」　“美しすぎる2発”…8の7に衝撃「ついにお目覚めか」,https://news.yahoo.co.jp/articles/9da8f9f2aee427c6b745f6ec7b202eb12130b155,7/22(月) 7:45
fullcount,Full-Count,人気声優が黒髪なびかせ豪快投球「最高すぎた」　キュートな満開笑顔が「愛おしすぎる」,https://news.yahoo.co.jp/articles/7b72bf3896bc3b95d1d3190eae65104348ae5c39,7/22(月) 7:40
fullcount,Full-Count,山本由伸、離脱は「凄く悔しく思います」　リハビリ順調…今季中復帰へ「もちろん」,https://news.yahoo.co.jp/articles/296a5ec1a3e9956204b64d6ec640188a1af9e362,7/22(月) 7:34
fullcount,Full-Count,巨人26歳が「化けた」　待望の一発…移籍1か月で掴んだ居場所「来てくれてありがとう」,https://news.yahoo.co.jp/articles/cbdf0a9a12760059756e91dbf63662e65633a55f,7/22(月) 7:30
fullcount,Full-Count,同級生ドラ1は「やっぱり気になる」　社会人2年目…大阪桐蔭“最強世代”24歳の本心,https://news.yahoo.co.jp/articles/4fedaca9b2b354d3b71c4d1779a117b2279ece51,7/22(月) 7:20
fullcount,Full-Count,今永昇太、来季の日本開幕戦に喜び　“凱旋登板”意欲「日本の皆さんに育ててもらった」,https://news.yahoo.co.jp/articles/2a6bb08a69d98715dc35b2500eda293cba78a02b,7/22(月) 7:10
fullcount,Full-Count,助っ人の父に“激似”…日本に「行ってみたい」　193cmの逸材20歳が思い描く未来像,https://news.yahoo.co.jp/articles/f4d07cedb48b035460bb8b97d2cd87aa584d494b,7/22(月) 7:10
fullcount,Full-Count,落合の巨人入り阻止…煽り受けた守護神「やめよかな」　説得拒否したスカウトの親心,https://news.yahoo.co.jp/articles/bdbfb17e709f4e6cff3715db07b8e97321309762,7/22(月) 6:50
fullcount,Full-Count,ジャッジ、メジャートップ独走の35号　後半戦初アーチで大谷と6本差、驚異の56発ペース,https://news.yahoo.co.jp/articles/4149cf74998f522ab1d290d0592eb0c4217317ae,7/22(月) 5:01
fullcount,Full-Count,ド軍、昨季23発アウトマンをマイナーへ降格　打率.153と低迷…ヘイワードが復帰,https://news.yahoo.co.jp/articles/98b74a69204da7a6b4dd628ec706947de1210576,7/22(月) 4:42
fullcount,Full-Count,大谷翔平は「1番・DH」　日本勢初の快挙まであと1、吉田正尚は「6番・DH」…スタメン発表,https://news.yahoo.co.jp/articles/d198670fe1b020b5666f01fbc4d035dba2327298,7/22(月) 4:40
fullcount,Full-Count,清宮2発でハムが5連勝　西武は完封許し借金32で後半戦へ…21日のパ・リーグ,https://news.yahoo.co.jp/articles/5422e25516730c40a9a8473ee5afd39a982d04e8,7/21(日) 21:37
fullcount,Full-Count,ハム清宮が2打席連続アーチ　衝撃の4安打に新庄監督は拍手…止まらぬ打棒に敵地騒然,https://news.yahoo.co.jp/articles/0374a7866b229d94307e06c862a2786dba988c04,7/21(日) 20:09
fullcount,Full-Count,DeNAから得た“お宝”は「まさに神」　際立つ勝負強さ…断トツの62「2冠王いける」,https://news.yahoo.co.jp/articles/e47cf5f940f104c111f139d3dc28730c305a0f40,7/21(日) 19:35
fullcount,Full-Count,美人妻のミニスカ「白ドレスが最高」　511億円男と純愛実らせた「完璧なカップル」,https://news.yahoo.co.jp/articles/7c6bb1aa91b1359bd0bef601172c580940f0cc02,7/21(日) 19:01
fullcount,Full-Count,韓国セーブ王が“崖っぷち”　2Aで悪夢の防御率23.63…7億円右腕は「ますます混迷」,https://news.yahoo.co.jp/articles/aea50886c16dcbab09c790d67c4c922829cd706f,7/21(日) 18:30
fullcount,Full-Count,名物の“96歳”バット犬引退に「泣いちゃった」　6年間の大役…ひたむきな姿に感涙,https://news.yahoo.co.jp/articles/4257e03ce5ffe47e49c6dfaffed8da422b8ca09c,7/21(日) 18:00
fullcount,Full-Count,大谷翔平も絶賛…167キロ剛腕に噂されるド軍入り　米メディア「可能性を排除できない」,https://news.yahoo.co.jp/articles/87b8d24abb987a2dfdde76d5ec63a59a094d68b9,7/21(日) 17:28
fullcount,Full-Count,現役ドラフトで“当たり”続出　オリドラ6はNPBタイ記録…活況なパの救援事情,https://news.yahoo.co.jp/articles/6bc5a3e9d48734352a7c7095f29ef3de98c384f6,7/21(日) 17:10
fullcount,Full-Count,酷暑に透き通る白い肌…ベルーナDに現れた美女声優　豪快投球にファンも拍手,https://news.yahoo.co.jp/articles/2037c499cf17529f8a650775c5cb2c35f61e73b2,7/21(日) 16:52
fullcount,Full-Count,大谷翔平は「アスリートの標本」　200勝右腕を虜…全米放送で力説した“武器”,https://news.yahoo.co.jp/articles/6aff6fd2152cc5da5cfc0f58e837cc5251c75285,7/21(日) 16:28
fullcount,Full-Count,神戸に降臨した美女インフルエンサー　ピンクのワンピで豪快投球…ファン大喝采,https://news.yahoo.co.jp/articles/070871d2d4e88eff84f011705555abd191248a98,7/21(日) 16:02
fullcount,Full-Count,大谷翔平の敬遠で始まった悪夢「学習しないのか？」　2夜連続の“奇襲”失敗にSNS辛辣,https://news.yahoo.co.jp/articles/2313a829446834e4bcd0aa52c8f0d9222a5ee9e2,7/21(日) 15:44
fullcount,Full-Count,日ハムにまた現れた逸材「本当にバケモン」　弾丸ライナーに驚嘆「1軍で待ってます」,https://news.yahoo.co.jp/articles/8cbfd994788eb1db1204c4adf95dbe9d4c284181,7/21(日) 15:05
fullcount,Full-Count,大谷翔平への恐怖…敵軍が直面する八方塞がり　2戦連続で劇的勝利を呼んだ“共通点”,https://news.yahoo.co.jp/articles/d59d1f01f7b0044c0af8cfa28f44232e1c17041d,7/21(日) 14:26
fullcount,Full-Count,菊池雄星は大谷翔平と「一緒になるかもしれない」　ド軍移籍の可能性を米記者予測,https://news.yahoo.co.jp/articles/de15fd0998256e1edf46a965615b314460fe9acd,7/21(日) 13:51
fullcount,Full-Count,7年間で5安打→すでに4HR…楽天25歳が「ロマンに溢れてる」　覚醒の兆しにファン期待,https://news.yahoo.co.jp/articles/865855196fdd751dcf0c5d1a8d3e750b9846b756,7/21(日) 13:15
fullcount,Full-Count,大谷翔平は「怒る選手ではない」　2連続申告敬遠も…指揮官サヨナラ勝ちにご機嫌,https://news.yahoo.co.jp/articles/e855a071a03904a1f3c4af03a28ee82968d00534,7/21(日) 12:44
fullcount,Full-Count,大谷翔平を申告敬遠→直後にサヨナラ負け　2夜連続の悪夢に敵将反省「監督として最悪」,https://news.yahoo.co.jp/articles/c23c3c7513c7e6ad5f0891acfd1972e49433fb0f,7/21(日) 12:22
fullcount,Full-Count,大谷翔平、2打席連続サヨナラ機で申告敬遠　敵軍は“異例策”も裏目…本拠地ブーイング,https://news.yahoo.co.jp/articles/2795b5f6f5e139ff881fad80878e973670834b6c,7/21(日) 11:50
fullcount,Full-Count,大谷翔平、日本人3人目の米通算800安打　好機で2度の申告敬遠…ド軍はサヨナラ勝ち,https://news.yahoo.co.jp/articles/eed908711e25a7bad5f590b8fcea7c9104a35798,7/21(日) 11:46
fullcount,Full-Count,巨人と対照的なスタメン事情に滲む苦闘　存在感示せぬ生え抜き…様変わりの“試行錯誤”,https://news.yahoo.co.jp/articles/b94e401483cdd4734f02c229cc646f10654dc135,7/21(日) 11:16
fullcount,Full-Count,大谷翔平、サヨナラ好機で申告敬遠　土壇場で同点…勢い増す本拠地は大ブーイング,https://news.yahoo.co.jp/articles/e1569bcc04ec3338100a33e418374dc0a9f32425,7/21(日) 11:02
fullcount,Full-Count,オズナが2打席連発、大谷翔平に1HR差急接近　27号＆28号…打点は独走態勢,https://news.yahoo.co.jp/articles/0609e138111475fce710e883c1593c730eb6d128,7/21(日) 10:13
fullcount,Full-Count,佐々木麟太郎、“大学初”アーチは特大130m弾　サマーリーグ3戦目で初安打…球場騒然,https://news.yahoo.co.jp/articles/69ac9d793ac0ccde91352a88386d8baee2518213,7/21(日) 10:10
fullcount,Full-Count,膝から崩れ落ち…山本由伸に「綺麗な土下座だ」　日本人スターの“大役”が「胸熱」,https://news.yahoo.co.jp/articles/a6e34522b9b5728f38794d193ff35dfb7045d40a,7/21(日) 9:38
fullcount,Full-Count,わずか9登板で現役ドラフト→打者圧倒の「1.71」　元ドラ1が「信じられん」飛躍,https://news.yahoo.co.jp/articles/a3dff9ad8acd9ecce844ed35461798b285a20d06,7/21(日) 9:25
fullcount,Full-Count,大谷翔平＆Creepy Nutsが“粋なコラボ”　ド軍戦でパフォ→登場曲を変更に大歓声,https://news.yahoo.co.jp/articles/74e494d873a5084664ac225be8bff78e9f3d4ed4,7/21(日) 8:26
fullcount,Full-Count,大谷に匹敵…同僚の「筋肉すごい」　斬新スタイルで露わ、衝撃メロン肩にSNS驚き,https://news.yahoo.co.jp/articles/917e0612cb24f2490c978528410c0eff81cda4a9,7/21(日) 8:17
fullcount,Full-Count,広島25歳の超反応に騒然「次元の違う守備力」　ヒット強奪の超美技に「うますぎて驚く」,https://news.yahoo.co.jp/articles/95969c7b5787646b934c3254870484e8cdc17bad,7/21(日) 8:05
fullcount,Full-Count,“無名の逸材”にSNS騒然「もうドラフト候補」　突如現れた24歳が「めっちゃ良い」,https://news.yahoo.co.jp/articles/066a5fb83d593eb9eebd3d5bf85625413a7036b6,7/21(日) 7:55
fullcount,Full-Count,小学生に「逆シングル」指導!?　恩師の言葉で激変…あえて“リスクをとる”守備意識,https://news.yahoo.co.jp/articles/41d053e8ca8776b15112313a85dbd10929a86003,7/21(日) 7:50
fullcount,Full-Count,引退から4年も…変わらぬ剛球に衝撃「現役いけそう」　元メジャー45歳右腕が「若々しい」,https://news.yahoo.co.jp/articles/e4eec14edf2d356eb4d8cfd7d5460d2b3c0285fa,7/21(日) 7:45
fullcount,Full-Count,大谷出場試合で「Creepy Nuts」がパフォ　米国で人気曲熱唱…ファン大盛り上がり,https://news.yahoo.co.jp/articles/679357c06c893cbdd871ed4a2887519747f4c067,7/21(日) 7:40
fullcount,Full-Count,大谷翔平の“気遣い”が「素晴らしい」　日本人少年への神対応が反響「やっぱり最高」,https://news.yahoo.co.jp/articles/dbb0a3a781ddaf8e2248a09db3ae7f6a7463baf1,7/21(日) 7:40
fullcount,Full-Count,2度の2軍落ち…秋広優人は「もったいない」　ブレーク→0HRに巨人OB指摘「勉強しないと」,https://news.yahoo.co.jp/articles/cb5d4b07ef759f6304d3b1d681b1874a4cbb5f22,7/21(日) 7:30
fullcount,Full-Count,人気急上昇の台湾チア「とても恥ずかしかった」　悩み激白…元アイドル金髪美女の正体,https://news.yahoo.co.jp/articles/2354a00bcf91224069202157b99342d79a1fd915,7/21(日) 7:20
fullcount,Full-Count,無念の指名漏れから2年「同じ失敗繰り返さない」　大阪桐蔭“最強世代”24歳の現在地,https://news.yahoo.co.jp/articles/89a4dcbd0abc5e29a214168c15db6747b67672d1,7/21(日) 7:10
fullcount,Full-Count,女子ソフトW杯、日本代表が10年ぶり世界一　決勝で米国下す…レジェンド上野が締める,https://news.yahoo.co.jp/articles/71cc48ea9408652814db34c9d4158583d4889c31,7/21(日) 6:57
fullcount,Full-Count,中日ドラ2指名に激怒「もう来ないで」　拒否→進学打ち出すも…大逆転呼んだ“密会”,https://news.yahoo.co.jp/articles/5031bc2238597e9e6a95f358572cc92a285e461a,7/21(日) 6:50
fullcount,Full-Count,大谷翔平は「1番・DH」　日本人初の偉業まであと「1」、吉田正尚は先発外…両軍スタメン発表,https://news.yahoo.co.jp/articles/c15ceb1581b89b07a13856c1b397a478d44ca8cb,7/21(日) 5:00
fullcount,Full-Count,エ軍朗報…左膝手術のトラウト復帰は最短26日　キャンプ施設で実戦練習開始、米報道,https://news.yahoo.co.jp/articles/8a02428ae5dd0c4e3595fc688ff568b0fbf4b44c,7/21(日) 4:45
fullcount,Full-Count,日ハム助っ人がNPB3年ぶり白星　西武・野村大＆蛭間に今季1号…20日のパ・リーグ,https://news.yahoo.co.jp/articles/bdf1dbe216eaf1825f8ecb63c774188223b605f2,7/20(土) 22:18
fullcount,Full-Count,ロッテ“夏の祭典”で味わう非日常感　限定グルメにイベント…試合後はパーティーも,https://news.yahoo.co.jp/articles/5e24ab9ce59b7345e59bc51d852641c6f53498c5,7/20(土) 21:10
fullcount,Full-Count,マーティンは活躍できる？　最強助っ人、優勝監督＆MVPも…パで活躍した“兄弟選手”,https://news.yahoo.co.jp/articles/3270f77dcda0f53bafd2ae74deb9167a4bcca744,7/20(土) 20:50
fullcount,Full-Count,甲子園に降臨した“女神”　限定ユニにスカート姿…美人歌手が「誰よりも可愛い」,https://news.yahoo.co.jp/articles/30f5e910ae22c7572529f487ba7d0108c32395b5,7/20(土) 20:26
fullcount,Full-Count,鷹18歳ドラ1を「早く1軍で見たい」　大舞台で見せた片鱗…圧倒の3人斬り「将来のエース」,https://news.yahoo.co.jp/articles/024d41c859e6ebc1287c5e04d3944772efde5a0b,7/20(土) 19:20
fullcount,Full-Count,高校野球で有力校が続々敗退　東海大菅生は1イニング10失点、常総学院は春夏連続ならず,https://news.yahoo.co.jp/articles/d34de3a530cd98b52c88d463e5114e77c9d28b3b,7/20(土) 19:01
fullcount,Full-Count,二塁打が“本塁打”…怠慢に批判殺到「信じられない」　ド軍移籍候補の大物が「酷い守備」,https://news.yahoo.co.jp/articles/35db6bd3fc283f4cb68eaf56f3fa437219e6f7b8,7/20(土) 18:45
fullcount,Full-Count,西武にトレードの野村大樹が古巣から移籍後初本塁打　先制2ランに本拠地熱狂「思い切り」,https://news.yahoo.co.jp/articles/ec3f2ec10b03de18185ced24d63900ba354296f5,7/20(土) 18:15
fullcount,Full-Count,阪神28歳の復活が「最高の補強」　TJ手術→支配下…戻ってきた逸材は「虎の最終兵器」,https://news.yahoo.co.jp/articles/4903321763495c0479ce86fe09729dac6e594a2f,7/20(土) 17:58
fullcount,Full-Count,大谷翔平の凱旋登板は「プランはある」　ド軍幹部は断言も…拭えぬ日本開幕の“負担”,https://news.yahoo.co.jp/articles/b3a7cd15abeabc4636c2f6edefca3fac3a953b4a,7/20(土) 17:30
fullcount,Full-Count,“大谷超え”24歳の金髪彼女が「美人すぎる」　大胆黒ドレスで際立つスタイル「素敵」,https://news.yahoo.co.jp/articles/725cdb953f7bf4a429a49cf9a7b79d4c6189b164,7/20(土) 17:06
fullcount,Full-Count,広島33歳が衝撃美技「なんで捕れるの？」　甲子園悲鳴の安打強奪「スーパープレー」,https://news.yahoo.co.jp/articles/fd97592b459fe2ff416ad5d9a60324c850985907,7/20(土) 16:39
fullcount,Full-Count,大谷翔平の“凱旋”試合で「とてつもないことに」　日本中が熱狂か…米記者もすでに興奮,https://news.yahoo.co.jp/articles/35a86042d3bb9bb2cfcc3391429fa7ff7897575f,7/20(土) 16:22
fullcount,Full-Count,12球団最強の8.0…鷹28歳は「無敵やな」　“安打強奪”の衝撃美技が「神すぎる」,https://news.yahoo.co.jp/articles/25bda9f9f5fdd9b5e37ea8bd98e323219e8df264,7/20(土) 15:59
fullcount,Full-Count,投球前の“違反裁定”は「理解できない」　ヤ軍エース激怒の判定は「野球をダメにしている」,https://news.yahoo.co.jp/articles/541cfa10a45ffd8b9e77cbdfeba30eb40530b429,7/20(土) 15:28
fullcount,Full-Count,ド軍編成部長が示す“本気”　菊池雄星の名前も…米報道「最高級のトレードに注力」,https://news.yahoo.co.jp/articles/7bd4b055b510abd04497b97964294302db3c9e46,7/20(土) 14:57
fullcount,Full-Count,まさかの敬遠でMVPと勝負「グレートな回だった」　逆転勝ちにロバーツ監督はニヤり,https://news.yahoo.co.jp/articles/ad5375d863f2f79e6169289cb1ccc00ade05a788,7/20(土) 14:29
fullcount,Full-Count,7年目の燕29歳が「マジで覚醒した」　止まらぬ打棒…衝撃の.481「救世主すぎる」,https://news.yahoo.co.jp/articles/960611f56e63c6553cb1e5f120cbdb82ff8059dc,7/20(土) 13:55
fullcount,Full-Count,大谷翔平、左翼線二塁打で逆転演出　4の1で打率.316…フリーマン満塁弾で後半戦白星発進,https://news.yahoo.co.jp/articles/f16c80104926ad11f7fe7569ab674ea2f2290d00,7/20(土) 13:46
fullcount,Full-Count,阪神の“救世主”へ…22歳の「昇格お願いします」　2軍で示す衝撃の「.302＆.815」,https://news.yahoo.co.jp/articles/a5773c52d22d3482a07ed135776b72592b9a1037,7/20(土) 13:15
fullcount,Full-Count,メキシコの“腕組み男”、大谷翔平と共闘か？　ド軍泣き所解消へ…米記者が指摘,https://news.yahoo.co.jp/articles/9a473ce0c5faf7b026f3c3198321e411be4e5c8c,7/20(土) 12:22
fullcount,Full-Count,チアに交じった現役アイドルが「マジ可愛い」　ミニスカ＆ポンポンで魅了「やっぱ違う」,https://news.yahoo.co.jp/articles/a8e44375198d752fa4a2f84f606282f4ffe97923,7/20(土) 11:51
fullcount,Full-Count,投手指標トップなのに“借金4”…虎右腕の悲劇示す「2.28」　同情殺到「泣けてくる」,https://news.yahoo.co.jp/articles/676e30c54f9e5191fcea6915349f4aced27a3bc7,7/20(土) 11:20
fullcount,Full-Count,大谷翔平が「爽やかでカッコいいなぁ」　後半戦へ…微笑みの“白T出勤”に称賛,https://news.yahoo.co.jp/articles/eecd966ffa2aa175fc3cbef3b89cb40b75075340,7/20(土) 10:43
fullcount,Full-Count,ド軍GM、補強を「考えている」　主力に故障者続出…「インパクト与える選手を」,https://news.yahoo.co.jp/articles/dfb27fbb8e28e6b3bf2df37de0344c8eae8a4783,7/20(土) 10:23
fullcount,Full-Count,1軍未出場の「隠れプロスペクト」　21歳の光る“足”…2軍トップの「2.0」,https://news.yahoo.co.jp/articles/3500bd3b60502db388a68d33ea0bfb251445c43d,7/20(土) 9:48
fullcount,Full-Count,大谷翔平＆山本由伸が吉田正尚と談笑　ファンも大注目…“世界一トリオ”再集結,https://news.yahoo.co.jp/articles/716d8cf830cd1c1a49d9462ce3fd9ed1c3bd59c2,7/20(土) 9:18
fullcount,Full-Count,大谷翔平が「鳥肌立つほどかっこいい」　“特別映像”に歓喜「映画のようだ」,https://news.yahoo.co.jp/articles/4b2e8579e0ef5f095566dad3c6dc386b7025887e,7/20(土) 9:06
fullcount,Full-Count,ド軍の日本開幕戦は「エキサイティング！」　監督歓迎「ワクワクしている人多いだろう」,https://news.yahoo.co.jp/articles/e03a28bee34e29e634fa1afd87e67c10bb6c3f50,7/20(土) 8:43
fullcount,Full-Count,“野戦病院”ド軍に朗報…エース右腕が戦線復帰　24日に先発予定と明言、米報道,https://news.yahoo.co.jp/articles/ed28ece17ec103fdf8120e8ed3687aca30cab30d,7/20(土) 8:20
fullcount,Full-Count,守護神と24歳捕手が「彼氏と彼女」　“記念日”にヒヤヒヤ勝利…胸熱場面が「尊すぎる」,https://news.yahoo.co.jp/articles/a445db6aa6368aad09868de308d04fd326900134,7/20(土) 8:10
fullcount,Full-Count,球速向上に繋がる“プライオボール”は小学生にも？　155キロ右腕が推奨「5本指投法」,https://news.yahoo.co.jp/articles/3d930de21215e310459e80d3de65c8323f648b1d,7/20(土) 7:50
fullcount,Full-Count,甲子園に舞い降りた“ポニテ美女”が「きゃわわ」　豪快投球をファン称賛「素晴らしい」,https://news.yahoo.co.jp/articles/93dd5ab3fe90460ad6962b827526294c9012581b,7/20(土) 7:40
fullcount,Full-Count,173cm美女の「頭身がバグってる」　抜群スタイルで登場、ヘソ出し投球が「ばりかわいい」,https://news.yahoo.co.jp/articles/2a26e385bfde415b4ebde1d2a0119cc3075dfbf0,7/20(土) 7:30
