media_en,media_jp,title_articles,link_articles,date_original
gifuweb,岐阜新聞Ｗｅｂ,中津川市長選告示　現職と新人が立候補　１月１４日投開票,https://news.yahoo.co.jp/articles/683dbf01d5fa6f2c778923409176770959bc28b2,1/7(日) 10:16
gifuweb,岐阜新聞Ｗｅｂ,「黒獅子旗持ち帰る」「希望届けたい」西濃運輸野球部と空手道部が初練習,https://news.yahoo.co.jp/articles/1dad2fed7ccabc9aa7aa4c3fcb9f617389257851,1/7(日) 10:06
gifuweb,岐阜新聞Ｗｅｂ,縁起物「花笠」つかみ取れ　岐阜・郡上市、４年ぶり花奪い祭り,https://news.yahoo.co.jp/articles/401fd467afb2e8bd033001481076074b29d7a7f5,1/7(日) 9:57
gifuweb,岐阜新聞Ｗｅｂ,「世界に一つの花」華やかアートフラワー　岐阜・海津市で作品展,https://news.yahoo.co.jp/articles/dc4c78df396f3975efe382ae48f55ee4e970ef5f,1/7(日) 9:02
gifuweb,岐阜新聞Ｗｅｂ,「志望校合格」受験生が願い込め絵馬奉納　岐阜市の加納天満宮,https://news.yahoo.co.jp/articles/592bd249dde6a0ff8d41e556f5d9e95b5a691f31,1/7(日) 8:23
gifuweb,岐阜新聞Ｗｅｂ,公共交通のみ通行「トランジットモール」社会実験　２４日から名鉄岐阜駅前で周囲への影響調査,https://news.yahoo.co.jp/articles/6c5c138df159dcb0738ffc514e8259cb10b693c1,1/7(日) 7:57
gifuweb,岐阜新聞Ｗｅｂ,全日本高校バレー、女子の済美は２回戦敗退　旭川実（北海道）に０－２,https://news.yahoo.co.jp/articles/10f54c017be2cf117359a575b2030371e84a52bb,1/6(土) 11:11
gifuweb,岐阜新聞Ｗｅｂ,佐伯瑠壱斗（岐阜ヨコゼキ）９日に初のタイトル戦　ＷＢＯアジア・パシフィック・ライト級,https://news.yahoo.co.jp/articles/7137cffc359e4ab3a385df023ef497ad98cb972a,1/6(土) 11:02
gifuweb,岐阜新聞Ｗｅｂ,「桂小五郎隠れ家跡」料亭改修、地域の食文化発信　岐阜・中津川でオープン,https://news.yahoo.co.jp/articles/0ff5528c6ced3d09fcaa1596b41bfec7ec1e1770,1/6(土) 8:52
gifuweb,岐阜新聞Ｗｅｂ,無病息災「岐阜の七草」県内イオン６店舗などで販売　ＪＡめぐみの、祈とう受けた種から育成,https://news.yahoo.co.jp/articles/7883d4c36df5e7aeb5531622e12c9f3889c6f658,1/6(土) 8:42
gifuweb,岐阜新聞Ｗｅｂ,カフェや物販、城下町をイメージ…２０２５年３月オープンの岐阜公園施設　名鉄など１１法人が運営,https://news.yahoo.co.jp/articles/68e899be29bdc773e8f2748ee86624140523a239,1/6(土) 8:33
gifuweb,岐阜新聞Ｗｅｂ,元プロ選手・青木高広さん「成功体験をメモに」　母校の岐阜市木田小で野球教室,https://news.yahoo.co.jp/articles/6e12b08c2ba4cb068e3cb439a925b006be5d2da9,1/6(土) 8:16
gifuweb,岐阜新聞Ｗｅｂ,「育休退園制度」４月から全廃　大垣市長表明「子育て日本一のまちづくり推進」,https://news.yahoo.co.jp/articles/710776dafcbe54925a73d24a2a8c2488e4c98779,1/6(土) 8:07
gifuweb,岐阜新聞Ｗｅｂ,銚子産マグロ最高値５５万円…大物ずらり　岐阜市中央市場で初競り,https://news.yahoo.co.jp/articles/b5ba3a60f64d6ed29c3115ff2dcb5b8b1d5bb96a,1/6(土) 7:49
gifuweb,岐阜新聞Ｗｅｂ,岐阜県中津川市で火災　民家を焼き、隣家の外壁を焦がす,https://news.yahoo.co.jp/articles/95b29bfb661a2803f0d15931e4a83049651130f9,1/5(金) 22:17
gifuweb,岐阜新聞Ｗｅｂ,奥穂高岳のジャンダルム付近から男性会社員が滑落　県警ヘリで救助　腰や左足を骨折,https://news.yahoo.co.jp/articles/ca2a6eca65e83e5b0575f2707737606f0ec8ba48,1/5(金) 21:06
gifuweb,岐阜新聞Ｗｅｂ,ＪＲＡ３５勝、田口貫太騎手が最多勝利新人賞　岐阜出身の愛されキャラ「周囲のおかげ」,https://news.yahoo.co.jp/articles/e3008cc8bf568f2e9c5098e80d465ed67eb9076c,1/5(金) 11:12
gifuweb,岐阜新聞Ｗｅｂ,初日の出、濃尾平野包む　絶景拝める養老公園に人波、岐阜・養老町,https://news.yahoo.co.jp/articles/db9065cccbf821d6651391d8a2163bce8e6fa5eb,1/5(金) 9:12
gifuweb,岐阜新聞Ｗｅｂ,岐阜県山県市の養鶏場で鳥インフルエンザ　５万羽の殺処分開始　遺伝子検査で陽性が確定,https://news.yahoo.co.jp/articles/c99230f74ad89a6171eb40b58b9a6f8aaa9414a6,1/5(金) 8:57
