media_en,media_jp,title_articles,link_articles,date_original
sbc,ＳＢＣ信越放送,【各地の降雪予想量一覧】警報級の大雪の可能性も　中部・南部の平地でも15センチの降雪予想　1日未明から朝にかけてがピークに,https://news.yahoo.co.jp/articles/21f21db45a69856e732c301db0b17a26d726d9a1,2/29(木) 12:46
sbc,ＳＢＣ信越放送,長野県の総人口50年ぶりの200万人割れ　2001年のピークから22万人の減少　札幌市と同等の人口規模に,https://news.yahoo.co.jp/articles/868d21f77997ec89c28cb159352f4c1580b94c52,2/29(木) 12:08
sbc,ＳＢＣ信越放送,「業務が重なり失念」水道関連施設の修繕工事費の支払い遅れや請求書の日付改ざんなど　職員を停職6か月　長野・伊那市,https://news.yahoo.co.jp/articles/65c481a7966263c6e0be9f2691534dfd5f13cdd7,2/29(木) 10:54
sbc,ＳＢＣ信越放送,長野県人口　ついに200万人割れ…ピーク時より1割減少・半世紀ぶりの水準に,https://news.yahoo.co.jp/articles/ee5a4ffc1e128c460a3eaafe039490d555e03209,2/29(木) 10:21
sbc,ＳＢＣ信越放送,3月1日未明から大雪のおそれ　長野県中南部　警報が出る可能性も　凍結による交通障害などに注意を,https://news.yahoo.co.jp/articles/3548fa6fec6c4ba139f9810d037b96f10bb85bef,2/29(木) 9:34
sbc,ＳＢＣ信越放送,ダンサーのもうひとつの顔は「焼き芋屋さん」どれくらい買ってもらえるかはその日の「運しだい」それでもやめられない…35歳男性がこの仕事を続けるワケ,https://news.yahoo.co.jp/articles/1f6342b27109dd251f4be01ac6fa395673c44f16,2/28(水) 18:54
sbc,ＳＢＣ信越放送,「認知度上げるため五輪でメダルを…」7人制ラグビー日本代表・野口宜裕選手が母校を表敬訪問、海外合宿など重ね、五輪メンバー入り目指す,https://news.yahoo.co.jp/articles/01f5b2e0f5107f3ace038841447b43ea86ec077c,2/28(水) 18:34
sbc,ＳＢＣ信越放送,「地元の肉は最高だぜ!って言わせたい…」南信州産の銘柄豚を地元の料理人へPR、試食会初開催,https://news.yahoo.co.jp/articles/69e30d40b87cd9c443221e336b42656a1adfc1de,2/28(水) 18:09
sbc,ＳＢＣ信越放送,インフルエンザは「A型」から「B型」へ…拡大懸念「A型」にかかっても「B型」に感染する可能性も…専門家「症状を感じたら外出しない、マスクをつけることの徹底を」,https://news.yahoo.co.jp/articles/2c0f79b5789d7ec67e5518021bb4c38d1dcb9504,2/28(水) 17:43
sbc,ＳＢＣ信越放送,数日分の「賃金未払い」や「朝礼」が労働時間にカウントされていない例も…「外国人に頼らないと野菜が作れないから…」適切な労務管理へ…信州・全国一のレタス産地で農家の合同研修会,https://news.yahoo.co.jp/articles/dd0b0c90bb80aaf66dd7e80e070a4ba029af4b10,2/28(水) 17:18
sbc,ＳＢＣ信越放送,中心市街地の6階建てビルで火災…ビル内の自室に火をつけた放火の疑いで38歳女を逮捕「火をつけたことは間違いない」住民が一時避難など夜の街が騒然,https://news.yahoo.co.jp/articles/298444a96d0e31414380ea77071101a8bee055ca,2/28(水) 16:53
