media_en,media_jp,title_articles,link_articles,date_original
kobenext,神戸新聞NEXT,神戸のビルで火災　1階飲食店から黒煙,https://news.yahoo.co.jp/articles/0116aa95592f74052767744e990842351ec3ee2b,3/9(土) 13:20
kobenext,神戸新聞NEXT,線路に倒れかかった竹、丹波市内で相次ぐ　1カ所は運転士が自ら伐採　JR福知山線,https://news.yahoo.co.jp/articles/04e9250e77b17dab41ad2bf4c4485cd91a555cd5,3/9(土) 11:31
kobenext,神戸新聞NEXT,山道から斜面を転げ落ちたか、70代男性死亡　兵庫・川西,https://news.yahoo.co.jp/articles/2183f66d62b2a681fbb452479825b663f85fc974,3/9(土) 9:53
kobenext,神戸新聞NEXT,電車走ってない島に「駅前マンション」…なんで?　半世紀以上前に廃線「淡路鉄道」しのび命名,https://news.yahoo.co.jp/articles/adf0725b6cdff86f23e28933a6024fffc3a75390,3/9(土) 9:30
kobenext,神戸新聞NEXT,姫路城、外国人入城者が初の40万人突破　目立つ欧米の観光客、桜の季節に増える　23年度,https://news.yahoo.co.jp/articles/3e011593e9ed878ed945bb99b165126e37eee958,3/9(土) 8:30
kobenext,神戸新聞NEXT,業務用の圧力鍋など架空取引疑い　オンラインフリマ　虚偽名義の電子マネーで購入　兵庫県警など4人逮捕,https://news.yahoo.co.jp/articles/3a5712f3abd523f907b1ca74a9ca18493c94808f,3/8(金) 23:11
kobenext,神戸新聞NEXT,刑務所の運動場で整列、受刑者が倒れ死亡　救急車で外部の医療機関に搬送　兵庫・加古川,https://news.yahoo.co.jp/articles/c5e0a18eeffee8bee3f4652815ef48814fb88047,3/8(金) 22:41
kobenext,神戸新聞NEXT,「還付金があるので」249万円振り込む　ＡＴＭ操作、女性が詐欺被害か　兵庫・養父,https://news.yahoo.co.jp/articles/b65cc9378ddad64825b31a03fa951d8baf504479,3/8(金) 21:41
kobenext,神戸新聞NEXT,市職員が確定申告の書類を紛失　兵庫・豊岡,https://news.yahoo.co.jp/articles/82fbd7f01c4598b44452ed0e15baca4da111fd4e,3/8(金) 21:40
kobenext,神戸新聞NEXT,同僚のロッカーから現金14回盗む　競馬やパチンコで100万円借金か　消防士を懲戒免職　兵庫・三田,https://news.yahoo.co.jp/articles/85e83c87b250269bcf1c0a4000c5e410bc69902f,3/8(金) 19:54
kobenext,神戸新聞NEXT,木造船漂着、近くにハングル書かれたブイ　兵庫の日本海　船体の中央付近が割れる,https://news.yahoo.co.jp/articles/5f3838ace64b40bc627a33b45628ef8846d7a479,3/8(金) 19:52
kobenext,神戸新聞NEXT,落し物の現金が県の収入に　過去最高額を記録　根強い現金主義　拾った人がお礼断る理由とは？,https://news.yahoo.co.jp/articles/ca669f357047097c94e1947748a619e0a3b50435,3/8(金) 19:17
kobenext,神戸新聞NEXT,マッチングアプリ悪用、女性の50万円だまし取った疑い　尼崎南署が男再逮捕　過去に不同意わいせつ疑い,https://news.yahoo.co.jp/articles/8ddcc3d8b75471bb5619b1a269f8624e9e7ad258,3/8(金) 18:31
kobenext,神戸新聞NEXT,飲酒検査、長いホース使い隠れて息吹く　運転手が同僚に身代わり依頼　兵庫・小野の物流会社,https://news.yahoo.co.jp/articles/ce63e9ff6a7eeeb465d7b5d2c2aab3e2d0a046fe,3/8(金) 18:28
kobenext,神戸新聞NEXT,43歳男「尻をつかんだことに間違いない」　尼崎、不同意わいせつ疑いで逮捕　自転車で追い抜きざまに,https://news.yahoo.co.jp/articles/0f9d0d7e8f41fde3f7ca2fc8fa32038cbbb573b9,3/8(金) 16:59
kobenext,神戸新聞NEXT,潜水艦「じんげい」海自に引き渡し　最新鋭「たいげい型」３隻目　三菱重工業神戸造船所,https://news.yahoo.co.jp/articles/183aa0b05014f7d01afbd4f48c9e53d8670981f6,3/8(金) 16:57
kobenext,神戸新聞NEXT,赤ちゃんコアラの名前つけて　1年ぶりに生まれた雄、イングランドの丘が募集　兵庫・南あわじ,https://news.yahoo.co.jp/articles/83e1e8675b847b3e9dd0419f1c246a2234ca5535,3/8(金) 10:30
kobenext,神戸新聞NEXT,「最後の浮世絵師」月岡芳年に焦点　幕末から明治へ作風変化　忠臣蔵登場人物の戯画など展示　赤穂,https://news.yahoo.co.jp/articles/1e7881c9154a5c2bae448f79ce5b2a60ec751d90,3/8(金) 10:00
kobenext,神戸新聞NEXT,センバツ高校野球、報徳は愛工大名電と初戦　第5日第3試合,https://news.yahoo.co.jp/articles/954f3b16421a2f9cf80b2ce131d2569d0023cda6,3/8(金) 9:48
kobenext,神戸新聞NEXT,ローン残った重機を中古車買い取り業者に転売　詐欺容疑で解体業の男を逮捕　所有者が付けたGPSで発覚,https://news.yahoo.co.jp/articles/383694d64685c3463b27fd7d03bb4f33e8a32bb9,3/8(金) 9:08
kobenext,神戸新聞NEXT,「年金の還付ある」一方で定期預金額も聞かれていた…　スマホ手にATM操作の女性にピン　郵便局長に感謝状,https://news.yahoo.co.jp/articles/24c153d871dde14292e5d977dbcf7ec17190e260,3/8(金) 8:30
kobenext,神戸新聞NEXT,88歳男性「アクセル踏み間違えた」　車が分離帯に衝突、同乗の81歳妻が骨折　神戸,https://news.yahoo.co.jp/articles/d9d81abf5e9cb1b42a733f55996297a033013008,3/7(木) 23:43
kobenext,神戸新聞NEXT,自宅訪問した介護士女性触った疑い　80歳男逮捕「肩はもんだが、胸は触っていない」　伊丹,https://news.yahoo.co.jp/articles/997b1033086f57b792861985b519b1920ee8a929,3/7(木) 22:56
kobenext,神戸新聞NEXT,精神科病院で看護師が入院患者に暴行　神戸市が虐待行為と認定　突き飛ばして転倒、押さえ付ける,https://news.yahoo.co.jp/articles/e94df032d713b34569334e5f3033f125fbcf7af2,3/7(木) 21:52
kobenext,神戸新聞NEXT,神戸電鉄、停車予定の鵯越駅を誤って通過　運転士、「準急」と勘違い,https://news.yahoo.co.jp/articles/8fc877effaa324af6b8001aba45fb8921648bf7c,3/7(木) 21:02
kobenext,神戸新聞NEXT,優雅な雰囲気演出、水戸岡鋭治さんデザイン　神姫バスが瀬戸内周遊ツアー専用の新型車両公開,https://news.yahoo.co.jp/articles/bcc8ca2831501500d5bfb6e6191936c71ed3c605,3/7(木) 20:40
kobenext,神戸新聞NEXT,水槽間近に読書いかが　壁一面に2500冊の書籍　「アトア」が8日リニューアル　荒俣宏さん監修特別展も,https://news.yahoo.co.jp/articles/3a7730b1ccd393d5c5f50b3fb9b513053a7f7a6c,3/7(木) 20:12
