media_en,media_jp,title_articles,link_articles,date_original
ibciwatev,IBC岩手放送,大型連休期間中の新幹線の混雑　ピークは下りが5月3日、上りが5月5日の見込み,https://news.yahoo.co.jp/articles/856d6f93a868de415ccc9120dd9db399d1ad6a3b,4/25(木) 12:09
ibciwatev,IBC岩手放送,人口戦略会議が発表の消滅する可能性がある自治体　岩手県内は26市町村が該当,https://news.yahoo.co.jp/articles/bdbe5da512e2e596bbb11ff3dcf56a729cf2b6f5,4/25(木) 12:02
ibciwatev,IBC岩手放送,26日から27日は広い範囲で「黄砂」　見通しきかず交通障害にも注意,https://news.yahoo.co.jp/articles/8a90de149fcdf7bf2d2d1c992165efb442748212,4/25(木) 11:36
ibciwatev,IBC岩手放送,盛岡市史の資料編・写真集が26日に販売　関係者が内館市長に完成を報告,https://news.yahoo.co.jp/articles/d8e911633e1c0617ba5a23473692a8af4c93bbc0,4/24(水) 18:54
ibciwatev,IBC岩手放送,老朽化による移転整備が検討されている盛岡市役所の新庁舎　5月28日の整備審議会でエリア選定へ,https://news.yahoo.co.jp/articles/921e47049df265af2f8db56ccc66ef41c816a28c,4/24(水) 18:54
ibciwatev,IBC岩手放送,東京国立博物館での特別展を終えた仏像が金色堂の元の位置に戻されて法要　岩手・平泉町,https://news.yahoo.co.jp/articles/1f408d3b381617b2532c26bcc6bd9a0b7e49466b,4/24(水) 18:54
ibciwatev,IBC岩手放送,4月6日に岩手・花巻市の草地での火災　焼け跡から発見された遺体は近くに住む91歳の女性と判明,https://news.yahoo.co.jp/articles/cdaddb4768198b763593b5866c93b1c813b978c0,4/24(水) 18:49
ibciwatev,IBC岩手放送,住宅の焼け跡から発見の身元不明遺体はこの家で1人暮らしの男性（88）と判明　秋田・仙北市,https://news.yahoo.co.jp/articles/638bdc5a5978f35f6c69c2840bd310ec545f1a32,4/24(水) 17:54
ibciwatev,IBC岩手放送,盛岡市の中学校で11人り患し学級閉鎖　インフルエンザによる休業措置　岩手県内で今季延べ593件に,https://news.yahoo.co.jp/articles/ede4a6ef9119c0317f86ce77041b47674f6fb9b1,4/24(水) 17:36
ibciwatev,IBC岩手放送,インフルエンザ・新型コロナ感染状況　4週連続で前週下回る　岩手,https://news.yahoo.co.jp/articles/2b05f6339c18ccc15c7802bdc23fc4585c1d4a36,4/24(水) 17:09
