media_en,title_articles,link_articles,date_original
tuy,人材確保へ 介護の魅力を発信する「部活動」がスタート,https://news.yahoo.co.jp/articles/8bc7a837e3392d63edaf11ddfe15a4450c6ce825,8/10(木) 12:27
tuy,酒田で38度予想「熱中症警戒アラート」厳重な対策を（山形）,https://news.yahoo.co.jp/articles/1c74873c0d5cb43b7950015aa06a372ac687fa96,8/10(木) 12:16
tuy,幅500メートルの花火が夜空に! 伝統の花火を次のステージへ…花火職人が技に込めた思い【令和の匠】,https://news.yahoo.co.jp/articles/3ac01d00f553aa072618557ab5a576724c6f3d65,8/9(水) 20:02
tuy,鶴岡で38.7度 山形県庄内地方で厳しい暑さに 10日も熱中症に警戒を,https://news.yahoo.co.jp/articles/7141363262a9bef954c622483d767dca9b94b5be,8/9(水) 19:02
tuy,中高生でつくる「みらい議会」 市の将来考え中高生議員が政策案を発表“除雪ツアー”や”名産品のオブジェ”案も,https://news.yahoo.co.jp/articles/3ba5aedb744bdea0d728da5d2385cc604e73b219,8/9(水) 18:46
tuy,「賄賂は不正行為の対価ではない」ふるさと納税汚職事件で元市職員が起訴内容を一部否認,https://news.yahoo.co.jp/articles/eb63e614f00458013379ef2b81a8ef0783f5270e,8/9(水) 18:36
tuy,女子中学生の熱中症疑いでの死亡受け 熱中症リスク一定以上で「部活動 原則中止」に…中学生の携帯電話持ち込みも検討,https://news.yahoo.co.jp/articles/890c4e704128034915f9b59b0e65fbad4bbb0dea,8/9(水) 18:29
tuy,レギュラーガソリンの平均小売価格 1リットル当たり186円70銭 過去最高値で全国2番目の高さに（山形）,https://news.yahoo.co.jp/articles/f9b1c9891ca9e1713ce4ea0427b1f1a2197a915b,8/9(水) 16:12
tuy,ヘルパンギーナの患者数 498人 前週より減少も山形県全体で警報レベル,https://news.yahoo.co.jp/articles/f9d7c4de27518d927dc49c5d411509fc78c5272e,8/9(水) 15:39
tuy,山形県 新型コロナウイルス感染症 発生状況534人　【7/31-8/6定点医療機関】,https://news.yahoo.co.jp/articles/35ae02d6dd6582a4366ee42debbd0445959ada8a,8/9(水) 14:09
tuy,熱中症警戒アラート発表　酒田で38度予想 厳重警戒を （山形）,https://news.yahoo.co.jp/articles/7541de54278802d370533e56cc551b63ea49481e,8/9(水) 11:57
tuy,子グマ見かけた直後に親グマに襲われる　山菜採りの70代男性が右ひじ咬まれる　男性は自力下山中に救助隊と合流,https://news.yahoo.co.jp/articles/f468ef51b6f1945f79052df57151eab45e63056d,8/9(水) 11:04
tuy,台風6号の影響は東北にも フェーン現象で日本海側では高温続出 しばらく続く見込み【気象予報士解説】,https://news.yahoo.co.jp/articles/f3790618e27fc886cf90df6f624a66e30fd9e88c,8/8(火) 19:42
tuy,「とてもかっこよかった」夏の甲子園 日大山形は初戦敗退も夢の舞台で躍動,https://news.yahoo.co.jp/articles/12d39edbac6daebcaa9dafd58d5c0877ffe16f69,8/8(火) 19:36
tuy,駐車場に停めた車の中で乾燥大麻を売買22歳の男2人を逮捕,https://news.yahoo.co.jp/articles/9beb6ea4993f94dc8e3c6755540202c5abf2bb1b,8/8(火) 19:27
tuy,70代男性が山中でクマに襲われ右腕にケガ 自ら妻に連絡 下山中に救助隊が発見し病院に搬送,https://news.yahoo.co.jp/articles/d5a550e59c31b88c75d3da94643475adf18462f2,8/8(火) 18:57
tuy,“破壊から復活”イメージは庄内の風景　被爆した洋画家 三浦恒祺さんの展示会,https://news.yahoo.co.jp/articles/32a4acb2f70bcb888fbc471057e4a2dc064fdf07,8/8(火) 18:44
tuy,県内企業と留学生のマッチングへ　留学生が企業を見学,https://news.yahoo.co.jp/articles/1c922b3fcc1178e3dce437cfde80b6190c7f0cb1,8/8(火) 18:34
tuy,70代男性がクマに襲われる ケガをするも意識あり,https://news.yahoo.co.jp/articles/a434d4e0ef28ff03c87454f18972d0ff87567d0b,8/8(火) 18:28
tuy,「お金を貸してくれないか」息子をかたる人物から電話で医療費求められる　80代女性が800万円のオレオレ詐欺被害に,https://news.yahoo.co.jp/articles/181e10fbe1a0fddf18fbb6f67423b92baf25f773,8/8(火) 12:04
tuy,山形大学医学部の「地域枠」来年度入試から5人増え13人に,https://news.yahoo.co.jp/articles/3fb0085531fa6a6a1d4f8b019f86f5116ec3becb,8/8(火) 11:59
tuy,最終日も熱かった!山形花笠まつり会場に響く「ヤッショ、マカショ」,https://news.yahoo.co.jp/articles/567200cdc491479a69ff3e1269cccfcd9a03b17b,8/7(月) 21:09
tuy,山形県内 熱中症やその疑いで12人搬送 自宅内で倒れ搬送も,https://news.yahoo.co.jp/articles/4b2576941415041dbaa5eb9d40afebcba3ea3eba,8/7(月) 19:59
tuy,台風6号の影響で九州から関東の広い範囲で大雨に警戒 熱帯低気圧は台風7号に発達か,https://news.yahoo.co.jp/articles/9bc19d429c8d81bf968004d858e89789e5d1d1ca,8/7(月) 19:27
tuy,誰もが必要な福祉を受けられる国を…イギリスの国民と移民の社会分断から日本のこれからを考える,https://news.yahoo.co.jp/articles/198b0763b9b282163b36ac91a92634bdaa6a134c,8/7(月) 18:48
tuy,スケートボード韓国代表選手が児童らと交流　東京五輪ホストタウンが縁に,https://news.yahoo.co.jp/articles/f5213a8908624b3703abcb1be5580af2ebb34f19,8/7(月) 18:34
tuy,ここ数年で一番の出来に　朝日町で町特産のワインの仕込み始まる,https://news.yahoo.co.jp/articles/0b414be0aa3e994d802533e1fff1e5e0fb9dd5da,8/7(月) 18:24
tuy,さくらんぼ観光果樹園の観光客数 約29万人　去年の1.4倍も コロナ禍前の67％,https://news.yahoo.co.jp/articles/0718215a05e73375f08263bb1eeca4f7704690e6,8/7(月) 12:06
tuy,6日連続の熱中症警戒アラート　昼過ぎから夜のはじめ頃にかけて大雨となる所も（山形）,https://news.yahoo.co.jp/articles/682762a0ae1c0efa03134a0fe4bf9a5b2ee64814,8/7(月) 12:04
tuy,尾花沢夏の風物詩・すいか割り日本一大会,https://news.yahoo.co.jp/articles/ac2076382a3513187257cb548035ed536fcf89d7,8/6(日) 18:24
tuy,夏の甲子園開幕　日大山形堂々の入場行進,https://news.yahoo.co.jp/articles/4a4c088536a22a2f08ee246e9b10098d9609bc71,8/6(日) 18:12
tuy,山形花笠まつり開幕　4年ぶりにヤッショマカショの掛け声響く,https://news.yahoo.co.jp/articles/6dc1599fdba42db4daaf895a4874825abaa50240,8/5(土) 19:12
tuy,山形市　子どもたちが科学に親しむイベント,https://news.yahoo.co.jp/articles/39f262db15291d43cf90647cd44b9121d580c11a,8/5(土) 19:12
tuy,昼から盛り上がり　花笠踊りの体験会,https://news.yahoo.co.jp/articles/16510137389660854acfe76454ae2ece706ba7d7,8/5(土) 19:12
tuy,大雨と雷及びひょうに関する気象情報第2号発表　今夜はじめ頃にかけ土砂災害に注意,https://news.yahoo.co.jp/articles/88152373943f4420f626410976f2b32974692833,8/5(土) 16:29
tuy,山形県に大雨と雷及びひょうに関する気象情報　今夜はじめ頃にかけ大雨による土砂災害に警戒,https://news.yahoo.co.jp/articles/7d9a336ca1691ca1f00e1602e58905ea8d831566,8/5(土) 14:32
tuy,山形花笠まつり期間中の天気は…夜も気温高く、夕立・にわか雨の可能性も【気象予報士解説】,https://news.yahoo.co.jp/articles/d2cd8a8456b664117168eaf66bdbd3d88526224d,8/4(金) 19:21
tuy,天敵アメリカザリガニから地域の魚「カクレトミヨ」を守れ!児童がザリガニ釣りで地域環境守る,https://news.yahoo.co.jp/articles/ed19979bbdad7ae080e503e1c910331efb8f0ff5,8/4(金) 19:19
tuy,鶴岡市の土砂災害　今月17日からがれきの撤去へ,https://news.yahoo.co.jp/articles/00faaceb947a048d9a188852aec6ab2e903c4fff,8/4(金) 18:58
tuy,6日に甲子園開幕　「日大山形」初戦の相手「おかやま山陽」突破のポイントは?,https://news.yahoo.co.jp/articles/d43f8054664a7a5463b750473b6b57f181ed3f22,8/4(金) 18:44
tuy,あすから山形花笠まつり!花笠サマーフェスティバルにぎわう,https://news.yahoo.co.jp/articles/5c092bb37e69095f93abbdbc2a56052320eadb5c,8/4(金) 18:34
tuy,熱中症予防で市が『涼みどころ』を開設 心地いい空間を提供,https://news.yahoo.co.jp/articles/692e75e1b986174cc739376ce45ee8f89dd4152c,8/4(金) 18:29
tuy,17の建物に影響か 住宅や小屋などの火災 出火から8時間以上経過し鎮火,https://news.yahoo.co.jp/articles/a11973d1a5ce0d8a411c87d955168326acdc473b,8/4(金) 12:06
tuy,18歳運転の車が対向車線にはみ出し正面衝突 意識不明だった30代の女性の意識回復,https://news.yahoo.co.jp/articles/8108d0f19f7a39647a74ae8cc1013728b1effecf,8/4(金) 12:02
tuy,「配電盤から火が出ている」 店舗兼住宅で火災 約3時間半後に鎮火,https://news.yahoo.co.jp/articles/9ed16a5bfb62b74497a6bcef410caede83d77933,8/4(金) 11:39
tuy,山形県内 3日連続の熱中症警戒アラート こまめな水分や塩分の補給など対策を,https://news.yahoo.co.jp/articles/e32f7d2f25c7ac826a95cdeb3a47be7e71c21e82,8/4(金) 11:02
tuy,「いい体験ができた」コンビニで“子ども食堂”,https://news.yahoo.co.jp/articles/07774a914866064fe74cc07b9f178bebc521ff3c,8/3(木) 19:24
tuy,山形県初の大雨特別警報から1年「進む防災・減災対策と浸水農家の思い」,https://news.yahoo.co.jp/articles/d0d71f25245070a2349f20d105e685ae1ddf572a,8/3(木) 19:22
tuy,日本一の中学生棋士を決める大会が天童市で開催,https://news.yahoo.co.jp/articles/e6a0fc9fc3b42e529a1a0c8e7868109527b95674,8/3(木) 19:22
tuy,「いかに人命が大切か」大雨から1年　行方不明の男性を捜索,https://news.yahoo.co.jp/articles/5e306a23c57efe8ef9b53752aaa48bd75c305864,8/3(木) 19:22
tuy,山形県初の大雨特別警報から1年「明暗分かれる交通インフラ」,https://news.yahoo.co.jp/articles/c8776882f8e811c6e39ca534af8f8b521125fbd4,8/3(木) 19:16
tuy,上山市の住宅火災　3棟全焼　他少なくとも13棟に被害,https://news.yahoo.co.jp/articles/6a2854ce32e1d20ff6fae67471c60bb3431d1ffc,8/3(木) 19:12
tuy,軽乗用車同士が衝突　30代女性が重体　男子中学生含む2人けが,https://news.yahoo.co.jp/articles/3cea237cf20c78264644e9e067e524f4f1c2bd0b,8/3(木) 17:51
