media_en,title_articles,link_articles,date_original
atv,簡単【わっちtheキッチン】するめのダシで旨みアップ「するめソーメンのサラダ」噛み応えありの美味しさ,https://news.yahoo.co.jp/articles/9dbbb6d238aad07472c76cc73472d287bd0ad8bc,9/12(火) 12:02
atv,9月に入っても猛暑続く青森県　34℃予想も…　津軽と下北に竜巻注意情報,https://news.yahoo.co.jp/articles/7c4dd3717af799808d1f4e4f61088fd66da40ce3,9/12(火) 11:57
atv,アイスホッケーチーム『東北フリーブレイズ』の選手たちが“フロアボール”で子どもたちと交流,https://news.yahoo.co.jp/articles/619fd888dc78db98b8ddddaac59a896344b118ce,9/12(火) 11:51
atv,イトーヨーカドー五所川原店（青森）　2024年3月31日の閉店を正式決定,https://news.yahoo.co.jp/articles/a751da09d1f848175634c28a477a8d8657bf0dec,9/12(火) 11:32
atv,約7万人が熱狂!F35A・F16・グローバルホーク…　極め付きは“ブルーインパルス”　4年ぶり三沢基地航空祭,https://news.yahoo.co.jp/articles/8b37e74651970fed4be8090be26ee83120469859,9/11(月) 21:02
atv,性別やプライバシー配慮へ・避難所運営で見えた課題を訓練　9月は防災月間「万が一に知識深める」,https://news.yahoo.co.jp/articles/20b72a4729a53a56411fac09dfb3819b84c5ac82,9/11(月) 18:24
atv,東北の夏祭りの観光消費額（=経済効果）　“青森ねぶた祭”がトップの約295億円　コロナ禍前を上回る　『客足の回復』や『リベンジ消費』が要因か,https://news.yahoo.co.jp/articles/69a18db4b31d029b58757fb8ef992e1432a449d9,9/11(月) 18:22
atv,“2024年問題”を抱える運送業者から生の声を聞く「県が動いていかなければいけない課題もたくさんある」宮下宗一郎青森県知事　対策講じる考え,https://news.yahoo.co.jp/articles/97286958dc909af7117cadae65009b60695aef60,9/11(月) 18:06
atv,次期衆院選・青森3区　日本維新の会が長坂淳也氏（47）を公認候補予定者に,https://news.yahoo.co.jp/articles/62737eee6062359aa432bb10f26e57f9779173d1,9/11(月) 17:51
atv,10月上旬まで楽しめる“ブドウ狩り”　子どもたちが一足早く秋の味覚味わう,https://news.yahoo.co.jp/articles/e8525d94e08bc84c5ebb12f0014f2904eae7ce04,9/11(月) 17:16
atv,「怖かったです…でも助けることにつながった」午前0時…女子大生3人は高齢女性に道を尋ねられた…　違和感感じて駐在所に送り届け高齢女性は保護　健康のための深夜のウォーキングが人助けに!,https://news.yahoo.co.jp/articles/0149eb3d02754244be01e403b1d8ffe5a7ec895a,9/11(月) 16:16
atv,アイスホッケー元プロ選手　教師に転職して10年　セカンドキャリアと指導者としての“歩”,https://news.yahoo.co.jp/articles/3dca14357e772e4588b840410246c2cb618b0e46,9/11(月) 15:51
atv,全国22万件・児童相談所への虐待相談対応件数　青森県は過去最多の2039件　虐待者は実の両親が“9割超”,https://news.yahoo.co.jp/articles/97650fc30d09f47d8398ea5cf108a8b389e5b074,9/11(月) 12:04
atv,簡単【わっちtheキッチン】ひと手間でお肉柔らか「鶏むね肉のネギソースがけ」,https://news.yahoo.co.jp/articles/8279387b56531824e640f50f434e8b7ce66bdaa6,9/11(月) 12:02
atv,観光スポットに“自動走行モビリティ”　人間の歩行速度に近い時速5キロで観光地を自動走行　実用化に向け検討,https://news.yahoo.co.jp/articles/c1722648f994125d4d99aebdc60a021702448002,9/11(月) 11:36
atv,ブルーインパルス　4年ぶりに三沢基地航空祭で飛行　航空ファンを魅了　青森・三沢市,https://news.yahoo.co.jp/articles/85dc5e536d0fbe6af65c97db37e5f59f888deb49,9/10(日) 21:09
atv,リンゴにシール　色付き進むと浮かび上がる「文字入りりんご」作り体験　青森・弘前市,https://news.yahoo.co.jp/articles/1472c665bdf8fe0a9037b4d89fcb1999b05b313f,9/10(日) 18:24
atv,「まあまあ上出来」「全部が勉強に」親子でアジの三枚おろしに挑戦!青森・弘前市,https://news.yahoo.co.jp/articles/7e17f3e2ff926cc0799fa9e05e0adf0e8d618f1b,9/10(日) 11:57
atv,中学生がまちづくり学ぶ　八戸駅西地区の工事現場見学会,https://news.yahoo.co.jp/articles/14de2a6403ddd6fa5467c95ea83dd07e94c4c115,9/9(土) 18:29
atv,宮下知事が県産品の消費拡大へトップセールス「県産品は安心安全でそして味わい深い」店内巡回PRで買い物客に自ら魅力をPR,https://news.yahoo.co.jp/articles/d72d591d9201dc77c912c1e33b89593bed8570af,9/9(土) 18:27
atv,元ミスねぶたグランプリの強すぎる“サウナ愛”…床板などに青森ヒバ!フックには津軽塗り!“ヴィヒタ”の木の枝はリンゴ園で収穫!　二足のわらじでサウナカーを経営,https://news.yahoo.co.jp/articles/db875f5614f15ae63e095173ec960a7252669909,9/9(土) 17:01
atv,意外な「焼き鳥」大好き青森県民　支出金額1位の青森市ではやきとりの他にも納得の日本一が…　＃わっちタグ,https://news.yahoo.co.jp/articles/7811c024b3e1a5527863e5e1d4c3e1230dbc0780,9/9(土) 15:02
atv,青森県内で交通事故相次ぎ1人死亡・1人重体,https://news.yahoo.co.jp/articles/392d3953655ae29c460449917d28bba8dc2720d2,9/9(土) 12:29
atv,「ちょっと待っててねって…。でも待たないですよね、命ってね」最後までその人らしく生きていける看護を目指して　看護師　松尾久子のターニングポイント,https://news.yahoo.co.jp/articles/2c4be47e4be5367df5c3a267e8f51d360dad2c4a,9/9(土) 6:02
atv,参政党・後藤清安議員への当選無効求める異議申し立てが“棄却”に,https://news.yahoo.co.jp/articles/e40b842d5ba0c17ec2b46411c625bd240b8cc0d3,9/8(金) 20:36
atv,ANOVA（アノヴァ）　自己破産　12億2800万円の負債抱え,https://news.yahoo.co.jp/articles/4b4a07b9cc258ffb285f9a95d7be6537bcbd70b1,9/8(金) 20:32
atv,「立地困難エリア」説明の2日後に国会答弁　洋上風力発電事業めぐり逮捕の衆院議員・秋本真利容疑者,https://news.yahoo.co.jp/articles/b17a73078fc45cadf7fb3383be95d2cec4515e8a,9/8(金) 19:12
atv,台風13号で青森県内では空の便にも影響　熱帯低気圧にかわる9日は青森県内も雨脚強まる予想,https://news.yahoo.co.jp/articles/b5dbced8a605cad9ab4d9c39baf738c5f5f8f72f,9/8(金) 18:54
atv,棚田で栽培される“牡丹そば”　新そばの提供始まる,https://news.yahoo.co.jp/articles/a7fb8feebc5aba4ae0fd12804a9d69ba7971d3ef,9/8(金) 18:43
atv,「せめて殺処分“0”…見に来るだけでもいいんです…」保護猫活動団体が初めて開催する“譲渡会”,https://news.yahoo.co.jp/articles/9f230c894fbac3b407f8411803306c77fa40f228,9/8(金) 18:27
atv,処理水問題あるも前向きにPR　中国旅行会社が観光地視察し旅行商品づくりに取り組む,https://news.yahoo.co.jp/articles/9b712a77af1645bb0c4b37da78973bf65ce7a225,9/8(金) 17:19
atv,【台風情報】台風第13号（インニョン）東海地方に接近も上陸せずに熱帯低気圧の見通し　予想より早く勢力弱まる【8日午後4時30分更新・最新気象情報】,https://news.yahoo.co.jp/articles/94df1e1da91782c77948c3f78816e28060120e6c,9/8(金) 16:41
atv,国道で軽乗用車にはねられ男性（83）死亡　青森・平川市,https://news.yahoo.co.jp/articles/393e30e53267694db477c08c6a1b15eacb5bbe10,9/8(金) 16:02
atv,奈良美智　約10年ぶりに青森県立美術館で個展　「はじまりの場所」をテーマに10月14日から開催,https://news.yahoo.co.jp/articles/841a48c90d2b5faef4b8391acacb819307349b70,9/8(金) 14:38
atv,原発処理水放出めぐる中国の禁輸措置に対応「ホタテ総合戦略チーム」前倒しで9月中に設置へ　宮下宗一郎青森県知事,https://news.yahoo.co.jp/articles/59c8079d149fe0dbd5294739467011eb8d26b465,9/8(金) 14:24
atv,国道の跨道橋に乗用車衝突　運転手が意識不明の重体　青森・八戸市,https://news.yahoo.co.jp/articles/41a01597c38080093c2f5498c24e21d3423a5f95,9/8(金) 12:38
atv,ひとり親家庭の生活支援　青森県母子寡婦福祉連合会が国・自治体に要望へ,https://news.yahoo.co.jp/articles/832ed93b8f9fb83cae04ebdd65553dae8c9b945c,9/8(金) 12:24
atv,簡単【わっちtheキッチン】干し椎茸でイタリアン!戻し汁も使って旨味凝縮「干し椎茸のミートソース」,https://news.yahoo.co.jp/articles/dd11a397cbd46f5ed33eee5fcf794e3099eaf8e2,9/8(金) 12:02
atv,約300万円の過大徴収・還付　介護保険料など100人超…　変更するさいの期間を誤ってシステム入力　青森・弘前市,https://news.yahoo.co.jp/articles/4c8396397d028e4fdc3c7f0dee7d2aadfa104c3b,9/8(金) 11:44
atv,【台風情報】台風13号の今後の進路は…　8日午後にも静岡・御前崎市付近から東海・関東に上陸か…　9日にかけ東日本・東北地方は大雨に警戒を【8日午前11時更新・最新気象情報】,https://news.yahoo.co.jp/articles/10d9d882d9c51af6df1beacbfa2d181cf4e12311,9/8(金) 11:21
atv,住宅全焼…焼け跡から男性の遺体　1人暮らしの住人と連絡取れず　青森・八戸市,https://news.yahoo.co.jp/articles/52af8cca09a6bea5cf652d00cc0538685ecdedbf,9/8(金) 11:06
atv,「2刀流でいきたい」”青森ねぶた祭”を愛する中学3年生が固める決意　ねぶた師と地元のまつりへの熱意,https://news.yahoo.co.jp/articles/381e10a7ce71dcd6fbe86f33acd4238f81edd173,9/7(木) 21:01
atv,「立派な海の男になります!」実習船「青森丸」航海実習へ!,https://news.yahoo.co.jp/articles/00b6905934a14a01a0f2a83d5dafb152d10513b6,9/7(木) 19:42
atv,洋上風力事業巡り秋本真利衆院議員逮捕　「青森県が舞台は残念　事実であれば前代未聞で論外」宮下宗一郎青森県知事,https://news.yahoo.co.jp/articles/1f86c9a2cdbee07df1f261fb5cd10edd27933907,9/7(木) 18:39
atv,東京電力「必要に応じ賠償」漁連要請の会議で明言も事業者は「協議は初めの一歩」,https://news.yahoo.co.jp/articles/679f986e93fe85914be9919fac94a27b5fca9552,9/7(木) 18:14
atv,大学や短大など65校が参加　学生生活や学校の特色は?　高校生対象の進学相談会で生徒たちが質問,https://news.yahoo.co.jp/articles/1d0c85fc6bc6a29c3f8b7e2426617dc2948b83b6,9/7(木) 17:58
atv,「“つがる”はみんなやめると言っている。お金にならない」リンゴ農家の悲痛な叫び…　猛暑による被害が深刻…　影響は中生種の“ジョナゴールド”にも,https://news.yahoo.co.jp/articles/499b1c979612ae83a5400e052b225093bf7e4ed7,9/7(木) 17:53
atv,「鈴虫列車」秋の訪れ告げ今年も運行　黄金色に色付き始めた田園地帯を走る車内に涼し気なスズムシの声,https://news.yahoo.co.jp/articles/9aecc7a6e2d3929a3fd6308b570546c92557d8cf,9/7(木) 17:21
atv,【台風情報】台風13号進路予想　時速25キロで北上の“13号”は9日にかけ関東上陸か…【7日午後5時更新・最新気象情報】,https://news.yahoo.co.jp/articles/1760d6ce80b7a3e4a7c06579ed096999f471bba8,9/7(木) 17:06
atv,新型コロナ　過去最大=“第9波”は?　専門家「ピーク越えても警戒レベル」ピークは何回も来る…,https://news.yahoo.co.jp/articles/a8542040190e89a604d4470dc9021bda55d42613,9/7(木) 17:03
atv,「かわいすぎて心臓やられそう…」中学生たちメロメロ　教え子の園児たちがハンドベル演奏,https://news.yahoo.co.jp/articles/93c31f1cdb07419cdbac8b48ab9f4161955942e6,9/7(木) 16:26
atv,昨シーズンはニワトリ約180万羽処分…　高病原性鳥インフルの防疫対策を生産者が学ぶ　青森,https://news.yahoo.co.jp/articles/0a03d88c7e62f4868be90ef84c0bb2c74e533a0b,9/7(木) 16:06
