media_en,media_jp,title_articles,link_articles,date_original
oxv,仙台放送,１０代女性を人目のつかない場所に…不同意わいせつ容疑で４０歳美容師男逮捕〈仙台市〉,https://news.yahoo.co.jp/articles/07016b1fae81465d52b4e731f7752e8f3fe0fdd0,11/27(月) 14:21
oxv,仙台放送,石巻市で大豆の初検査 「まずまずの滑り出し」 猛暑の影響も〈宮城〉,https://news.yahoo.co.jp/articles/e4ca5803f4bec618c54d9c419c190276cb441584,11/27(月) 12:03
oxv,仙台放送,１１月中旬並み気温　宮城県内 午後は晴れ間も寒さ和らぐ,https://news.yahoo.co.jp/articles/53a4cbfb601353428926e30a7fe8c4ccf1b696ed,11/27(月) 11:59
oxv,仙台放送,深夜に蛇行運転する車…酒酔い運転容疑で５４歳無職女逮捕〈宮城・登米市〉,https://news.yahoo.co.jp/articles/e3e97677cdc5bebcdc1753231ef667aaffcccbe2,11/27(月) 10:00
oxv,仙台放送,破損し車同士に挟まれた車…７台からむ多重事故　男性１人けが〈仙台市〉,https://news.yahoo.co.jp/articles/445d4be1d59006dafc64676b86ac500a52fd4ed9,11/27(月) 9:15
oxv,仙台放送,“鳥獣害対策”の効果も！中学校で干し柿づくり「安全に過ごせるのですごく良い」＜宮城＞,https://news.yahoo.co.jp/articles/392cd2e5088fd203d52ee3b6bbb28de5bcb9a6cf,11/26(日) 18:20
oxv,仙台放送,「災害は本当にいつ起きるか分からない」国際的な防災指針「仙台防災枠組」学ぶ市民講座＜宮城＞,https://news.yahoo.co.jp/articles/36b9c55b5675692e550954151ae0b8af2ea13c6f,11/26(日) 18:20
oxv,仙台放送,蛇口からみかんジュース「濃くておいしい！」仙台市の歴史姉妹都市・「えひめ宇和島フェア」＜宮城＞,https://news.yahoo.co.jp/articles/c335cd839959db3d56019f77fab8702f65bac36f,11/26(日) 12:20
oxv,仙台放送,“未明に新型車両の試運転” 仙台市地下鉄南北線 来年秋に運転開始予定,https://news.yahoo.co.jp/articles/921167db45e731a92162fe358f031f15c8553889,11/26(日) 12:15
oxv,仙台放送,【速報】宮城で震度2　津波の心配なし,https://news.yahoo.co.jp/articles/2d634e682f8968066b4a6bdf8ffe121bf94712a9,11/26(日) 12:09
oxv,仙台放送,「救急隊員の態度に腹立った」知り合いが急性アルコール中毒で搬送時に隊員の顔殴る 会社経営者の男逮捕,https://news.yahoo.co.jp/articles/d9575fe09e609856beef749ddb5cca99f3dbceda,11/26(日) 10:10
oxv,仙台放送,楽天・安樂智大投手がハラスメントか　複数の選手が訴え　球団社長が明らかに,https://news.yahoo.co.jp/articles/ac9208ad0edd0cc38c840686202b8c6ae10ad75c,11/25(土) 19:24
oxv,仙台放送,「一帯が煙だらけに…」仙台市で住宅７棟焼ける　２人がけが　住宅密集地の火事で一時騒然,https://news.yahoo.co.jp/articles/502631c38d6dd4bd43659c181dada87b8f18d89f,11/25(土) 18:37
oxv,仙台放送,津波警報時には自動で閉鎖し「堤防」の役割　「陸こう」作動させて防災訓練〈宮城・気仙沼市〉,https://news.yahoo.co.jp/articles/2573ac93ec5b8f391c78e885a7297985205b429d,11/25(土) 18:33
oxv,仙台放送,高校生のアイデアあふれるスープレシピ　東北の食材を生かす〈仙台市〉,https://news.yahoo.co.jp/articles/4ffa12844eec081eda6a8d34a8a77e94eae72507,11/25(土) 18:29
oxv,仙台放送,仙台市内の高校近くにまたイノシシ　帰宅途中の高校生が２頭目撃,https://news.yahoo.co.jp/articles/c8f81f3063488bc7db38e6550f04f612f4975bc5,11/25(土) 13:06
oxv,仙台放送,「爆発音がして作業場が炎上」と通報　２棟が全焼〈宮城・美里町〉,https://news.yahoo.co.jp/articles/bb452a7f5967e642e467254a04df858857a657ab,11/25(土) 12:51
oxv,仙台放送,騒然…仙台市の住宅密集地で火事　２人が病院に搬送　４棟焼ける,https://news.yahoo.co.jp/articles/d4fe215ea9f227b83150ad93c6180e0c3cdbba10,11/25(土) 12:35
oxv,仙台放送,【続報】青葉区旭ケ丘の住宅火災　２人けが　近隣住宅への延焼も〈仙台市〉,https://news.yahoo.co.jp/articles/8e882e0d5e5326be73a711e7df52665e51309fd9,11/25(土) 11:24
oxv,仙台放送,仙台で初雪観測　平年より１日早く〈宮城〉,https://news.yahoo.co.jp/articles/faf43bfe531f502f6fbe2b38dd004959a06fdb76,11/25(土) 10:41
oxv,仙台放送,【速報】仙台市内の住宅密集地で火事　住宅から黒煙,https://news.yahoo.co.jp/articles/af658436deb58b5b4ec772362113f598c3a3ec6f,11/25(土) 10:13
oxv,仙台放送,「命守るため」閖上の経験を次の世代へ…ゆりあげかもめが伝えたいこと〈宮城〉,https://news.yahoo.co.jp/articles/eaa8272ddc7f921f6f737e8da6b1936657227cc4,11/24(金) 20:30
oxv,仙台放送,【４病院再編】富谷市・基本合意待たずに候補地取得へ「地権者に迷惑かけるわけにいかない」〈宮城〉,https://news.yahoo.co.jp/articles/0cb146761d6d6b212dd86c4a844bc4316f70cb89,11/24(金) 20:00
oxv,仙台放送,【楽天】新入団選手８人が入団会見　今江監督「イーグルス担う存在と確信」,https://news.yahoo.co.jp/articles/bdf640a4e4e0bd13e4865e1b30fee082e4da6948,11/24(金) 20:00
oxv,仙台放送,地域のシンボル・ＳＬ「シゴハチ」静かに放つ最後の輝き…１２月に解体〈宮城・大崎市〉,https://news.yahoo.co.jp/articles/31445b6b3230cd900b37a795640b17c930b3b4ab,11/24(金) 20:00
oxv,仙台放送,「こたつでビール」冬のビアガーデン…セリ鍋も！仙台朝市 １月２７日まで〈仙台市〉,https://news.yahoo.co.jp/articles/0106abdd01f7aec852c1842d99df16eac2eba404,11/24(金) 19:30
