media_en,media_jp,title_articles,link_articles,date_original
minyu,福島民友新聞,常磐もの、魚文化を発信　いわきに「体験型鮮魚店」26日開店,https://news.yahoo.co.jp/articles/710c38657d8482b542baea71ca709af1d1a95f84,4/25(木) 12:31
minyu,福島民友新聞,高校生19人、鎮魂の剣舞　会津若松で白虎隊しのび墓前春季祭典,https://news.yahoo.co.jp/articles/0ba925c74d827a276562d2dbab4a2e2b370108f3,4/25(木) 12:06
minyu,福島民友新聞,「ふくしま植樹祭」11月10日開催　いわきで初、市の祭典と共同,https://news.yahoo.co.jp/articles/7036826603f68859aad3368d8c3be9bfdebac509,4/25(木) 11:57
minyu,福島民友新聞,宇宙カプセル着水実験　福島・南相馬で東北大ベンチャー、海上回収想定,https://news.yahoo.co.jp/articles/f1e2f1329fb1a17f324c2083e51c57786b003c6c,4/25(木) 11:43
minyu,福島民友新聞,福島県内企業、定昇で賃上げ6.21％最高水準　連合福島・中間集計,https://news.yahoo.co.jp/articles/31aaaf592b42aed832f65f8e9ed9a0657b7ef0f2,4/25(木) 11:34
minyu,福島民友新聞,郡山のひき逃げ、組員1人を傷害罪に切り替え起訴　1人不起訴に,https://news.yahoo.co.jp/articles/dc56e747866e29919d9c40c153647dc337960475,4/25(木) 11:27
minyu,福島民友新聞,味噌蔵のトマト糀あま酒「浜通りの特産に」　甘さと酸味、絶妙な味わい,https://news.yahoo.co.jp/articles/b439c1f3eba5a4d87d8b04b22f9ccd8c74a13ca2,4/25(木) 11:16
minyu,福島民友新聞,バスケB2【ファイヤーボンズ奮闘の10年】入場、売上高過去最高 / 地域活動の強化が実結ぶ,https://news.yahoo.co.jp/articles/e379499307f5684c509031bba3375cca05e71e94,4/25(木) 10:40
minyu,福島民友新聞,福島県内33市町村「消滅可能性」　若年女性の流出対策急務,https://news.yahoo.co.jp/articles/341a1bf0aa18cf9d8d58b2db9db0dde80b6b5461,4/25(木) 8:53
minyu,福島民友新聞,処理水放出を一時停止　福島第1原発で停電、掘削でケーブル損傷か,https://news.yahoo.co.jp/articles/e55deac8d8b519ae97aa60f0a7906f60e3b560fd,4/25(木) 8:43
minyu,福島民友新聞,白河市議に辞職勧告　市職員へのストーカー、パワハラ行為　本人は辞職しない意向示す,https://news.yahoo.co.jp/articles/f5aeb5fc4f73500d77873bd9b0409ae35562605f,4/25(木) 8:39
minyu,福島民友新聞,車上狙い連続5件　福島・二本松、現金盗まれる被害相次ぐ,https://news.yahoo.co.jp/articles/35a43c82f6ba13f6db1670ed2bad5ee650a1a0ec,4/25(木) 8:35
minyu,福島民友新聞,福島第1原発、処理水海洋放出を再開　停電影響で約6時間30分停止,https://news.yahoo.co.jp/articles/2fb8041d82e3423f1f9b7ba4e9f4213cd4f070ab,4/24(水) 19:17
minyu,福島民友新聞,「大わらじ」準備着々　東北絆まつり、福島わらじまつりで披露,https://news.yahoo.co.jp/articles/c3b02ae0fd772fb255d1226886234abc686e4f57,4/24(水) 12:29
minyu,福島民友新聞,【速報】福島第1原発で停電、処理水海洋放出設備の運転停止,https://news.yahoo.co.jp/articles/e30f875c0bd3307fc2e806b60952979bc2c2f08b,4/24(水) 12:24
minyu,福島民友新聞,月面着陸探査機「SLIM」成果報告　会津大・大竹教授ら福島県知事表敬,https://news.yahoo.co.jp/articles/ef13da364a230103ac9358b73f1fb5d904718ae1,4/24(水) 11:56
minyu,福島民友新聞,道の駅ふくしま「2周年祭」　4月26～29日、野菜詰め放題や福袋販売,https://news.yahoo.co.jp/articles/22b4998b0d4c54bf238412e047dc642c07ab24b6,4/24(水) 11:49
minyu,福島民友新聞,福島「磐梯吾妻スカイライン」再開通　雪の回廊...観光客をお出迎え,https://news.yahoo.co.jp/articles/21db7b4cb4e9af8afebe467e089337504b9b9306,4/24(水) 11:23
minyu,福島民友新聞,観光シーズンへ再開通　雪が残る福島・ゴールドライン、レークライン,https://news.yahoo.co.jp/articles/878be99eea33f5a06203cc8daec1b4512411dc8f,4/24(水) 11:21
minyu,福島民友新聞,福島・浪江「福の鯖」25年春出荷　生食用マサバ、人工海水で陸上養殖,https://news.yahoo.co.jp/articles/358cc93ffbc9a2ad057c4d8d7297d4b009ca5e7f,4/24(水) 11:16
minyu,福島民友新聞,追悼の道、被災復興実感　福島・国営施設工事開始、26年3月完成目指す,https://news.yahoo.co.jp/articles/1ef08e8c7a75a26abe95f0305334e9db79ca984e,4/24(水) 11:10
minyu,福島民友新聞,恐竜時代の二枚貝「化石」6種類発見　いわきの地層、日本初含む,https://news.yahoo.co.jp/articles/c086b561f5ef22e4b82cd2f554ae2934d46411dc,4/24(水) 11:05
minyu,福島民友新聞,街を多彩に「音楽・食・文化」　福島駅東口再開発コンセプト案,https://news.yahoo.co.jp/articles/98de6247e266abd07dae9df4c616e65820d1d0ba,4/24(水) 10:55
minyu,福島民友新聞,第2種運転免許...英語でも　福島県警、学科試験で外国人取得促す,https://news.yahoo.co.jp/articles/f7e6eda073b864d84fd22817373e7e8e01d9157e,4/24(水) 10:49
minyu,福島民友新聞,酒井瑞穂さん最高賞　ミズノ優秀指導者表彰、競歩メダリスト輩出,https://news.yahoo.co.jp/articles/edaf053816b264c3462ff8057d56ad470bb420d6,4/24(水) 10:45
minyu,福島民友新聞,「マイナ保険証」低迷、福島県内利用7％　12月現行廃止、医療機関負担大,https://news.yahoo.co.jp/articles/03618bf008808732ef930d594d4629ce3d0ba077,4/24(水) 10:41
minyu,福島民友新聞,福島・いわき湯本温泉、値上げせず　入湯税、来訪者の減少リスク考慮,https://news.yahoo.co.jp/articles/48d405d69731a1c866f45e027e74526185d6cfc3,4/24(水) 10:37
minyu,福島民友新聞,IAEA、2回目の安全性検証開始　福島第1原発、処理水海洋放出,https://news.yahoo.co.jp/articles/015016d9a868bf8760fbe694353ba07567e33505,4/24(水) 10:30
minyu,福島民友新聞,最低価格か、ほぼ同額　いわき市内4社、市営住宅解体工事入札,https://news.yahoo.co.jp/articles/54f5ed40af059eea8c9a6f92f61dfdab623aec2c,4/24(水) 10:26
