media_en,media_jp,title_articles,link_articles,date_original
tbcv,tbc東北放送,"下水道工事の""官製談合""で役員逮捕「遠藤興業」に県が16か月の指名停止処分　宮城",https://news.yahoo.co.jp/articles/fae3e2f6bb5dc538aaee81ee620df4ae924658dd,4/25(木) 13:36
tbcv,tbc東北放送,"味の秘密は""ナンノクロロプシス""人気街歩きグルメの""アレ""期間限定で緑色に!　仙台",https://news.yahoo.co.jp/articles/132cac6847b6e4025e9194fd250a71b3efab2151,4/25(木) 12:06
tbcv,tbc東北放送,"""入札官製談合事件""受け研修会「職員逮捕は相当重大。公平公正を認識して職務に全うする」宮城・石巻市",https://news.yahoo.co.jp/articles/0b7f3751a9bd0337ef07da52fef490b88707d6f6,4/25(木) 12:02
tbcv,tbc東北放送,レギュラーガソリン「平均小売価格1リットル169円80銭」先週より10銭値上がり　宮城,https://news.yahoo.co.jp/articles/a2a7caf52652829fbbe9cedaf7ac63d65abfbb44,4/25(木) 11:48
tbcv,tbc東北放送,「夕方ごろ北部山沿いでひと雨ありそう。西風がやや強く吹きますが暖かさは十分」宮城の30秒天気　tbc気象台　25日,https://news.yahoo.co.jp/articles/0d8a1ca5f3d8f8235ae9ee82548159d60203162c,4/25(木) 11:43
tbcv,tbc東北放送,2泊分3万1500円支払わず宿泊　詐欺の疑いで45歳無職の男現行犯逮捕,https://news.yahoo.co.jp/articles/e765d9b9a9ca387863d696797a75dc29977d54b6,4/25(木) 11:08
tbcv,tbc東北放送,「自分の写真も全部流されて」被災者の“記憶の中の住まい”を女性建築士たちが図面で再現　よみがえるあの時の出来事とは,https://news.yahoo.co.jp/articles/74833578a8671022791f86303bb3df3eb282a57e,4/25(木) 6:02
tbcv,tbc東北放送,宮城県栗原市内の停電復旧,https://news.yahoo.co.jp/articles/027e07fc719f4cb9784ee5a0be6d03453e21f984,4/25(木) 3:44
tbcv,tbc東北放送,仙台市若林区の停電復旧,https://news.yahoo.co.jp/articles/451ffe90e5a532cf8e9d4247410577fd0cb2ce5d,4/25(木) 2:53
tbcv,tbc東北放送,宮城県栗原市内で停電　約1900戸,https://news.yahoo.co.jp/articles/36ca1120edc7932bb193f97e0ce342f4f6fb1f40,4/25(木) 2:06
tbcv,tbc東北放送,仙台市若林区で停電　800戸,https://news.yahoo.co.jp/articles/35bf36702bdcb5d5259d8ba5c7daaed36f8dcb12,4/24(水) 22:46
tbcv,tbc東北放送,磁気テープを切らないように目の前でカードにハサミ入れる　警察官を名乗りキャッシュカードをだましとって　約700万円引き出す　仙台,https://news.yahoo.co.jp/articles/f8c34ee29a6227bb0353316ef2df5f634013816e,4/24(水) 22:01
tbcv,tbc東北放送,国道45号で車3台の事故　2人けがも会話可能　仙台,https://news.yahoo.co.jp/articles/a9b8409299d4b03f187115bbd72cb3c66b312054,4/24(水) 19:22
tbcv,tbc東北放送,「民泊ホテルが拠点」名古屋市の80代男性から現金をだまし取ろうとした疑いで24歳から30歳の男3人を逮捕,https://news.yahoo.co.jp/articles/b9e588ce80501b5feedb0ff840056f828175f4ab,4/24(水) 19:09
