media_en,media_jp,title_articles,link_articles,date_original
mrt,MRT宮崎放送,今年の新茶を楽しんで　宮崎市でとれた一番茶を生産者らが市長に贈呈,https://news.yahoo.co.jp/articles/28f2979b7ce2f3a700ba8e9934807a4a68470087,5/21(火) 12:02
mrt,MRT宮崎放送,朱色に塗られた勾玉や鉄鏃なども見つかる　串間市の新消防庁舎建設予定地での遺跡発掘調査　住民に説明会,https://news.yahoo.co.jp/articles/109059ca81490fab0c37359d676ba11e9c0fbf6c,5/21(火) 12:02
mrt,MRT宮崎放送,"不同意性交等致傷の罪　元・宮崎市議""スーパークレイジー君""西本誠被告に懲役7年が求刑",https://news.yahoo.co.jp/articles/a338fc4089470a277cd28e74ac59a3431f4788ce,5/21(火) 10:56
mrt,MRT宮崎放送,5/21（火）宮崎県内の交通取り締まり情報,https://news.yahoo.co.jp/articles/bd2612d6692f09ae6758ab2eff85be2174916c6d,5/21(火) 6:01
mrt,MRT宮崎放送,懲役23年の実刑判決　女性7人への準強制性交の罪・津浦洋一被告　判決のポイントは,https://news.yahoo.co.jp/articles/ba0eda750e17604a44460be69a4c4ebdbac80b48,5/20(月) 19:01
mrt,MRT宮崎放送,霧島連山・硫黄山の火山活動でえびの市長江川上流の水質が悪化　一部地域で今季の稲作断念も　知事「県と市で連携し国にも対策を要望」,https://news.yahoo.co.jp/articles/bfe2e8ffeb7573c84c62a1df9a603d77440b2a21,5/20(月) 19:01
mrt,MRT宮崎放送,元・琴恵光が引退会見　出身地・延岡市民から引退を惜しむ声,https://news.yahoo.co.jp/articles/ef0a145126eec2e26b511bbae2721f8a571e9f1f,5/20(月) 19:01
mrt,MRT宮崎放送,子どもたちが投資ゲームに挑戦　親子で学ぶ「キッズマネースクール」,https://news.yahoo.co.jp/articles/1f96bfb38125ace511ce5f03196f1bcb366e7cc5,5/20(月) 19:01
mrt,MRT宮崎放送,開幕から10連勝　快進撃続くヴィアマテラス宮崎　女子サッカーなでしこリーグ1部・第10節　対日体大SMG横浜,https://news.yahoo.co.jp/articles/68e8b4ac5bf2066d691ccf8cffaa49746faf221f,5/20(月) 19:01
mrt,MRT宮崎放送,10~20代女性7人に睡眠導入剤を摂取させて性的暴行　準強制性交等などの罪に問われていた都城高専の元職員に懲役23年の実刑判決,https://news.yahoo.co.jp/articles/ef8c25ef4559ca28369307ab937ca7f746974527,5/20(月) 19:01
mrt,MRT宮崎放送,来年4月の日南市長選挙　新人で元新聞記者の鎌倉優太氏が立候補を表明,https://news.yahoo.co.jp/articles/757f527519e6f78524c370c41b5545e8baae58fa,5/20(月) 19:01
mrt,MRT宮崎放送,【速報】「被害者らを自らの醜悪な欲望をみたすものであるかのように扱い人としての尊厳を甚だしく傷つける犯行」教え子含む女性7人に睡眠導入剤を摂取させ性的暴行　都城高専の元職員の男に懲役23年の実刑判決,https://news.yahoo.co.jp/articles/d13b563ba3858a6439426406fb88977ac68b9311,5/20(月) 13:44
