media_en,media_jp,title_articles,link_articles,date_original
utyv,UTYテレビ山梨,違法改造車両の取り締まり　整備不良や免許不携帯で11件摘発　山梨,https://news.yahoo.co.jp/articles/0c9f6bfc9d0b2922159f0df6c5135917c24e1c43,6/17(月) 13:31
utyv,UTYテレビ山梨,公立学校の教員試験　志願倍率は過去最低　小学校1.4倍　中学校2.8倍　山梨,https://news.yahoo.co.jp/articles/92ede42f63336c2c3e4ae19a7285270d5d945c75,6/17(月) 11:58
utyv,UTYテレビ山梨,富士山の登山者数規制の仮設ゲート完成　7月1日から4000人上限に　山梨・吉田口登山道,https://news.yahoo.co.jp/articles/562387d1717cf198a34c5d75c898bab4f6616771,6/17(月) 11:36
utyv,UTYテレビ山梨,大型バイクで仲間とツーリング中にカーブで転倒し62歳の男性が大けが　山梨・道志村,https://news.yahoo.co.jp/articles/5f0d086f588f117fb80268c2b49c2f35f1e214fe,6/16(日) 19:51
utyv,UTYテレビ山梨,ヴァンフォーレ甲府　シーズン後半戦は引き分けスタート　アウェーでいわきFCと1対1,https://news.yahoo.co.jp/articles/6159b000093431fd659be3c7a0647b9735ebb122,6/16(日) 18:38
utyv,UTYテレビ山梨,染色作家が花や山など南アルプスの自然描いた企画展　山梨・南アルプス,https://news.yahoo.co.jp/articles/935cff048661b22ddecc75bb7fa0715eacfebc7e,6/16(日) 18:36
utyv,UTYテレビ山梨,大月と勝沼で30℃以上の真夏日に　17日も気温上昇の見込み,https://news.yahoo.co.jp/articles/ecc446dc691a9434a0767a8ea46f87b4040f1264,6/16(日) 18:32
utyv,UTYテレビ山梨,「人が倒れている」と通報　国道でひき逃げ事故か64歳の男性が骨折の大けが山梨・身延町,https://news.yahoo.co.jp/articles/c793f61d8753f10ca738e28720c8bbb97ee3d9d0,6/16(日) 14:54
utyv,UTYテレビ山梨,次期参院選　自民党県連　現職・森屋宏参議院議員の公認申請決定,https://news.yahoo.co.jp/articles/6401047ec10f74c51fb859ae3e167f091853a3dd,6/15(土) 20:09
utyv,UTYテレビ山梨,県庁広場の一部をスケートボード場として開放　トップライダーが華麗な回転技など披露,https://news.yahoo.co.jp/articles/6ab45acd129c130b8f548e1676af001b8332c84f,6/15(土) 17:42
utyv,UTYテレビ山梨,地域活性化へ　町の魅力発信　若者グループなどがイベント企画,https://news.yahoo.co.jp/articles/f814e6831354df8bf02eabbf9b533389eac2337b,6/15(土) 17:34
utyv,UTYテレビ山梨,長崎幸太郎・山梨県知事　1182万円の不記載問題「事務処理に不手際」自民党県連大会で謝罪,https://news.yahoo.co.jp/articles/6b567e4145e252a34ca45fd6fe855152e72dedf2,6/15(土) 17:31
utyv,UTYテレビ山梨,スーパーと飲料メーカーが募金プロジェクト調印　ペットボトル飲料の売上の一部を寄付,https://news.yahoo.co.jp/articles/57e9a61e67531f6714e6484b48e0e9b018b6604f,6/14(金) 21:32
utyv,UTYテレビ山梨,産地や原材料など食品表示　スーパーを県などが調査　昨年度は適正82％　山梨,https://news.yahoo.co.jp/articles/f1e5f6bcbb0dddf7d91e85054591a21bb04e01f6,6/14(金) 21:22
utyv,UTYテレビ山梨,シャトレーゼ　移籍をした外国人労働者88人　2か月半ほど働けず一時待機に　休業手当を支払いへ,https://news.yahoo.co.jp/articles/776051968747e3bf719ac21b0c30b4c36239dd4e,6/14(金) 21:13
utyv,UTYテレビ山梨,外国人の適正雇用や不法就労防止を　東京入管や警察が街頭で呼び掛け,https://news.yahoo.co.jp/articles/4f432e206fc5c93647e7e05e3dbc080e58478195,6/14(金) 21:06
utyv,UTYテレビ山梨,週末は真夏並みの暑さ続く　熱中症に警戒を　梅雨入りは22日を予想　気象予報士が解説,https://news.yahoo.co.jp/articles/21f110825c557591a55362de954f1ad4ba84be8d,6/14(金) 20:54
utyv,UTYテレビ山梨,こども誰でも通園制度　6か月から3歳未満の未就園児を対象　試行的に実施へ　甲府市,https://news.yahoo.co.jp/articles/47c2b1c910f1db9bb54ca9e024cef10379c2bdd7,6/14(金) 20:16
utyv,UTYテレビ山梨,「ザクッ!ザクッ!」そしゃく音が魅力　昭和の菓子ボンボン　令和の今、「果汁のしずく」大人気,https://news.yahoo.co.jp/articles/78d33d7291d6d9ef32be9c3e6b45d561264c4dcd,6/14(金) 20:02
utyv,UTYテレビ山梨,「マネーロンダリングに口座が使われている」との電話　詐欺被害合わせて約200万円　山梨,https://news.yahoo.co.jp/articles/22364ab6fae240f7677adaf8565c4838fcf4809d,6/14(金) 19:53
utyv,UTYテレビ山梨,「うまく乗り降りが」「荷物が」エスカレーター利用時の注意点　事故の半数は60歳以上,https://news.yahoo.co.jp/articles/f9a535e534b61735ea872066549b5358f901e4f5,6/14(金) 18:43
utyv,UTYテレビ山梨,「今年たくさん出てビックリ」不思議でカワイイ　“豊作の使者”　ホウネンエビ,https://news.yahoo.co.jp/articles/7a22303ff962615ba77d3786c7b1eda35dff617c,6/14(金) 18:17
utyv,UTYテレビ山梨,クマ体長約1m　山林から道路に姿を現す　小学校から約150mの町道　山梨・富士河口湖町,https://news.yahoo.co.jp/articles/793f4c7e749209e44232e17acd34d56ba73513ed,6/14(金) 17:42
utyv,UTYテレビ山梨,クマ2カ所で目撃情報　別の個体か　山梨・北杜市,https://news.yahoo.co.jp/articles/47aa259e8b2f049790855b2a00c469aa0b3411b0,6/14(金) 12:48
utyv,UTYテレビ山梨,どこでもすぐ眠れる”は病気の可能性も　質のいい睡眠を考える講演会,https://news.yahoo.co.jp/articles/4eb67b0ea95dcad46551b0ffdceace65beab41bb,6/14(金) 12:06
utyv,UTYテレビ山梨,投資・ロマンス詐欺に注意!　今年すでに1億4000万円の被害　信用金庫職員らが呼びかけ,https://news.yahoo.co.jp/articles/c5090963a0479cbf746f9176ab50ddb00c2d9a90,6/14(金) 11:54
utyv,UTYテレビ山梨,予想最高気温　甲府33度、河口湖28度　今年1番の暑さになる見通し　山梨,https://news.yahoo.co.jp/articles/ee638f26471fd14b947dafd9a98df870bfa1a42d,6/14(金) 11:51
utyv,UTYテレビ山梨,「拡大しないと返済が追いついていかない」2024年問題とコロナ融資返済　観光バス会社の苦悩,https://news.yahoo.co.jp/articles/d07399fb14758c24173638e903f31f8824a99f27,6/14(金) 11:04
utyv,UTYテレビ山梨,「靴に全部の時間と気持ちを充てたい」転身4年で世界大会優勝　若き靴づくり職人のこだわり,https://news.yahoo.co.jp/articles/d8eac7305a45d3e90ecfb48c9a0ace71656129f5,6/13(木) 22:02
utyv,UTYテレビ山梨,14日は今年一番の暑さに　熱中症だけでなく天気の急変に注意　気象予報士が解説,https://news.yahoo.co.jp/articles/d271074e1b5dba35445be98580ae5560288d3ad2,6/13(木) 19:53
utyv,UTYテレビ山梨,「緊張しました」県内最年少19歳のバス運転手がデビュー　高齢化するバス業界で期待感　山梨,https://news.yahoo.co.jp/articles/206577a647ff809d720ae7ee04c493e63226b339,6/13(木) 19:28
utyv,UTYテレビ山梨,「仕入れを抑えようと思っても高騰で…」海苔が価格高騰　値上げの波でおにぎり専門店に打撃,https://news.yahoo.co.jp/articles/9a89b13909af0c4896d4b4c9f468cd5a9031f3e3,6/13(木) 18:54
utyv,UTYテレビ山梨,面識がなく口論に発展か　男性を路上で突き飛ばし死亡させた疑い　飲食店経営の男を逮捕,https://news.yahoo.co.jp/articles/cb737bb2bb7e06e7ce0113257ca1a0eb2bfdb856,6/13(木) 18:39
utyv,UTYテレビ山梨,富士山5合目　登山者規制へ高さ1.8m、幅8mの仮設ゲート　設置工事はじまる　山梨,https://news.yahoo.co.jp/articles/0ee9e9cf01a5262e3bd787fb8b489fdd326c6463,6/13(木) 18:32
utyv,UTYテレビ山梨,「私は不法残留です」警察署に来て日本語で申告　入管法違反の疑い　タイ人の男を現行犯逮捕,https://news.yahoo.co.jp/articles/58d13a9b07e350218d76f0bbf94c0537523aa5e5,6/13(木) 18:02
utyv,UTYテレビ山梨,「みそ汁に入れて食べて」幼稚園児が育てたタマネギ　フードバンクに寄付,https://news.yahoo.co.jp/articles/612442483c106d6f183ee6e1c4191238c85bdb80,6/13(木) 17:12
utyv,UTYテレビ山梨,駿台甲府高校ハンドボール部　やまなし文化・スポーツ栄誉賞受賞　3月の全国選抜で優勝,https://news.yahoo.co.jp/articles/ea68962d8ee5d66a764823874e410222ee26effe,6/13(木) 17:09
utyv,UTYテレビ山梨,傷害致死容疑で男を逮捕　路上で男性を突き飛ばす暴行を加え、死亡させた疑い　山梨,https://news.yahoo.co.jp/articles/8f4996d6a06385ae4a06f80828f9ea173f8a2150,6/13(木) 14:16
utyv,UTYテレビ山梨,富士山　登山者数規制用の仮設ゲート　5合目で工事始まる　山梨・吉田口登山道,https://news.yahoo.co.jp/articles/ee59b7ea3ff2788da42c6e89ad0ee470dfea374b,6/13(木) 12:51
utyv,UTYテレビ山梨,予想最高気温　甲府30度　河口湖25度　熱中症に注意を,https://news.yahoo.co.jp/articles/6f1474401e1c1b6d5173d7fb7d7daaa4b9b45d00,6/13(木) 12:06
utyv,UTYテレビ山梨,御坂みちの富士見橋展望台付近で子グマ1頭を目撃　山梨・富士河口湖町,https://news.yahoo.co.jp/articles/9773472c43920c00f07078c3bf10f5d69eef190b,6/12(水) 20:44
utyv,UTYテレビ山梨,13日は厳しい暑さが続く　熱中症に注意を　梅雨入りはいつになるのか　気象予報士が解説,https://news.yahoo.co.jp/articles/e5fa9f337ce8dbf380cf9fef7ee7cf988989ff7f,6/12(水) 20:02
utyv,UTYテレビ山梨,「ちょっと贅沢な地元の味」が人気　夏本番を前にお中元商戦はじまる,https://news.yahoo.co.jp/articles/37ee927372915e63ccb377a49f9653ca10b6c15b,6/12(水) 19:32
utyv,UTYテレビ山梨,「いきなり車の前をバっと走り抜けた」体長80cmのクマ目撃　出没相次ぐ　去年の同時期の2倍　山梨,https://news.yahoo.co.jp/articles/999c6a12affa8688e492e3d90c2b8ce4d3a1c6cf,6/12(水) 19:26
utyv,UTYテレビ山梨,クマ大小2頭　林道にいるのを道沿いのゴルフ場からプレー客が目撃　山梨・北杜市,https://news.yahoo.co.jp/articles/b6b37c7648c84189805942abab4963decc5c27a8,6/12(水) 19:19
utyv,UTYテレビ山梨,リニア体験乗車の抽選会　当選倍率は10倍　県民限定の2座席1セット228件　山梨,https://news.yahoo.co.jp/articles/156a99a5672bdc2f3fbc943e93152243449ed782,6/12(水) 19:06
utyv,UTYテレビ山梨,「飲むトウモロコシ」　ドルチェドリーム　出荷はじまる,https://news.yahoo.co.jp/articles/5653cc62f40c5e093a44c925f9dc3502bb4ed5f3,6/12(水) 19:02
utyv,UTYテレビ山梨,レミオロメン ベーシストがオリーブオイル作り　国際品評会で金賞「音楽と思いのベクトルは似ている」畑違いの挑戦,https://news.yahoo.co.jp/articles/333345ecf3635b5aa41e0de79ba38914e0066674,6/12(水) 18:49
utyv,UTYテレビ山梨,高所作業機の下敷き　67歳女性が死亡　モモ畑で農作業　同様の死亡事故は5月以降3件目　山梨,https://news.yahoo.co.jp/articles/c008b4696f77dc675af6b58e0e45b32dd71dc77b,6/12(水) 18:06
utyv,UTYテレビ山梨,白や紫、黄色のハナショウブが鮮やかに咲き誇る　早川町京ヶ島,https://news.yahoo.co.jp/articles/33fbd3f681e1e800b97fd92639065b2b9eb943ae,6/12(水) 17:31
utyv,UTYテレビ山梨,電気バス「最適とは言い難い」　富士山登山鉄道構想　住民団体の質問状に山梨県が回答,https://news.yahoo.co.jp/articles/851e1712941bafef379d3348bf2afa639ddf4cb0,6/12(水) 17:21
utyv,UTYテレビ山梨,勝沼34.1度で全国2位の暑さ　熱中症か　屋外作業の70代男性が病院に運ばれる　山梨,https://news.yahoo.co.jp/articles/19207aaecfae0beaaa5fae8c2ac7f5ab4f787ef9,6/12(水) 17:08
utyv,UTYテレビ山梨,きょうも暑い　甲府はすでに29度超え　熱中症への注意を呼びかけ　山梨,https://news.yahoo.co.jp/articles/4a75e0c875278fb7da5028662d412a40aa96dae9,6/12(水) 12:22
utyv,UTYテレビ山梨,「一定の区切りがついた段階で」1182万円不記載問題を改めて説明の意向　長崎幸太郎知事　山梨,https://news.yahoo.co.jp/articles/3d54c16beaa56f14a18d222d7bc1a7ad2375f84c,6/12(水) 11:57
utyv,UTYテレビ山梨,夜の国道20号　交差点で車2台が衝突　男女4人が重軽傷　現場は2時間通行止め,https://news.yahoo.co.jp/articles/9234548e89ed7abff65f728f5977cfa04af6e16b,6/12(水) 11:51
utyv,UTYテレビ山梨,「緑と花と野鳥の声を聴きながら和やかに」アジサイが30種類1000株　山寺で見頃,https://news.yahoo.co.jp/articles/65ab3c6c3a1efdadf890182aecd19c7688e809e5,6/12(水) 6:02
utyv,UTYテレビ山梨,国道20号で車2台が関係する事故　男女4人が病院搬送　現場付近の通行止め解除　【午後10時30分現在】,https://news.yahoo.co.jp/articles/5a32f506ca4a1c61d46c1be4c7a7a76bbc494a9a,6/11(火) 22:06
utyv,UTYテレビ山梨,一方的な好意が背景か　同僚女性の首を絞めて殺害した殺人などの罪　35歳の男を起訴,https://news.yahoo.co.jp/articles/4165bb36849e27a1a8121f576b4a06daaaf7d373,6/11(火) 20:04
utyv,UTYテレビ山梨,ワインの一大産地で品評会　69点のワインが出品　色や香り 味わいを審査,https://news.yahoo.co.jp/articles/2cb692e8a6e6e6eb587d4fd87b413cabe67ba019,6/11(火) 19:12
utyv,UTYテレビ山梨,「現場と同じようにミスが一つも許されない」180人の消防隊員が人命救助の技術を競う,https://news.yahoo.co.jp/articles/b296e54ac49a644e4ce0e378eccfb327f20823c8,6/11(火) 19:12
utyv,UTYテレビ山梨,「死活問題」ワカサギ漁獲量が例年の1割未満　2か月早く営業終了の業者も　山中湖,https://news.yahoo.co.jp/articles/39f6bd06edbb13c68d61784fc08479ec04943ac9,6/11(火) 18:58
utyv,UTYテレビ山梨,富士山登山鉄道構想　少人数意見交換会はじまる　住民参加0人で初日から中止の回も,https://news.yahoo.co.jp/articles/5a15f528a72a2f76f2f3c4c5ddc31b09f41c0db0,6/11(火) 18:46
utyv,UTYテレビ山梨,奨学金の返済を半額補助　県内の中小企業に就職する若者が対象　制度新設へ　山梨県,https://news.yahoo.co.jp/articles/ad95083f1ecd03f13e572b1c731727f6e2c95746,6/11(火) 18:31
utyv,UTYテレビ山梨,熱中症か　体育授業中の男子児童1人が病院に運ばれる　勝沼31.3度など3地点で真夏日　山梨,https://news.yahoo.co.jp/articles/e2f5d55051d43f1a98ce2bfc26498e2f8de7f912,6/11(火) 18:08
utyv,UTYテレビ山梨,富士山を隠す黒い幕にQRコード　他の撮影スポットなど紹介　観光客分散で新たな対策,https://news.yahoo.co.jp/articles/41e7b952bb5260fa6a1464eb4fdec74c1cb08759,6/11(火) 15:16
utyv,UTYテレビ山梨,未成年女性と性交の疑い　監護者の無職の40代の男を再逮捕　山梨,https://news.yahoo.co.jp/articles/1104dd9e3572097cca78f975f90936efe91b972c,6/11(火) 12:06
utyv,UTYテレビ山梨,「みんなでまとまって守備を」ハーフナー・マイクさんが分析　ヴァンフォーレ甲府の前半戦　順位浮上のポイント,https://news.yahoo.co.jp/articles/0facd7752b84f90f1a615b3ece8ea42df2ad6748,6/11(火) 11:57
utyv,UTYテレビ山梨,予想最高気温 甲府32度、河口湖26度　今年一番の暑さか　熱中症に注意　山梨,https://news.yahoo.co.jp/articles/d8e955ed06fd5dffe8f9ae37902a4ba31bcfd42c,6/11(火) 11:54
utyv,UTYテレビ山梨,「賃上げの動き中小企業にも」夏のボーナス「増額」見通し　県内企業の19.3％　山梨,https://news.yahoo.co.jp/articles/3a724dbbd54ca6604cf3ae031c4a9b7525652968,6/11(火) 11:41
utyv,UTYテレビ山梨,11日は晴れて今年一番の暑さに　その要因は乾いた熱風が山を下るフェーン現象　気象予報士が解説,https://news.yahoo.co.jp/articles/a5e8a2e38493b1b8b170d2ec380f9086725da3f8,6/10(月) 21:04
utyv,UTYテレビ山梨,江戸時代以降の掛け時計や腕時計など150点　時の記念日企画展　技術進歩の過程も,https://news.yahoo.co.jp/articles/7a39bcad3efc24bbb247af6fceebd2ade021dfcb,6/10(月) 20:41
utyv,UTYテレビ山梨,富士川の流量が少ないとして要望書　日本軽金属に取水量の調整求める　山梨と静岡の団体,https://news.yahoo.co.jp/articles/636f483f490486eef49adb40f2ccdf13de9ddde5,6/10(月) 20:34
utyv,UTYテレビ山梨,来年夏の参院選　与野党の対決構図が焦点　自民は現職・森屋宏氏を擁立へ　山梨,https://news.yahoo.co.jp/articles/f542e8fb2d5cb4604f497c203506843e256f03ed,6/10(月) 20:27
utyv,UTYテレビ山梨,「なお一層きめ細かく」人口減少対策の司令塔となる組織設置など国に要望　山梨県の長崎幸太郎知事,https://news.yahoo.co.jp/articles/1260c519288efa383ddbad8ed4915d74c7c356a5,6/10(月) 20:06
utyv,UTYテレビ山梨,クマを目撃　犬と散歩中　体長は1.5mほど　山梨・北杜市,https://news.yahoo.co.jp/articles/ce08b4f87c40bf870983cbb4462f8a05bb55a2fd,6/10(月) 19:51
utyv,UTYテレビ山梨,「値段的には厳しいがこの値段で」ジャガイモ高騰でコロッケがピンチ　街の精肉店が味を守るワケ,https://news.yahoo.co.jp/articles/8c0dd3620fbc5e23c5f1e6c601cd30136b4ed17d,6/10(月) 19:24
utyv,UTYテレビ山梨,公共施設の爆破予告メール　自治体に相次ぐ　学童保育を閉鎖の措置も　山梨,https://news.yahoo.co.jp/articles/bbfb161fd6cf7d129c323e4b51d908e5c041a43e,6/10(月) 18:44
utyv,UTYテレビ山梨,「このパソコンは使えません」突然の画面表示　電子マネー36万円被害　連絡先には片言の日本語の男,https://news.yahoo.co.jp/articles/91b5210800f5950102adcde6a66a5e9fc58d1d46,6/10(月) 17:21
utyv,UTYテレビ山梨,「野菜、果物、土を勉強できた」児童が農産物直売所を見学　地元の特産を学ぶ,https://news.yahoo.co.jp/articles/72abc4ee17f76c7aecf93beb3f3e197aca89317f,6/10(月) 17:06
utyv,UTYテレビ山梨,パワハラや長時間勤務など労働相談会　昨年度の相談件数は過去最多の259件,https://news.yahoo.co.jp/articles/43935258abc3d643918a7f7464f69ded46a119fa,6/10(月) 17:06
