media_en,media_jp,title_articles,date_original
kiba,netkeiba.com,悲願成就へ恵みの雨となるか 道悪のマイルCSで“得意条件”が揃う注目馬,11/15(金) 12:00
kiba,netkeiba.com,ディープインパクト最終世代でG1は6勝!? ジャパンカップ参戦の“超大物”を深掘り,11/15(金) 11:48
kiba,netkeiba.com,19歳まで走り続け、一人の少年をジョッキーへと育てた馬 ヒカルアヤノヒメが旅立って1年,11/15(金) 11:45
kiba,netkeiba.com,馬体や手入れ、展示を競う「令和6年度当歳馬品評会」が開催,11/15(金) 11:15
kiba,netkeiba.com,【東スポ杯2歳S枠順確定】ファイアンクランツは3枠3番、クロワデュノールは4枠4番,11/15(金) 10:14
kiba,netkeiba.com,【マイルCS枠順確定】ナミュールは2枠4番、ブレイディヴェーグは1枠2番,11/15(金) 9:14
kiba,netkeiba.com,「温泉」と名の付くJRAのレースはいくつ？ 今週末の“温泉レース”を前に調べてみると,11/15(金) 8:00
kiba,netkeiba.com,ジャパンC最後の外国馬勝利から19年 その後に参戦した海外の大物とは,11/15(金) 7:30
kiba,netkeiba.com,22年の朝日杯FS覇者ドルチェモアが登録抹消 大井競馬へ移籍,11/15(金) 7:00
kiba,netkeiba.com,あだ名とニックネーム/島田明宏,11/14(木) 21:00
kiba,netkeiba.com,23年紫苑S覇者のモリアーナが登録抹消 今後は繁殖馬に,11/14(木) 20:15
kiba,netkeiba.com,3億円馬が自己条件で立て直し 初勝利の舞台で重賞戦線への足掛かりをつかむ,11/14(木) 20:00
kiba,netkeiba.com,【マイルCS予想】不利な展開の近走を好走、今回狙える中穴馬,11/14(木) 20:00
kiba,netkeiba.com,クラシックウイナーのきょうだいら良血馬が大挙出走 日曜福島5Rは豪華メンバーに,11/14(木) 19:30
kiba,netkeiba.com,【JRA新馬戦】ダービー馬、菊花賞馬のきょうだいにGI4勝馬の仔など良血馬が多数デビュー,11/14(木) 19:00
kiba,netkeiba.com,福岡ソフトバンクホークス・柳田悠岐選手 武豊騎手とタッグで馬主初勝利なるか,11/14(木) 18:30
kiba,netkeiba.com,日本一に輝いた横浜DeNAベイスターズ・三浦大輔監督の愛馬2頭 オーナー同様に“歓喜の瞬間”なるか,11/14(木) 18:00
kiba,netkeiba.com,【マイルCS・調教後馬体重】ブレイディヴェーグは470kg、ソウルラッシュは514kg,11/14(木) 17:08
kiba,netkeiba.com,23年オークス2着ハーパーが登録抹消 ノーザンファームで繁殖入り,11/14(木) 16:30
kiba,netkeiba.com,【東スポ杯2歳S出走馬・騎手確定】クロワデュノール＆北村友一騎手、レッドキングリー＆C.ルメール騎手など9頭,11/14(木) 15:54
kiba,netkeiba.com,阪神JF出走予定の米国重賞馬メイデイレディ 来日スケジュールが発表,11/14(木) 15:17
kiba,netkeiba.com,【マイルCS出走馬・騎手確定】ブレイディヴェーグ＆C.ルメール騎手、ソウルラッシュ＆団野大成騎手など17頭,11/14(木) 14:13
kiba,netkeiba.com,ラムジェット、チャンピオンズC2週前追い切り速報/栗東トレセンニュース,11/14(木) 13:58
kiba,netkeiba.com,アルナシーム、マイルCS最終追い切り速報/栗東トレセンニュース,11/14(木) 13:43
kiba,netkeiba.com,ダート重賞2勝のプロミストウォリアが抹消 今後は種牡馬入り,11/14(木) 12:05
kiba,netkeiba.com,C.ルメール騎手のここまでのベストレースは？ 戸崎騎手と松山騎手ともに会心の騎乗語る,11/14(木) 11:45
kiba,netkeiba.com,今年のジャパンCと大きな共通点 武豊騎手がダービー馬で強豪海外勢を迎え撃った25年前,11/14(木) 7:30
kiba,netkeiba.com,イギリスで24年の芝平地競馬閉幕 決着みえたリーディングサイアー争い,11/13(水) 21:00
kiba,netkeiba.com,【川崎・ロジータ記念結果】昨年の2歳女王ローリエフレイバーが久々の勝利！重賞2勝目を挙げる,11/13(水) 20:39
kiba,netkeiba.com,【マイルCS予想】トップマイラーが一堂に集結 AIの推奨は勢いに乗る注目の5歳馬,11/13(水) 20:30
kiba,netkeiba.com,20年兵庫ジュニアGP覇者デュアリストが登録抹消 大井競馬へ移籍,11/13(水) 20:00
kiba,netkeiba.com,キタサンブラック産駒の“大器” 東スポ杯2歳Sで5カ月ぶり実戦,11/13(水) 19:30
kiba,netkeiba.com,8戦連続連対中の欧州最強マイラー マイルCS初の外国馬Vなるか,11/13(水) 19:00
kiba,netkeiba.com,横山琉騎手と佐々木騎手に30日間の騎乗停止処分 スマホ不適切使用に関与のため,11/13(水) 18:45
kiba,netkeiba.com,永野猛蔵騎手が引退 騎手免許の取消申請,11/13(水) 18:30
kiba,netkeiba.com,【チャンピオンズC想定】レモンポップ、ウィルソンテソーロなど18頭,11/13(水) 18:00
kiba,netkeiba.com,新紙幣発行年のジャパンCには勝率100％のデータが!? 今年当てはまった3頭とは,11/13(水) 17:00
kiba,netkeiba.com,アーテルアストレア、チャンピオンズC2週前追い切り速報/栗東トレセンニュース,11/13(水) 14:05
kiba,netkeiba.com,ドウデュース、ジャパンC1週前追い切り速報/栗東トレセンニュース,11/13(水) 13:55
kiba,netkeiba.com,ジャパンC指定席は最高倍率「29.7倍」世界から強豪馬参戦でプラチナチケットに,11/13(水) 12:23
kiba,netkeiba.com,史上2組目の偉業達成へ モーリス産駒の伏兵3頭がマイルCS父仔制覇に挑む,11/13(水) 12:15
kiba,netkeiba.com,「笑いながら走る馬」が魅せた大外からの横綱相撲 史上2頭目のマイルCS連覇,11/13(水) 7:30
kiba,netkeiba.com,【マイルCS展望】秋のマイル王決定戦、外国馬チャリンに注目,11/13(水) 6:00
kiba,netkeiba.com,「ド迫力のお尻をご覧ください」“秋馬”がマイルCS連覇へ仕上がり良好,11/12(火) 20:45
kiba,netkeiba.com,【川崎・ローレル賞結果】ウィルシャインが無傷3連勝で重賞初制覇,11/12(火) 20:32
kiba,netkeiba.com,イクイノックスと同じ道を歩めるか ルメール騎手×木村厩舎の“名タッグ”が東スポ杯2歳S制覇へ,11/12(火) 20:00
kiba,netkeiba.com,【東スポ杯2歳S予想オッズ】クロワデュノールが予想1番人気,11/12(火) 19:30
kiba,netkeiba.com,【マイルCS予想オッズ】ブレイディヴェーグが予想1番人気,11/12(火) 19:00
kiba,netkeiba.com,武豊騎手が“5億円レース覇者”と参戦 11年ぶりのマイルCS制覇なるか,11/12(火) 18:30
kiba,netkeiba.com,パクシーなど、先週のゲート試験/栗東トレセンニュース,11/12(火) 17:00
kiba,netkeiba.com,エンダードラゴンなど、先週の入厩情報/栗東トレセンニュース,11/12(火) 16:45
kiba,netkeiba.com,史上初の“W制覇”なるか デビューから6戦連続連対中の実績馬がマイルCSにルメール騎手と挑む,11/12(火) 11:57
kiba,netkeiba.com,マイルCS参戦の英調教馬チャリン 日本の馬場への適性を血統面から深掘り,11/12(火) 8:00
kiba,netkeiba.com,初年度産駒デビューから5年目の栄冠 トウカイテイオー産駒初のGI勝ち,11/12(火) 7:30
kiba,netkeiba.com,【東スポ杯2歳S展望】2歳戦屈指の出世レース、決め手勝負になりやすい,11/12(火) 6:00
kiba,netkeiba.com,気鋭の若手騎手がマイルCSで4回目のJRA・GI参戦 思い切った手綱捌きで一発狙う,11/11(月) 20:45
kiba,netkeiba.com,【川崎・ロジータ記念枠順】前哨戦Vのシトラルテミニは5枠8番,11/11(月) 20:15
kiba,netkeiba.com,スタニングローズが復活V キングカメハメハ産駒は意外にもエ女王杯初制覇,11/11(月) 20:00
kiba,netkeiba.com,マイルCS史上7頭目の連覇達成へ C.デムーロ騎手×高野厩舎のタッグが2週連続GI制覇狙う,11/11(月) 19:45
kiba,netkeiba.com,【マイルCS想定騎手】ブレイディヴェーグはC.ルメール騎手、ナミュールはC.デムーロ騎手,11/11(月) 19:15
kiba,netkeiba.com,【AI予想・マイルCS】近況が好調な馬にマイル王の資格あり!? 人工知能は距離適性の高さを重視,11/11(月) 19:00
kiba,netkeiba.com,一族には国内外の活躍馬ずらり 1.5億円馬ダノンピクチャー/関東馬メイクデビュー情報,11/11(月) 18:30
kiba,netkeiba.com,府中牝馬S覇者シャドウディーヴァの半弟 1.7億円馬インザスカイが初陣/関西馬メイクデビュー情報,11/11(月) 18:01
kiba,netkeiba.com,【東京スポーツ杯2歳S想定騎手】クロワデュノールは北村友一騎手、レッドキングリーはC.ルメール騎手,11/11(月) 17:30
kiba,netkeiba.com,「父父メジロマックイーン×母母父オグリキャップ」 オグリマックイーンが3馬身差で初勝利,11/11(月) 17:15
kiba,netkeiba.com,【先週のJRA抹消馬】重賞2勝を挙げたステラヴェローチェ、芝・ダート双方で活躍のバスラットレオンなど,11/11(月) 17:00
kiba,netkeiba.com,有馬記念ファン投票が14日からスタート 豪華賞品が7500名に当たる,11/11(月) 13:54
kiba,netkeiba.com,【武蔵野S】売上は38億774万5500円で昨年より約7億円増加,11/11(月) 13:15
kiba,netkeiba.com,【川崎・ローレル賞枠順】無傷4連勝中のリオンダリーナは3枠4番,11/11(月) 13:09
kiba,netkeiba.com,【デイリー杯2歳S】売上は15億857万5800円で昨年より約10億円の大幅減,11/11(月) 13:00
kiba,netkeiba.com,【福島記念】売上は25億4237万2200円で昨年より約1.3億円減少,11/11(月) 12:45
kiba,netkeiba.com,【エリザベス女王杯】売上は169億314万8200円で昨年より約1億円減少,11/11(月) 12:30
kiba,netkeiba.com,11月11日は「宝石の日」 ジュエリーにちなんだ馬名にはGI馬3頭を送り出した名繁殖も,11/11(月) 12:15
kiba,netkeiba.com,悲願のGI制覇や人気薄での勝利も マイルCSの勝ち時計ランキング,11/11(月) 11:45
kiba,netkeiba.com,【マイルCS見どころ】牡馬相手でも決め手上位のブレイディヴェーグ,11/11(月) 11:00
kiba,netkeiba.com,【東スポ杯2歳S見どころ】クロワデュノールの連勝に期待,11/11(月) 11:00
kiba,netkeiba.com,外国人ジョッキーが11連勝!? 6年前の11月11日に起こった“珍事”,11/11(月) 7:32
kiba,netkeiba.com,秋のマイル王決定戦マイルCSと2歳馬の登竜門・東スポ杯2歳S/今週の競馬界の見どころ,11/11(月) 6:00
kiba,netkeiba.com,11月10日の出来事一覧/福島・東京・京都,11/10(日) 19:51
kiba,netkeiba.com,【東スポ杯2歳S】ファイアンクランツ、レッドキングリーらが登録,11/10(日) 19:10
kiba,netkeiba.com,【高知・黒潮マイルCS結果】グラティアスグーが5馬身差で圧勝,11/10(日) 18:36
kiba,netkeiba.com,ジャパンC登録馬 ドウデュース、オーギュストロダンら15頭,11/10(日) 18:32
kiba,netkeiba.com,【盛岡・絆C結果】ウラヤが押し切り重賞初制覇,11/10(日) 18:25
kiba,netkeiba.com,【JRA・WIN5】波乱続きで的中1票！ 配当は歴代5位の4億6496万3450円！,11/10(日) 16:08
kiba,netkeiba.com,【オーロC結果】15番人気ゴールデンシロップが大外一気で大激戦制す,11/10(日) 15:56
kiba,netkeiba.com,【エリザベス女王杯結果】秋の女王はスタニングローズ！ 22年秋華賞以来の復活V！,11/10(日) 15:47
kiba,netkeiba.com,【福島記念結果】アラタが3度目の挑戦でV！ 悲願の重賞初制覇,11/10(日) 15:26
kiba,netkeiba.com,【黄菊賞結果】ミュージアムマイルが断然人気に応え2連勝,11/10(日) 14:49
kiba,netkeiba.com,【エリザベス女王杯・馬体重】レガレイラは472kg(+4)、ホールネスは536kg(±0),11/10(日) 14:32
kiba,netkeiba.com,【福島2歳S結果】4番人気ポッドベイダーが抜け出し快勝,11/10(日) 14:23
kiba,netkeiba.com,【福島6R新馬戦結果】ヒットミーが5馬身差圧勝 柴田善臣騎手はJRA最年長勝利記録を更新,11/10(日) 12:52
kiba,netkeiba.com,【京都5R新馬戦結果】キタサンブラック産駒エコロディノスが人気に応えてV,11/10(日) 12:39
kiba,netkeiba.com,【東京5R新馬戦結果】リアルスティール産駒ティラトーレが3馬身差で快勝,11/10(日) 12:28
kiba,netkeiba.com,【京都4R新馬戦結果】ジョーカプチーノ産駒アスタールフナが差し返してV,11/10(日) 11:45
kiba,netkeiba.com,京都芝は上々のコンディション 外回りは外伸び優勢か,11/10(日) 11:39
kiba,netkeiba.com,【東京4R新馬戦結果】ヘニーヒューズ産駒ピコレッドが2番手から抜け出しV,11/10(日) 11:38
kiba,netkeiba.com,【エリザベス女王杯予想】人気薄狙うパターンとは 過去10年データから探るGI女王決定戦,11/10(日) 7:35
kiba,netkeiba.com,セレクト3億円の超良血 コジオスコがルメール騎手で初陣V狙う,11/10(日) 7:00
kiba,netkeiba.com,【エリザベス女王杯予想】下半期の最強女王の座をかけ激突 「上がり最速馬」が的中へのカギか,11/10(日) 6:35
kiba,netkeiba.com,【福島記念予想】秋の福島開催の目玉重賞 ハンデ×フルゲートで一筋縄ではいかず,11/10(日) 6:35
kiba,netkeiba.com,【今日の注目ポイント】京都で女王決定戦・エリザベス女王杯,11/10(日) 6:00
kiba,netkeiba.com,半兄は二刀流の名馬パンサラッサ マードラドが芝マイルで初陣だ,11/9(土) 22:19
kiba,netkeiba.com,霜降り明星・粗品がエリザベス女王杯を予想 レガレイラは「ここまでオッズが下がると本命にはしづらい」,11/9(土) 21:54
kiba,netkeiba.com,坂井瑠星騎手がJRA年間100勝達成！ 「今朝から後輩である田口貫太君に…」,11/9(土) 21:47
kiba,netkeiba.com,高田潤騎手がJRA障害通算勝利数で単独10位に 「本当にここまで一生懸命やってきてよかった」,11/9(土) 21:19
kiba,netkeiba.com,川田将雅騎手がJRA通算2100勝達成！ 「また区切りを迎えさせていただけてありがたく思います」,11/9(土) 20:59
kiba,netkeiba.com,日英仏でG1に参戦 21年京王杯2歳S覇者キングエルメスが8日に登録抹消,11/9(土) 20:19
kiba,netkeiba.com,11月9日の出来事一覧/福島・東京・京都,11/9(土) 20:09
kiba,netkeiba.com,【AI予想・エリザベス女王杯】4歳馬中心も3歳馬に見逃せないデータあり！ 本命は近走の敗因が明確なGIホース,11/9(土) 20:00
