media_en,title_articles,link_articles,date_original
kytnews,台風６号　種子・屋久まもなく、県本土８日昼すぎ“暴風域”か,https://news.yahoo.co.jp/articles/d92efc1140f5338ad535b851d351a7534376ecf9,8/8(火) 0:12
kytnews,６市町村に避難指示　垂水・桜島フェリー運航見合わせへ,https://news.yahoo.co.jp/articles/344e9e18cfdca35d02a57c2e9467fa2fe2d0748b,8/7(月) 20:24
kytnews,【解説】台風６号今後の進路は？暴風域に入るタイミングは？,https://news.yahoo.co.jp/articles/bb5625e848acc1556656a5fd716f5bd60332fcde,8/7(月) 20:24
kytnews,川内原発の運転延長問題　県民投票求める市民団体　署名を選管に提出,https://news.yahoo.co.jp/articles/c1372577e204433300dea92d12eb7c6f514091e1,8/7(月) 20:23
kytnews,県内のガソリンスタンドで給油量制限や臨時休業　台風６号の影響でタンカー入港できず,https://news.yahoo.co.jp/articles/dfadbd902d3b771077882bca19548efde25c4b31,8/7(月) 20:17
kytnews,世界水泳福岡大会で優勝　世界記録保持者が水泳教室,https://news.yahoo.co.jp/articles/da448e53e6741c05d0458e2afef8a2b3b1055b77,8/7(月) 20:16
kytnews,全日本クラブ野球選手権九州予選　鹿児島ドリームウェーブが九州王者と初戦,https://news.yahoo.co.jp/articles/9627e031f0ab1dd41eab5cbb90c91ee9b27a2ef4,8/7(月) 20:15
kytnews,夏の甲子園６日開幕　神村学園ナインも堂々行進,https://news.yahoo.co.jp/articles/31a7e5b958ee1e5b8a3d4abb414076114aded94f,8/7(月) 19:27
kytnews,北海道インターハイ　県勢が躍動　陸上３０００ｍカリバ・カロライン選手が連覇,https://news.yahoo.co.jp/articles/eedd8aaa3326852f31eb7ced9a8fb87e3d272a44,8/7(月) 19:25
kytnews,未明に２回　大隅半島沖で地震　震度３を観測,https://news.yahoo.co.jp/articles/0c77a6704c6a0cdfeefe87b1ad7dec15c1f18055,8/7(月) 13:29
kytnews,台風６号　奄美地方・九州南部　線状降水帯発生の恐れ,https://news.yahoo.co.jp/articles/ab574a42978a6c3235e2a7b841aa73135d337935,8/7(月) 13:02
kytnews,台風６号　９日に九州にかなり接近のおそれ,https://news.yahoo.co.jp/articles/32a039f0e4501d0cc0ab11342e90d643b2a8a54d,8/7(月) 12:59
kytnews,台風６号　県本土と種子屋久も強風域に（６日午後９時）,https://news.yahoo.co.jp/articles/7ca53eca8fc59e4da0b4d2a0241c409c1485163a,8/6(日) 21:36
kytnews,台風６号　県本土と種子屋久も強風域に（６日午後７時）,https://news.yahoo.co.jp/articles/60456bfefac07d7fe8cf3dececd303f6e9e1cf09,8/6(日) 19:36
kytnews,台風６号奄美地方が暴風域に　線状降水帯にも厳重警戒を（６日午前１１時）,https://news.yahoo.co.jp/articles/cf8b47b912a3395c70643ca8a30e74ea1f7bb9e6,8/6(日) 12:43
