media_en,media_jp,title_articles,link_articles,date_original
kfb,KFB福島放送,【１１月１４日発表】　東京電力、水産庁のモニタリング結果,https://news.yahoo.co.jp/articles/ae7c1a130917b8fa48e2740b0f74bab09151477a,11/14(火) 19:10
kfb,KFB福島放送,盛岡市で開催　北海道東北地方知事会議（福島）,https://news.yahoo.co.jp/articles/939b4d74243820fddcea0ba85e7253e6809d3806,11/14(火) 19:10
kfb,KFB福島放送,地元漁協も熱視線！県内にワカサギ釣りの新スポットが（福島）,https://news.yahoo.co.jp/articles/9e3eeaa1779d56d50b013119324dca18ed57aedb,11/14(火) 18:56
kfb,KFB福島放送,安積中学校の受験に特化した塾も開校（福島）,https://news.yahoo.co.jp/articles/f45ebeaed92d23e0c0c5a0e6b782b020ded453e7,11/14(火) 18:56
kfb,KFB福島放送,２０２５年開校　県立安積中学校（仮称）の説明会（福島）,https://news.yahoo.co.jp/articles/f8dae7c453f2b5be2d4f714baa928a666c2915d2,11/14(火) 18:56
kfb,KFB福島放送,特養での傷害致死事件　被告の男「イライラすることがあった」（福島）,https://news.yahoo.co.jp/articles/9ddd86df5619e502c522b9a4bfb2a9d2ae892260,11/14(火) 16:59
kfb,KFB福島放送,只見川のダム上流の砂で出来たものとは（福島）,https://news.yahoo.co.jp/articles/2a6aa8295c773d6ea9f0852fe51e5be717dd97c6,11/14(火) 16:59
kfb,KFB福島放送,地域おこし協力隊員がオープンさせたビストロ（福島）,https://news.yahoo.co.jp/articles/f3698f11c8c7db7ae9e9da97def6ffea72b7fe4d,11/14(火) 16:59
kfb,KFB福島放送,地元の野菜をふんだんに　鏡石町にビストロオープン（福島）,https://news.yahoo.co.jp/articles/f40ffa214889b5ebd605a957c7ead80d20091802,11/14(火) 16:59
kfb,KFB福島放送,原発事故の追加賠償　３６万人と連絡取れず（福島）,https://news.yahoo.co.jp/articles/1c9f667c00a30702805f9108333c6c16d122b85d,11/14(火) 12:17
kfb,KFB福島放送,開校は２０２５年　県立安積中（仮称）の説明会始まる（福島）,https://news.yahoo.co.jp/articles/eddffa16ece65999fd20cd8c78d4fc2c7e72e68c,11/14(火) 12:17
kfb,KFB福島放送,本格的な冬を前に　御薬園で雪吊り始まる（福島）,https://news.yahoo.co.jp/articles/690f0b4962463c6cbf1d7c4936e83ab26a02ea34,11/14(火) 12:17
kfb,KFB福島放送,福島第一原発周辺の海水モニタリング結果,https://news.yahoo.co.jp/articles/a8025b8abfd83c3e8dc6ed1e97ab39174880ec07,11/13(月) 20:15
kfb,KFB福島放送,「既存政党への不満が溜まっている」県議選いわき市選挙区結果を専門家が分析（福島）,https://news.yahoo.co.jp/articles/25cbfe3a1a40ea16076004f27fd244a2ace5065c,11/13(月) 20:15
kfb,KFB福島放送,「逆風」「大変厳しい結果」県議選で自民・立憲・共産が議席減（福島）,https://news.yahoo.co.jp/articles/6ed4eb58ba034135e686d3890674d5cdca87648f,11/13(月) 20:15
kfb,KFB福島放送,まるでオレンジのカーテンのよう　あんぽ柿づくり始まる（福島）,https://news.yahoo.co.jp/articles/39833454c2004f7deef3623cc1f1620f4a7fcc58,11/13(月) 20:15
kfb,KFB福島放送,KFBおにぎりフェス多くの人でにぎわう（福島）,https://news.yahoo.co.jp/articles/5721504aa76f0edab04fb8305376253fcca2da81,11/13(月) 18:03
kfb,KFB福島放送,12年後の私へ小学生がタイムカプセルを埋設（福島）,https://news.yahoo.co.jp/articles/443cc4bdf5d46c3c261b84884b162203d51e8f62,11/13(月) 18:03
kfb,KFB福島放送,21日から発売へ　被災地支援の日本酒「絆舞」搾り作業（福島）,https://news.yahoo.co.jp/articles/c2aa99b7b028e2f3d9a0c4729cf8237ee75bab2a,11/13(月) 17:52
kfb,KFB福島放送,大熊町長選再選した吉田氏に当選証書（福島）,https://news.yahoo.co.jp/articles/63e4f5fccc2a7cb9c93d8e7ef7a18e3a51183e9a,11/13(月) 17:52
kfb,KFB福島放送,大熊町の災害公営住宅で火災１人死亡（福島）,https://news.yahoo.co.jp/articles/30bbff688d5522e0f1fcc4601d5ad4029e2edb28,11/13(月) 12:06
kfb,KFB福島放送,冷え込み強まり山沿いでは雪が（福島）,https://news.yahoo.co.jp/articles/ea6e93a10182d1b2655c29590b80edfd1dd1c821,11/13(月) 12:06
kfb,KFB福島放送,県議選 自民単独過半数割れ 維新は初議席（福島）,https://news.yahoo.co.jp/articles/5c057256937a9e0a4f0fba23584dd5e73201d1e0,11/13(月) 12:06
kfb,KFB福島放送,【速報】福島県議選（福島市選挙区）の開票結果,https://news.yahoo.co.jp/articles/f09a70324a627bec5255da7b589bb6b7416635e4,11/13(月) 0:21
kfb,KFB福島放送,【速報】福島県議選（いわき市選挙区）の開票結果,https://news.yahoo.co.jp/articles/72e1db3b92adae550bfed64e128a1c0ae43ed72f,11/13(月) 0:11
kfb,KFB福島放送,【速報】福島県議選（会津若松市選挙区）の開票結果,https://news.yahoo.co.jp/articles/4029abe93aa23d974ae2635b37ab6d8a7ccf8e86,11/12(日) 22:39
kfb,KFB福島放送,【速報】福島県議選（郡山市選挙区）の開票結果,https://news.yahoo.co.jp/articles/a507a58e5109cf2010b9c6134fe8819c7e1d9ba7,11/12(日) 22:35
kfb,KFB福島放送,【速報】福島県議選（二本松選挙区）の開票結果,https://news.yahoo.co.jp/articles/718b785be1d68cb225e5a71d78647958ed8506fb,11/12(日) 22:00
