media_en,media_jp,title_articles,link_articles,date_original
rkckochi,RKC高知放送,今年は表年！初夏に旬を迎える柑橘『なつみ』が香南市で収穫の最盛期を迎える【高知】,https://news.yahoo.co.jp/articles/1fa4f0a9c5c064270ca1a50b3cd0c224b9183c78,4/9(火) 12:00
rkckochi,RKC高知放送,人気絵本作家・児童文学作家 あんびるやすこさんの作品展が高知県立文学館で開催中【高知】,https://news.yahoo.co.jp/articles/a69acbf018c9a589b2c68dd46a491e75128577e8,4/9(火) 11:59
rkckochi,RKC高知放送,清水ヶ丘中と安芸中が統合し開校した『安芸市立安芸中学校』全校生徒258人で新たな船出【高知】,https://news.yahoo.co.jp/articles/27bac716dc3a194d25426551d71ac86826b2cac9,4/8(月) 19:16
rkckochi,RKC高知放送,サッカー・高知ユナイテッドSC 開幕5連勝！ JFL首位をキープ【高知】,https://news.yahoo.co.jp/articles/57120e8bbc1ec5968359974c5964ea7f1eaa111b,4/8(月) 19:16
rkckochi,RKC高知放送,俳優・山本學さんとクラシックギタリスト・松田弦さんが黒潮町でコラボイベント 詩の朗読とギターの音色が会場に響く【高知】,https://news.yahoo.co.jp/articles/5eaeefb60ae096acb95dfe5292b5d1856f8c58d9,4/8(月) 19:16
rkckochi,RKC高知放送,『期待に胸を膨らませている』国際ビジネスやデザイン・看護などを学ぶ3つの専門学校の合同入学式に486人が参加【高知】,https://news.yahoo.co.jp/articles/f798485581a4ea0970bf211a2dc5347d1de7041f,4/8(月) 19:15
rkckochi,RKC高知放送,香南市にスポーツジムが誕生 県東部初のシミュレーションゴルフ導入でジュニアゴルファーの育成も目指す【高知】,https://news.yahoo.co.jp/articles/84469f7538f779ff07f45d35ef271ff159c2920a,4/8(月) 19:15
rkckochi,RKC高知放送,IT技術者、看護師を育成する県内唯一の4年制の専門学校 高知開成専門学校で入学式【高知】,https://news.yahoo.co.jp/articles/49c4aa43c5c7dd50906c70d2ca53a147cde3897f,4/8(月) 17:48
rkckochi,RKC高知放送,ちょっと緊張気味？！ピカピカの1年生続々と！高知県内148校の小学校で入学式【高知】,https://news.yahoo.co.jp/articles/e8d0b48157f823dd59d8659195cb4fa6d14fd29a,4/8(月) 17:41
rkckochi,RKC高知放送,小学校で新学期スタート！高知県警が通学路で児童の見守り活動行う【高知】,https://news.yahoo.co.jp/articles/9c138cc9766c3283d22f6c71bcbe1f2d12a12b89,4/8(月) 11:54
rkckochi,RKC高知放送,県内ほとんどの公立小学校で新学期がスタート 在校生は気持ち新たに始業式に臨む【高知】,https://news.yahoo.co.jp/articles/8f61d4c28007c37b56e4eda6adf72fc7f2a6b6ab,4/8(月) 11:54
rkckochi,RKC高知放送,自閉症など発達に特性のある人への支援のあり方を考える催し高知市で開催【高知】,https://news.yahoo.co.jp/articles/9f2ae8ee1e1c19f981f9ee4eb8f291bbabbd3d08,4/7(日) 18:44
rkckochi,RKC高知放送,『シリーズ人口減少』①産後ケア 人口減少が進む高知県 今起きている現象や対策、そして人口減少社会の未来について伝える,https://news.yahoo.co.jp/articles/5c587836657b56b3d1800a89339176c20e63fd5e,4/7(日) 12:00
rkckochi,RKC高知放送,龍馬に大接近 ６月２日まで【高知】,https://news.yahoo.co.jp/articles/753af7e8820b83b6dbce77ac69e458b78f308560,4/6(土) 17:52
rkckochi,RKC高知放送,ひき逃げの疑いで48歳男逮捕 女性がケガ 【高知】,https://news.yahoo.co.jp/articles/37549d6ea946331685f5c7ae85b58aea91335505,4/6(土) 12:27
rkckochi,RKC高知放送,夜の高知城を彩る花回廊 ７日まで開催【高知】,https://news.yahoo.co.jp/articles/796ca895291f6eafca0a425825cc493b914935e2,4/6(土) 11:51
