media_en,media_jp,title_articles,link_articles,date_original
kkbv,KKB鹿児島放送,南九州市　ショベルカーの横で発見男性　死亡　鹿児島県,https://news.yahoo.co.jp/articles/eafa88ee1b7abbc249521df29657cae2189e03bc,5/1(水) 12:12
kkbv,KKB鹿児島放送,龍郷町 軽乗用車と衝突　原付バイクの男性死亡　鹿児島県,https://news.yahoo.co.jp/articles/f169266c8bee3eefdb8bdbaea0e1f9f75e300f4a,5/1(水) 12:12
kkbv,KKB鹿児島放送,南九州市「オープンパークベース」オープン　絶景を楽しみながらコーヒータイムを,https://news.yahoo.co.jp/articles/98c936c42ad75193d2e163ae689ec9df39b5eb7f,4/30(火) 19:24
kkbv,KKB鹿児島放送,「こいのぼり」イベント鹿児島市の甲突川,https://news.yahoo.co.jp/articles/41974a3465c783937bcf497ac6059bff33d97c42,4/30(火) 19:24
kkbv,KKB鹿児島放送,奄美群島活性化応援セミナー　財務省と自治体が連携　離島の活性化目指す,https://news.yahoo.co.jp/articles/51e0e5f6133b613baed0f352cee32ebaeb68e28f,4/30(火) 19:24
kkbv,KKB鹿児島放送,マンゴーにかぶりつき！さつま町で収穫祭「最高のでき」,https://news.yahoo.co.jp/articles/3d72f9e9d099c90c152d4d9168cefcb418f3ffda,4/30(火) 19:24
kkbv,KKB鹿児島放送,鹿屋市で豚舎7棟が全焼「ふくどめ小牧場」飼育する豚 約500頭焼け死ぬ,https://news.yahoo.co.jp/articles/76483cfd80b295cae682bec540ed5fdd046f62a1,4/30(火) 19:24
kkbv,KKB鹿児島放送,鹿児島市のコンビニエンスストア　強盗未遂の疑いで19歳の男を逮捕,https://news.yahoo.co.jp/articles/036ebf04b72b150e9815a06028d26443122800eb,4/30(火) 19:24
kkbv,KKB鹿児島放送,鹿児島市議会　議員協議会　議員が市長らと初顔合わせ,https://news.yahoo.co.jp/articles/4ba246d7e1605580d0cb1944ddc714439c7b78ec,4/30(火) 19:24
kkbv,KKB鹿児島放送,県内高校生の就職内定率　過去最高も”地元志向”弱まる結果に・・・,https://news.yahoo.co.jp/articles/cce7afae82b82d25031a94dc5a4d46d0a11ec995,4/30(火) 19:24
