media_en,title_articles,link_articles,date_original
tsb,冷房の効いた１６９系電車の中で過ごそう　クールシェア【長野・坂城町】,https://news.yahoo.co.jp/articles/330b10d12021fb9f9ddc7ba4fb6e4e1087b95c30,8/10(木) 12:16
tsb,車とバイク出合い頭に衝突　バイクの８０歳男性死亡【長野・松本市】,https://news.yahoo.co.jp/articles/64663c40c523416235556678dfa11acc25eace05,8/10(木) 12:12
tsb,負債総額約６５億円　征矢野建材が民事再生法適用を申請　綿半ホールディングスが再生支援【長野・松本市】,https://news.yahoo.co.jp/articles/e9ddef98497aa3d972cf105061defd4687681c9a,8/10(木) 12:02
tsb,「妄想か」「思い込みか」中野４人殺害事件　青木政憲容疑者の鑑定留置始まる　刑事責任能力の有無調べる　専門家は【長野】,https://news.yahoo.co.jp/articles/f84dc054518b58e06ec70781916bf2e7e57aa159,8/9(水) 21:35
tsb,「遠出も出来ない」ガソリン価格高騰　過去最高値　全国一の高値　消費者悲鳴【長野】,https://news.yahoo.co.jp/articles/3e3d908bc9c5a3af559da91f8583e65e28facbea,8/9(水) 21:30
tsb,安曇野赤十字病院が財政支援を要望　新型コロナで経営に打撃【長野・安曇野市】,https://news.yahoo.co.jp/articles/de1f7320e7a38cf6c8c3529ec1759926cfd68d73,8/9(水) 21:25
tsb,「涙があふれて止まらない」同僚が語る　殉職した警察官の最後の言葉　好きだった曲　思い受け継ぐ【長野】,https://news.yahoo.co.jp/articles/e5fe350e8a4169ae1c2814aa7ec0b314328d9be6,8/9(水) 16:48
tsb,止まらない！レギュラーガソリン１８９．９円　９週連続の値上がり　１２週連続で全国最高値【長野】,https://news.yahoo.co.jp/articles/7960e72d73dae4c062515c0c57067a23d3130e4b,8/9(水) 16:25
tsb,中野市４人殺害事件　青木政憲容疑者（３２）の鑑定留置始まる　刑事責任能力の有無調べる【長野】,https://news.yahoo.co.jp/articles/8e9fef02c718457bde04ef232d2d330f3cc77ae9,8/9(水) 16:25
tsb,人の助けに　魅力的な仕事　高校生が１日看護師体験【長野・諏訪市】,https://news.yahoo.co.jp/articles/78ece12fdad6b4c245129fe367cf09390815f9e2,8/9(水) 11:47
