media_en,title_articles,link_articles,date_original
niigatatvv,【続報】紙製品工場から出火した火事　被害判明　7棟全焼含む14棟に被害【新潟・三条市】,https://news.yahoo.co.jp/articles/cedf8f462783f7f7647e4b27a36bc78d144fd6a2,8/16(水) 12:41
niigatatvv,覚醒剤を国際郵便で密輸した疑い　縫いつけられたズボン　縫い目の粗さ・違和感から発見【新潟】,https://news.yahoo.co.jp/articles/434baa005198f291f95e6d484ef43d48abbd38b5,8/16(水) 12:27
niigatatvv,【台風7号】日本海を北上　空の便再開　まだ雨風強まる恐れも【新潟】,https://news.yahoo.co.jp/articles/7589d13cd9b3535a9fd4352697bd0a61f1006910,8/16(水) 12:23
niigatatvv,台風は恵みの雨をもたらさず…コメ農家の不安　フェーン現象で品質悪化のおそれも【新潟】,https://news.yahoo.co.jp/articles/bc73ee692a584775ddaece24c34c970a8ce73060,8/15(火) 20:20
niigatatvv,【台風7号】県内に大きな影響なし…しかし空の便欠航　フェーン現象で危険な暑さ【新潟】,https://news.yahoo.co.jp/articles/6038751d93339e20f25eec15e96d2b1825f61394,8/15(火) 20:17
niigatatvv,紙製品工場から出火　住宅など5棟全焼【新潟・三条市】,https://news.yahoo.co.jp/articles/7f6cfbff7315aff984213022b9433c522b4d6306,8/15(火) 20:05
niigatatvv,78年前の記憶　長岡空襲　語り部が伝える惨劇と平和の祈り【新潟・長岡市】,https://news.yahoo.co.jp/articles/a4fb18f48228a570ded46713637df9f8480a54e8,8/15(火) 20:01
niigatatvv,78回目の終戦記念日　家族を失った人　震災をきっかけに考えた高校生　それぞれが訴える平和【新潟】,https://news.yahoo.co.jp/articles/a1e4b0d112370e7178343e9f53f01fa88102eaab,8/15(火) 19:49
niigatatvv,お盆休みに二十歳の誓い　佐渡で成人式【新潟】,https://news.yahoo.co.jp/articles/5e75fdaab9f99d6ac4490adb1c3bcc7cea22c47b,8/15(火) 19:48
niigatatvv,夏の思い出もお土産に　Uターンラッシュがピーク【新潟】,https://news.yahoo.co.jp/articles/3f7f2a156ce08f7b791d4e779a981990289f8bc5,8/15(火) 19:30
niigatatvv,岩場から10m滑落も　山岳遭難・救助相次ぐ【新潟】,https://news.yahoo.co.jp/articles/324b13c850e456feb8ac1ebeb3f9aea1ee695855,8/15(火) 13:44
niigatatvv,【台風7号】16日に県内接近の見込み　暴風・猛烈な暑さに注意【新潟】,https://news.yahoo.co.jp/articles/379765da9f68c3d266f9312c29458b5f9538c7e2,8/15(火) 13:41
niigatatvv,フルーツそのままかき氷が人気　大輪のヒマワリも　猛暑のお盆休み　観光地にぎわう【新潟】,https://news.yahoo.co.jp/articles/f6419679dc9c646574cc119bfa4d2ebce26f6ce3,8/14(月) 20:57
niigatatvv,鉄道ファン歓喜　トキ鉄のお盆企画　レトロ鉄道旅を満喫【新潟】,https://news.yahoo.co.jp/articles/b99a4baf544247237af7e14015cc1f67f43a5e9f,8/14(月) 20:56
niigatatvv,雪国の知恵と財産　除雪した雪を生かした「雪冷房」　お盆休みにまだ間に合う？涼スポット【新潟・南魚沼市】,https://news.yahoo.co.jp/articles/9d28ab4c4b64daa5c1360103ac0e9459a916bc5e,8/14(月) 20:45
niigatatvv,遊園地で極寒体験　温度差100℃！？　お盆休みに間に合う？涼スポット【新潟】,https://news.yahoo.co.jp/articles/41fd1a2fa2cac40c0d2f7e2bd31a9f8fa2bddff7,8/14(月) 20:42
niigatatvv,地上との温度差ー8℃！　標高1100mの絶景「涼」スポットへ【新潟・南魚沼市】,https://news.yahoo.co.jp/articles/81abda70bd5f85accf00abbd8a54e334709f368b,8/14(月) 20:40
niigatatvv,【台風7号】フェーン現象で40℃に迫る猛暑　15～16日にかけて県内接近【新潟】,https://news.yahoo.co.jp/articles/c2806e454f5041f7ad1ceb83865f81fc6f460ccc,8/14(月) 20:33
niigatatvv,【気象予報士が解説】台風7号が接近　強風・フェーン現象で猛烈な暑さに注意【新潟】,https://news.yahoo.co.jp/articles/c5423fe4e8780a9c7ac4218d811d98474844d3ed,8/14(月) 20:06
niigatatvv,お盆休み終盤　お墓参りは暑さを避けて　4年ぶりに県外からも【新潟】,https://news.yahoo.co.jp/articles/3295e6653bb2d3b372762c50c7ee3d6d1b340dd6,8/14(月) 20:04
