media_en,media_jp,title_articles,link_articles,date_original
ftv,福島テレビ,住宅の庭先に3頭のクマが出没　木の上に子グマ1頭がとどまり麻酔銃で捕獲　山に帰す＜福島・下郷町＞,https://news.yahoo.co.jp/articles/424fa4d5156baa64b9e3202d328615fd9cee53d2,11/15(水) 17:05
ftv,福島テレビ,35歳男性が死亡　乗用車を運転し大型トラックと正面衝突　対向車線にはみ出したか＜福島・須賀川市＞,https://news.yahoo.co.jp/articles/51412600da8d24f1e47f5f08b6963c8125eb7d67,11/15(水) 14:35
ftv,福島テレビ,常磐興産の中間決算は大雨被害で赤字　観光事業は過去最高の売り上げ　集客・収益に明るい兆し＜福島県＞,https://news.yahoo.co.jp/articles/2b89fb807837e4c36a102b7b2ae949a56df8a86b,11/15(水) 11:58
ftv,福島テレビ,福島県議会議員選挙　当選した58人に当選証書交付される　任期は11月20日から4年間,https://news.yahoo.co.jp/articles/a88c795d69b00966381608da02f173b36052d524,11/15(水) 11:55
ftv,福島テレビ,乗用車と大型トラックが正面衝突　乗用車の30代男性が意識不明＜福島・須賀川市＞,https://news.yahoo.co.jp/articles/4902d1f4278ceb51db15d0d0429dc95df5d467bc,11/15(水) 11:52
ftv,福島テレビ,15日は底冷えの朝に　天気の大きな崩れはなし　福テレ・斎藤気象予報士《これから天気》11月14日,https://news.yahoo.co.jp/articles/7e2a5bc8d720255656ab49d0fbb39a40f664547f,11/14(火) 19:06
ftv,福島テレビ,白河ラーメン　好みの一杯に出会えるかも！？　スタンプラリーでまち歩き《もっと！ぐっと！白河市》,https://news.yahoo.co.jp/articles/a1067cb9b251931015fb3a3784846f3ceb73fe34,11/14(火) 18:57
ftv,福島テレビ,地域をサウナの聖地に！　企業の新たな挑戦　福島県産バレルサウナとストーブが誕生【福島発】,https://news.yahoo.co.jp/articles/da8ce3ccc7147cba811d3303e0830fe7327ac6e1,11/14(火) 18:57
ftv,福島テレビ,入試では興味・探究心が重要に《郡山市に中高一貫校誕生・後編》答えを深掘りして知識を広げる,https://news.yahoo.co.jp/articles/6ba49c23225b69dc1ee8012ef131064fd99ba209,11/14(火) 18:50
ftv,福島テレビ,次世代のリーダー養成　医学コース入門講座も《郡山市に中高一貫校誕生・前編》2025年開校に向け説明会,https://news.yahoo.co.jp/articles/671ba5c856eae1f3cf31b016dfd569b84e6d7f69,11/14(火) 18:50
ftv,福島テレビ,昭和村ー会津若松市　通院バスが開通　博士峠トンネル開通で冬も運行　バス予約と受診予約が連動【福島発】,https://news.yahoo.co.jp/articles/24d9521b7de1b2d2c7744129869f43a1f3746a73,11/14(火) 18:45
ftv,福島テレビ,福島県にデザイン缶の売り上げ一部を寄付…目録の贈呈式＜福島・福島市＞,https://news.yahoo.co.jp/articles/2f2b64b7f29fe73733c2b91a95e1598cbb8367b2,11/14(火) 18:42
ftv,福島テレビ,お歳暮　2023年は…家族や友人に高価格帯の商品贈る人も　年末商戦が幕開け＜福島・郡山市＞,https://news.yahoo.co.jp/articles/492c60017412710570bfba91e928043fffb46c86,11/14(火) 18:40
ftv,福島テレビ,福島・冬の風物詩　会津若松では雪吊り　木の枝を守る　広野町ではミカン　成熟早くたわわに,https://news.yahoo.co.jp/articles/fd4f2cf1f331dc02cd834fe7e0a82b6ee24a3f0e,11/14(火) 18:35
ftv,福島テレビ,関脇・若元春　過去6場所・6連勝中の翔猿との対戦　寄り切って2勝目《大相撲11月場所・三日目》,https://news.yahoo.co.jp/articles/425c8c1ea82c0f11d12e290ffec7769b6758d50a,11/14(火) 18:28
ftv,福島テレビ,またも…消防団のポンプ車が車検切れのまま使用　矢吹町が廃車の予定を消防団に伝えず＜福島県＞,https://news.yahoo.co.jp/articles/de8a98580460ba2d1d8f7d88866d888be91a4107,11/14(火) 18:25
ftv,福島テレビ,子どもたちの安全を守る　トヨタL＆F福島が郡山市に防犯機器寄贈　網で不審者を捉える＜福島県＞,https://news.yahoo.co.jp/articles/39f5ecb4a198d4cb4d6bccff44d82a37f1ca8958,11/14(火) 18:20
ftv,福島テレビ,改めて無罪主張　被告の高齢者施設元職員「暴力加えていない」《福島・小野町傷害致死事件公判》,https://news.yahoo.co.jp/articles/2e4ace076c7a5042f6ea3677d389c401f4a84e2d,11/14(火) 18:15
ftv,福島テレビ,エアレースパイロット・室屋義秀さん　国際レース優勝を福島県知事に報告　「エアレースX」初代王者,https://news.yahoo.co.jp/articles/945a35b6bbec52f7130c961b83ed093807e84c23,11/14(火) 17:30
ftv,福島テレビ,【地震】福島県内で震度2 福島県沖を震源とする最大震度2の地震が発生 津波の心配なし,https://news.yahoo.co.jp/articles/ef8de751e36dc04595028cef4687f71de7704b45,11/14(火) 16:30
ftv,福島テレビ,JFAアカデミー福島のサッカー教室　アカデミー生が小学生にサッカーの楽しさ伝える＜福島・広野町＞,https://news.yahoo.co.jp/articles/6974f27dd02534505c156f83f52ae2cdc4628139,11/14(火) 12:01
ftv,福島テレビ,2025年春開校予定　県立安積中学校の説明会始まる　県内3校目の公立中高一貫校＜福島・郡山市＞,https://news.yahoo.co.jp/articles/031bbfd8b9a407f9826dee8970aec61fa9bcd7ce,11/14(火) 11:56
ftv,福島テレビ,冬の風物詩　御薬園で雪吊りの作業始まる　雪の重みに負けないように＜福島・会津若松市＞,https://news.yahoo.co.jp/articles/11f5ede499e99acde5ebf95da8b92cde0396c5f4,11/14(火) 11:53
ftv,福島テレビ,「書の題材は自由。想像力を発揮した作品が多い」今月開催の書道展をPR＜福島・いわき市＞,https://news.yahoo.co.jp/articles/6263cfee2326d6882c784a4ea962bac886e7b614,11/13(月) 22:18
ftv,福島テレビ,白河だるまのテーマパーク　いろんな角度からだるまを楽しもう！《もっと！ぐっと！白河市》,https://news.yahoo.co.jp/articles/4cf854046cfd2d4b2a3c569e234ae8c60b5a2c9a,11/13(月) 20:00
ftv,福島テレビ,大熊町長選挙　現職の吉田淳氏が再選二期目へ　帰還困難区域残る町の復興課題＜福島県＞,https://news.yahoo.co.jp/articles/d5d448baeb765a1842ce48726f1b4aa7f363955f,11/13(月) 19:32
ftv,福島テレビ,《東日本女子駅伝》福島県チームの若きエースたち　学法石川の3選手がレースを振り返る,https://news.yahoo.co.jp/articles/4819436b80620565f1f2bc7cce0e7e2e05e08fb2,11/13(月) 19:25
ftv,福島テレビ,《福島県議選・記者解説》10選挙区の選挙結果　世代交代？単独過半数割れ自民　議席減らした立民・共産,https://news.yahoo.co.jp/articles/f9a35e14d50cb15789c5802e10044c8dcfb4af41,11/13(月) 18:45
ftv,福島テレビ,新たな勢力が誕生《福島県議会議員選挙》維新が初めて議席獲得　既成政党は議席を減らす,https://news.yahoo.co.jp/articles/feb2f388bc00b9d1a4854248ac61ea659262f11d,11/13(月) 18:45
ftv,福島テレビ,中学生がごみ問題を考える　ごみ減量に向け改善策を福島市に提案,https://news.yahoo.co.jp/articles/d37670992867f84761a3ccd3fd4ee5a0e387d855,11/13(月) 18:40
ftv,福島テレビ,出火元は寝室か　大熊町の災害公営住宅の火事　64歳の男性死亡　住宅一棟が全焼＜福島県＞,https://news.yahoo.co.jp/articles/2a4644ddc6ea462de490dc6937376f93fe56afe3,11/13(月) 18:35
ftv,福島テレビ,関脇・若元春　明生に左おっつけからの寄り切りで勝利　三日目は翔猿と《大相撲11月場所・二日目》,https://news.yahoo.co.jp/articles/e3e09470d2e3a03c23d0d7eed9748ce8755fa110,11/13(月) 18:28
ftv,福島テレビ,檜枝岐・土湯峠で積雪　14日は冬型・風冷えの朝に　福テレ・斎藤気象予報士《これから天気》11月13日,https://news.yahoo.co.jp/articles/8cc565187fbc7f3b3f0d8c3e8b078555d9bdce20,11/13(月) 18:08
ftv,福島テレビ,いわきFC　J2最終戦を勝利で飾る　藤枝に4対2　初のJ2シーズンは18位で終える,https://news.yahoo.co.jp/articles/79eefdc92e2f27994ec46a126458fcf88af3e7ad,11/13(月) 16:30
ftv,福島テレビ,《福島県議会議員選挙》自民党は単独過半数ならず　維新が初の議席獲得　既成政党が議席減らす,https://news.yahoo.co.jp/articles/4d6f43e9aa833a120043658a622945f7610cdea2,11/13(月) 12:00
ftv,福島テレビ,災害公営住宅で夜火事　住宅一棟全焼　家人の64歳男性が死亡＜福島・大熊町＞,https://news.yahoo.co.jp/articles/3ce94ac1a4569300d3dcddba32d4a61214b86c4e,11/13(月) 12:00
ftv,福島テレビ,今季一番の冷え込み　山間部では積雪　冬の景色広がる　14日にかけ山沿いで雪が降る予想＜福島県＞,https://news.yahoo.co.jp/articles/3ba108593399730b69538f098062769d160424a9,11/13(月) 11:55
ftv,福島テレビ,【開票速報】福島県議選《福島市選挙区・定数８》,https://news.yahoo.co.jp/articles/e788e7179ca7cc99fa2694e01acd7e5a931467d8,11/12(日) 23:54
ftv,福島テレビ,【開票速報】福島県議選《いわき市選挙区・定数１０》,https://news.yahoo.co.jp/articles/71f5ecc335337923a64fb66353156da620c78fb8,11/12(日) 23:48
ftv,福島テレビ,福島県議会議員選挙　大沼郡選挙区は現職が新人を退ける,https://news.yahoo.co.jp/articles/396722b0f37c79579e1c64b0f9b3369476a2455b,11/12(日) 23:01
ftv,福島テレビ,【速報】大熊町長選挙　現職の吉田淳候補が再選,https://news.yahoo.co.jp/articles/ae02ea09e7575cc28991bdc03d011c9ea8342355,11/12(日) 22:52
ftv,福島テレビ,大熊町で災害公営住宅１棟を焼く火事　男性１人が病院へ運ばれる＜福島県＞,https://news.yahoo.co.jp/articles/f7c76cb887421a776b154f426e85a6499b0848ea,11/12(日) 22:47
ftv,福島テレビ,【開票速報】福島県議選《会津若松市選挙区・定数４》,https://news.yahoo.co.jp/articles/97d271cddf838b7c696cdc4759d4760a7c6718ca,11/12(日) 22:38
ftv,福島テレビ,【開票速報】福島県議選《郡山市選挙区・定数１０》,https://news.yahoo.co.jp/articles/51cedc6bd31760b37efdf69c68e1d0895f379198,11/12(日) 22:26
