media_en,media_jp,title_articles,link_articles,date_original
ishikawa,石川テレビ,「能登の皆に勇気や元気を！」侍ジャパンの強化試合で始球式…被災地の児童が大役果たす,https://news.yahoo.co.jp/articles/4c4f70f230ca6f6ca42814fe630621bb389ff718,3/7(木) 12:31
ishikawa,石川テレビ,能登半島地震で震度7を観測した志賀町 加重収賄の罪に問われた前町長に懲役3年を求刑「深く深く反省」,https://news.yahoo.co.jp/articles/78cc5d4c6881c47490fe247e2c1f5af380083356,3/6(水) 22:27
ishikawa,石川テレビ,地震から2カ月超…故郷・輪島市の自主避難所で暮らす12人「他には行きたくない」全員が仮設住宅待ち望む,https://news.yahoo.co.jp/articles/8e590c039f1e221dc11a57bcc8ad6c0a0ae7ea6b,3/6(水) 21:01
ishikawa,石川テレビ,生き埋め時に無意識で撮影…能登半島地震で自宅が倒壊したカメラマン 大ケガから回復し復帰目指して故郷へ,https://news.yahoo.co.jp/articles/82a2265324a199346443191ad051eea5de2589fe,3/6(水) 20:58
ishikawa,石川テレビ,“出張輪島朝市”に向け…66日ぶりに魚さばいた朝市のメンバー 「朝市の火を消さない」干物等作り出店へ,https://news.yahoo.co.jp/articles/a8f3802a1e0059c8df7af67cdd06775e8027f913,3/6(水) 19:13
ishikawa,石川テレビ,能登半島地震の被災地で避難中の家からウイスキーなど盗んだか 少年少女4人組を摘発,https://news.yahoo.co.jp/articles/ff713f7b3cf6b394ac40c855bebb1c70dde343cf,3/6(水) 19:11
ishikawa,石川テレビ,集団避難中の生徒は別会場で…石川県内の全日制公立高校の入試始まる 2日間実施され合格発表は3/14,https://news.yahoo.co.jp/articles/86ba50d3b8bc944826a341b9f7c40849c9736733,3/6(水) 18:42
ishikawa,石川テレビ,「キャッチャーミットのど真ん中に思い切って投げたい」被災地の児童が侍ジャパン戦の始球式,https://news.yahoo.co.jp/articles/1c9612071484c05a4bfcd6d2bf27f5f5ff55899f,3/6(水) 12:35
ishikawa,石川テレビ,魅力に惹かれて移住し被災…能登半島地震で家と工房失った輪島塗職人「漆しかない」仲間の協力で活動再開へ,https://news.yahoo.co.jp/articles/3ac0e4f1f172aa320063e7defa1534f83d2ebc33,3/6(水) 12:35
ishikawa,石川テレビ,奥能登から集団避難する受験生は金沢で試験　全日制公立高校入試始まる,https://news.yahoo.co.jp/articles/2e8984ceb1eb02196e22d4a2385688e25858095d,3/6(水) 12:33
ishikawa,石川テレビ,復旧復興に小中学生の給食無償化で珠洲市で過去最大規模298億500万円の新年度予算案,https://news.yahoo.co.jp/articles/d63f726b28ebc3060c3f8b9bed53fe393d27cf12,3/5(火) 21:25
ishikawa,石川テレビ,全依頼には対応できず…県とは別に受け入れる志賀町災害ボランティアセンター ニーズとのマッチング課題に,https://news.yahoo.co.jp/articles/caba6efcbef2fe669d3f9bef9c735ad926258126,3/5(火) 21:25
ishikawa,石川テレビ,近所の人「地震も怖いけど火事も怖い…」金沢で木造住宅が全焼する火事 家にいた77歳男性が煙吸い搬送,https://news.yahoo.co.jp/articles/d6f207c2816fafd24ba0424bb80960b0ddb6329f,3/5(火) 21:25
ishikawa,石川テレビ,『モンベル』が大学等と協力…珠洲市のキャンプ場に“テント村” 新たなボランティア滞在拠点として活用へ,https://news.yahoo.co.jp/articles/75d93888d4adac03a67ffd00708727b4f7845547,3/5(火) 21:20
ishikawa,石川テレビ,地震直後から民宿再開へ準備…ミシュラン２つ星の宿・店主の思い【石川・輪島市】,https://news.yahoo.co.jp/articles/6320d3049170fc6944d3208e08f661c61bdcd132,3/5(火) 21:20
ishikawa,石川テレビ,海女漁は海底隆起で再開見込めず…「これを乗り越えて頑張りたい」三重の海女から見舞金,https://news.yahoo.co.jp/articles/1a7ea610f5fbde4898a0954f5636576ff9abebd9,3/5(火) 21:20
ishikawa,石川テレビ,「明るいニュースとなって届くのであればうれしい」北陸新幹線敦賀延伸の一番列車乗務員が意気込み,https://news.yahoo.co.jp/articles/8d0a7b0d96f2a0dc3740ff8df40c39fd082422fb,3/5(火) 12:21
ishikawa,石川テレビ,地震の影響で先行きは不安定…石川県内で2月に6企業が倒産　いずれも販売不振で,https://news.yahoo.co.jp/articles/8b86e8a05737c49e61b8d70b27587f57d4d2c9da,3/5(火) 12:21
ishikawa,石川テレビ,液晶ディスプレーメーカー『EIZO』地震で被災した七尾市の工場が再開 従業員が自発的に集まり復旧作業,https://news.yahoo.co.jp/articles/3f8c614095ba36f549d5b1e2db5f556e3c6ab063,3/4(月) 19:27
ishikawa,石川テレビ,地震で工場被災…練り物を製造する七尾市「スギヨ」人気カニカマ“ロイヤルカリブ”が5日以降に販売再開へ,https://news.yahoo.co.jp/articles/86a323e0250626e7dca80bd25bd0f6f02b947ca4,3/4(月) 19:25
ishikawa,石川テレビ,能登半島地震で遅れた冬の風物詩”あられ作り”志賀町で1カ月遅れで再開,https://news.yahoo.co.jp/articles/6337d29ed625d0eba8328486d8fbb55eab4239f9,3/4(月) 19:23
