media_en,media_jp,title_articles,link_articles,date_original
nbn,メ?テレ（名古屋テレビ）,連合愛知、春闘の賃上げ率が2013年以降で最高に　平均1万6507円,https://news.yahoo.co.jp/articles/a65909bc4f792365fe1f59f63614c96a24d338c7,4/9(火) 17:07
nbn,メ?テレ（名古屋テレビ）,おさい銭もキャッシュレス決済の時代？導入の寺は「参拝者の利便性を高めること必要」　愛知県,https://news.yahoo.co.jp/articles/d6cc38e4280d37b2c8ba68017b32d9f522ef01aa,4/9(火) 17:07
nbn,メ?テレ（名古屋テレビ）,伊勢神宮が式年遷宮の準備開始を宣言　2033年実施予定、130棟を建替えてご神体移す,https://news.yahoo.co.jp/articles/3b3b787cf7dbfe8d199e00f0857039a1d08b3ed8,4/9(火) 17:02
nbn,メ?テレ（名古屋テレビ）,不審者に遭遇した時は「こども110番の家」　春先は不審な声がけが増加傾向　愛知,https://news.yahoo.co.jp/articles/b326728db9e98af162bd8ee4964252761407fad3,4/9(火) 16:33
nbn,メ?テレ（名古屋テレビ）,名古屋の公立小学校で始業式　元気にあいさつしながら登校,https://news.yahoo.co.jp/articles/ea3c437c86b38cd1ed6d53bff776a8bdfd08453f,4/9(火) 12:20
nbn,メ?テレ（名古屋テレビ）,女性めぐりトラブルか　路上で男性を殺害しようとした疑いでブラジル国籍の男を逮捕　名古屋・港区,https://news.yahoo.co.jp/articles/41ee77b4285d8375e729172c278953e65ac11bc4,4/9(火) 5:12
nbn,メ?テレ（名古屋テレビ）,「1万円で1万3000円分」名古屋市のプレミアム付き商品券　販売申し込み開始へ　総額325億円分,https://news.yahoo.co.jp/articles/c9d61f937a604e70f3f816a2d3f1e362d80fe440,4/8(月) 21:16
nbn,メ?テレ（名古屋テレビ）,リニア中央新幹線、住宅街地下のトンネル工事始まる　愛知,https://news.yahoo.co.jp/articles/1c9612e8e4e6e96aa946413d2cb7add46199a86f,4/8(月) 19:37
nbn,メ?テレ（名古屋テレビ）,三重・津市の「津ぎょうざ」が文化庁「100年フード」に認定　県内では5件目,https://news.yahoo.co.jp/articles/143eb2c0eb67f00608c7be2ea3fa7b8a2cb4febd,4/8(月) 19:32
nbn,メ?テレ（名古屋テレビ）,椅子で一つの輪を作る「サークル対話」　みんなで顔をみながら“じゃんけん”　名古屋,https://news.yahoo.co.jp/articles/97bf0ac45faf24ef71183873019d3e9d4b30770d,4/8(月) 19:24
