media_en,media_jp,title_articles,link_articles,date_original
niigatatvv,UX新潟テレビ21,【甲子園｜初勝利】新潟産大附属　県勢7年ぶりの初戦突破　地元ＰＶで鳴りやまない大歓声に感涙も【新潟・柏崎市】,https://news.yahoo.co.jp/articles/b756190de100b0fe1f53b07eecd531526298ef5d,8/9(金) 14:12
niigatatvv,UX新潟テレビ21,長崎原爆投下から79年、新潟市で追悼式開催－平和への思い新たに【新潟】,https://news.yahoo.co.jp/articles/54051430f3cabb78ab523692b97ccdb28e56778b,8/9(金) 11:51
niigatatvv,UX新潟テレビ21,【甲子園・初勝利｜新潟産大附属】新潟産大附属の初戦 花咲徳栄に2－1で勝利！チーム初・新潟に令和初の勝利【新潟】,https://news.yahoo.co.jp/articles/91696118bbe4107b52da3f08a48b639949f0e2ba,8/9(金) 10:15
niigatatvv,UX新潟テレビ21,【甲子園・速報｜新潟産大附属】好守ひかる新潟産大附属 花咲徳栄との対戦 5回終えて1点を追う【新潟】,https://news.yahoo.co.jp/articles/9ff591abd6b98024d6ecb642ccfe8022c4ff0973,8/9(金) 9:08
niigatatvv,UX新潟テレビ21,【甲子園・速報｜新潟産大附属】3回終了 花咲徳栄との対戦 1点を追いかけ4回へ【新潟】,https://news.yahoo.co.jp/articles/f129f505bd66e8d879667b149490bcb8b563694b,8/9(金) 8:43
niigatatvv,UX新潟テレビ21,【新潟グルメ】絶品料理とグッドミュージック 新潟駅近で味わう極上イタリアン【新潟市中央区】,https://news.yahoo.co.jp/articles/01fe69e85f6a9331d7c98c088b3975d9586e7f16,8/8(木) 19:00
niigatatvv,UX新潟テレビ21,川の中に83歳の男性の遺体 近くにエンジンがかかったままのバイク 転落？警察が経緯調べる【新潟・三条市】,https://news.yahoo.co.jp/articles/ad9d43fb905e1252e2a4c4e34e8d0932e385d37f,8/8(木) 18:42
niigatatvv,UX新潟テレビ21,空き家を宿泊施設に－世界遺産きっかけに長期滞在を 佐渡市と「Airbnb」日本法人が連携協定【新潟・佐渡】,https://news.yahoo.co.jp/articles/454df8af169964cc065df2428306a5545dcab642,8/8(木) 17:51
niigatatvv,UX新潟テレビ21,【大盛況！】銀座から新潟の情報を発信 THE NIIGATA ついにオープン【新潟ー東京】,https://news.yahoo.co.jp/articles/fa9986ac9485dcf9407da6a1cc554f5f8d3d6fd8,8/8(木) 17:51
niigatatvv,UX新潟テレビ21,【注意】新型コロナ感染者数 5週連続の増加：お盆休み前に県が感染対策を呼びかけ【新潟】,https://news.yahoo.co.jp/articles/3d848ead4e6c65b29fda31265703e9b07c98e41c,8/8(木) 17:51
niigatatvv,UX新潟テレビ21,【速報・防災情報】宮崎・日向灘を震源とする最大震度6弱の地震 気象庁が「南海トラフ地震臨時情報」を発表,https://news.yahoo.co.jp/articles/3a524af3b9bb09ba0e143110eb5eced836c6cbfb,8/8(木) 17:29
niigatatvv,UX新潟テレビ21,【甲子園｜初戦前夜】新潟産大附属 新潟に「令和の初勝利」を 花咲徳栄・攻略のカギは速球対策か【新潟】,https://news.yahoo.co.jp/articles/54ec47a5dc258c8fc375efee1905386f161dadfb,8/8(木) 17:00
niigatatvv,UX新潟テレビ21,【パリ五輪｜銀メダル】「結果を出して恩返しができた」男子エペ団体 新潟市出身・古俣聖選手が帰国【新潟】,https://news.yahoo.co.jp/articles/42b0f90e70c1345eb5006a5b457132a6ff3130a1,8/8(木) 16:30
niigatatvv,UX新潟テレビ21,「海外ブランド品を安く購入して転売を」知人男性から約460万円をだまし取った疑い 別の詐欺事件で逮捕した女を再逮捕【新潟】,https://news.yahoo.co.jp/articles/ac6b4d71bfa9bb91fafd27d2b989cb77f20bed7f,8/8(木) 13:12
niigatatvv,UX新潟テレビ21,糖度高くみずみずしいナシ『幸水』出荷【新潟】,https://news.yahoo.co.jp/articles/42a4d7605304ee8a4099f45909453affdfa0953e,8/8(木) 11:52
niigatatvv,UX新潟テレビ21,【サッカー｜アルビ】数的優位のアディショナルタイム まさかの同点ゴール 痛恨のドロー【新潟】,https://news.yahoo.co.jp/articles/bcc0c35383188b59b8b52a4b1c5c951461b1344d,8/8(木) 8:30
niigatatvv,UX新潟テレビ21,【新潟グルメ】激戦区に挑んだ豚骨スープ 夏はコレ！旨辛！冷やし担々麺【三条市】,https://news.yahoo.co.jp/articles/468565c04036509d0a5c89a44e1062a7b23a53de,8/7(水) 21:00
niigatatvv,UX新潟テレビ21,ご本人登場『加トちゃん ペッ！』色褪せぬ笑い ザ・ドリフターズ60周年展示会【新潟】,https://news.yahoo.co.jp/articles/60b6d6de61f483c9b2e7fbbdb61044863625a561,8/7(水) 19:06
niigatatvv,UX新潟テレビ21,【夏休みの救世主】在宅も短時間もOK！ベビーシッター需要急増【新潟・南魚沼市】,https://news.yahoo.co.jp/articles/b01bae6c46a2854fb141a591c3ddfd3868ac0ff7,8/7(水) 19:04
