media_en,media_jp,title_articles,link_articles,date_original
absakita,ABS秋田放送,小学生が一日警察署長に！全国地域安全運動の出動式　秋田市,https://news.yahoo.co.jp/articles/355bf0a8fe87e9d6ecfc7b6c1cdbcb6c2d897d12,10/11(金) 11:50
absakita,ABS秋田放送,衆院選の準備本格化　立候補者のポスター掲示板の設置が始まる,https://news.yahoo.co.jp/articles/96106fc2f4c66d832b8cb6ee0f8a313e70a8f7e9,10/11(金) 11:50
absakita,ABS秋田放送,“戦後最短の解散”が影響…2市で期日前投票の開始日に入場券の配達が間に合わず　2市1町でも間に合わない可能性,https://news.yahoo.co.jp/articles/327da50e3d442228ed665c378581dd3670a0ac4e,10/10(木) 18:28
absakita,ABS秋田放送,【衆院選2024】立候補予定者の活動が本格化 秋田2区の顔ぶれと思いは,https://news.yahoo.co.jp/articles/c5de82b10621ba2ad4f7ad255667030b5df3f18d,10/10(木) 18:22
absakita,ABS秋田放送,12日オープン「道の駅十和田湖」報道機関にお披露目  県内34番目の道の駅は十和田湖観光の拠点として期待,https://news.yahoo.co.jp/articles/19e456c8b5157964bbd2ca8022aa568999546737,10/10(木) 18:21
absakita,ABS秋田放送,【訓練】大地震での停電を想定 避難所にLPガスを運ぶ手順を確認,https://news.yahoo.co.jp/articles/39469ed2bea41f6cd8f4674050da1920d2937792,10/10(木) 18:20
absakita,ABS秋田放送,殺人未遂と放火の罪に問われている女の裁判員裁判　検察側は懲役8年を求刑　女は黙秘を貫く,https://news.yahoo.co.jp/articles/5e8bdbb6ceffcea8d9b235d180b8461a3a1ec6f9,10/10(木) 18:20
absakita,ABS秋田放送,融資を受けるために手数料が必要…由利本荘市の80代男性　現金約300万円の詐欺被害　にかほ市でも50代男性が約200万円の暗号資産をだまし取られる被害に,https://news.yahoo.co.jp/articles/814b2a779c974cb414447cc50c55ca5ab19d5711,10/10(木) 18:15
absakita,ABS秋田放送,空き家再生による地域活性化へ　利活用や解体促す団体が秋田支部を設立,https://news.yahoo.co.jp/articles/ab1324f9fd6ac82a6c6347c7ad08a27db46ac89c,10/10(木) 17:50
absakita,ABS秋田放送,新型コロナの感染者数はほぼ横ばい　夏から流行続く手足口病は5週ぶりに増加　警報も,https://news.yahoo.co.jp/articles/f6061165d5af9ec81a4f00cefb48094f7d1d42cb,10/10(木) 17:49
