media_en,media_jp,title_articles,date_original
ncctv,長崎文化放送,【長崎いまコレ】本格タイ料理専門店のトムヤンクンラーメン！ 長崎市「タイ料理 かうけん」,11/19(火) 12:00
ncctv,長崎文化放送,【長崎】市民プール移転問題 鈴木市長が移転に反対する市民団体に説明,11/18(月) 19:04
ncctv,長崎文化放送,【長崎】県内外で住居侵入や窃盗繰り返した住所不定無職の男を追送検,11/18(月) 19:03
ncctv,長崎文化放送,【長崎】目指すは九州ナンバー１の丼！JR九州駅長対抗ご当地丼総選挙,11/18(月) 19:02
ncctv,長崎文化放送,【長崎】第103回全国高校サッカー選手権決勝,11/18(月) 19:00
ncctv,長崎文化放送,【ウインターカップ】長崎代表の初戦の相手が決定　男子・長崎工業vs和歌山南陵　女子・島原中央vs三田松聖（兵庫）,11/18(月) 16:16
ncctv,長崎文化放送,【長崎】時津町でバイクにはねられた７０代男性が死亡　運転手の１０代男性も意識不明の重体,11/17(日) 22:13
ncctv,長崎文化放送,【全九州高校駅伝】男子・鎮西学院が2時間6分24秒で2位　都大路に向け弾みをつける結果に　女子・諫早は入賞まであと1歩及ばず,11/16(土) 19:01
ncctv,長崎文化放送,【長崎】長崎市民総合プールは松山陸上競技場に移転　鈴木市長が最終判断示す,11/15(金) 20:32
ncctv,長崎文化放送,【長崎】諏訪神社で子供の成長を祝う「七五三」,11/15(金) 20:24
ncctv,長崎文化放送,【長崎】豪華景品が当たるチャンス！スタジアムシティで開業一カ月感謝祭始まる,11/15(金) 20:18
ncctv,長崎文化放送,【長崎】「長崎かんぼこ」の直売会　キッチンカーで熱々おでんの販売も,11/15(金) 20:11
ncctv,長崎文化放送,【長崎】県内で初検挙 自転車の酒気帯び運転で26歳男性を書類送検,11/15(金) 20:05
ncctv,長崎文化放送,【長崎】理由は「生活苦」…国見高校の女性事務職員が約2200万円横領で懲戒免職処分,11/15(金) 20:00
ncctv,長崎文化放送,【長崎】ＳＮＳ型投資詐欺やロマンス詐欺、連続強盗等事件が多発…県警にプロジェクトチーム発足,11/15(金) 19:55
ncctv,長崎文化放送,【長崎】２年連続！来年も最高峰リーグの公式戦を長崎で 三菱重工相模原ダイナボアーズが市長を表敬,11/15(金) 19:41
ncctv,長崎文化放送,【長崎】恐竜時代の生態系を通じて環境問題を学ぶ　トヨタソーシャルフェス,11/15(金) 19:34
ncctv,長崎文化放送,【長崎】第10回学生ものづくり＆アイデアコンテスト,11/15(金) 19:27
ncctv,長崎文化放送,【長崎】古賀友一郎氏が経済産業副大臣などに　金子容三氏が防衛大臣政務官に任命,11/14(木) 20:22
ncctv,長崎文化放送,【長崎】感染症週報・マイコプラズマ肺炎が増加傾向に,11/14(木) 20:18
ncctv,長崎文化放送,【長崎】開業から１カ月！スタジアムシティで歌手・石川さゆりさんコンサート,11/14(木) 20:14
ncctv,長崎文化放送,【長崎】冬の大雪に備え「立ち往生車両」移動訓練,11/14(木) 20:09
ncctv,長崎文化放送,【長崎】４０００円で１０店舗回れるはしご酒イベント「酒ＢＡＲ甲子園」１５日まで開催中,11/14(木) 20:03
ncctv,長崎文化放送,【長崎】「税を考える週間」に納税意識など高める啓発活動,11/14(木) 19:58
ncctv,長崎文化放送,長崎】佐世保重工業で７年ぶりの工場見学会,11/14(木) 19:54
ncctv,長崎文化放送,【長崎】諫早市の津久葉公園で起きた車両火災…遺体の身元は隣町の６１歳の女性と判明,11/14(木) 19:48
ncctv,長崎文化放送,【長崎】摘発されたメンズエステ店…働いていた女性会社員を不起訴,11/14(木) 19:45
ncctv,長崎文化放送,【長崎】長崎県立大の元教授(６３)　少女のわいせつ動画ネット掲載疑い逮捕,11/13(水) 21:40
ncctv,長崎文化放送,【長崎】米トランプ氏「現代のマンハッタン計画」声明に長崎の被爆者「言語道断」,11/13(水) 19:29
ncctv,長崎文化放送,【長崎】どう変わる？再開発進むＪＲ長崎駅周辺の整備方針検討会,11/13(水) 19:27
ncctv,長崎文化放送,【長崎】約４００人採用へ！トランスコスモスがスタジアムシティに県内４カ所目の活動拠点開所,11/13(水) 19:25
ncctv,長崎文化放送,【長崎】２０２４年問題　長崎労働局が商工会議所に要請書提出,11/13(水) 19:19
ncctv,長崎文化放送,【長崎】冬の風物詩！鎮西学院高校クリスマスツリーが点灯,11/13(水) 19:18
ncctv,長崎文化放送,【長崎】佐世保工業高校の事務職員が銃刀法違反の疑いで逮捕,11/12(火) 20:02
