media_en,title_articles,link_articles,date_original
ignjapan,『オーバーウォッチ 2』、Steamでリリースされた途端に批判的なレビューが殺到 現在の評価は「圧倒的に不評」,https://news.yahoo.co.jp/articles/3b5b8360955e671a80eefe33a9757b47651ba25a,8/12(土) 17:08
ignjapan,「ワンダーウーマン」第3作、企画は結局進行していないとの報道 ガル・ガドットの発言とは裏腹に,https://news.yahoo.co.jp/articles/20693e50492ab5e072cce1ad540e75fd23427f83,8/12(土) 14:08
ignjapan,ブルース・リーのアニメシリーズ『House of Lee』が2024年にリリースへ 予告編が公開,https://news.yahoo.co.jp/articles/ed430e024a5c49f557af1cf8b2a6aa79cd6232e7,8/12(土) 12:08
ignjapan,「ストレンジャー・シングス」ホッパー役のデヴィッド・ハーバー、ずっと“ストレンジャー・シングスの人”ではいたくないと語る,https://news.yahoo.co.jp/articles/e600a0f7523d23a6acdae8f6a064ada3f1d52546,8/11(金) 18:08
ignjapan,映画『アンチャーテッド』のプロデューサーは続編の製作を「間違いなく検討している」,https://news.yahoo.co.jp/articles/28b64b5d2835b6900231b51e10a030a7752c7a07,8/11(金) 16:08
ignjapan,リメイク版『ロリポップチェーンソー』が2024年夏に発売延期 正式タイトルが『Lollipop Chainsaw RePOP』に決定,https://news.yahoo.co.jp/articles/c93a9c00bffa0d2106ce1d6e521d4d38a92c19fd,8/11(金) 12:08
ignjapan,サイバーパンクアクション『Ghostrunner 2』、クローズドベータの参加受付開始,https://news.yahoo.co.jp/articles/3e8ddcc6c22d899a134414ba7a9f79097fd19405,8/11(金) 11:08
ignjapan,誕生から50年を迎える『エクソシスト』の新作『エクソシスト 信じる者』が12月1日に公開決定 あのテーマ曲が流れる特報映像も解禁,https://news.yahoo.co.jp/articles/af0bfe70e9b1b1ff710a8b78025b62d148981293,8/11(金) 8:08
ignjapan,ディズニーCEO、最近の劇場公開作品の興行成績が「期待外れ」だったことを認める,https://news.yahoo.co.jp/articles/6a8031a8d6907fa4a66e8c2c0d7133fc7821e6d5,8/10(木) 22:08
ignjapan,3年ぶりとなる「メタルギア in コンサート 2023」が9月24日に開催決定！オリジナル歌手によるMGS3のテーマが聴ける,https://news.yahoo.co.jp/articles/c3ab3eae91c9788b46849f5db37f779e8028ea13,8/10(木) 20:08
ignjapan,ソニーグループ第1四半期決算、ゲーム事業の売上高はソフトの増収やPS5の販売増などにより前年同期比28％増に,https://news.yahoo.co.jp/articles/d9c35dc17b94792aaefb60b2cac0a003a898b358,8/10(木) 19:08
ignjapan,映画『イコライザー THE FINAL』が10月6日に日本公開決定 デンゼル・ワシントンが19秒で悪を葬るシリーズ第3作,https://news.yahoo.co.jp/articles/48afa957c7b77b387e7a81367e5a15e67afd59c7,8/10(木) 18:08
ignjapan,『ファイナルファンタジーVII エバークライシス』の正式リリース日が9月7日に決定 FF7関連作のストーリーをたのしめるスマホゲー,https://news.yahoo.co.jp/articles/32e410ea92439d6f6c23ade101ce6a185f08532b,8/10(木) 17:08
ignjapan,ボクセルで描かれる「地球防衛軍」の新作「デジボク地球防衛軍2」が2024年に発売決定！,https://news.yahoo.co.jp/articles/cf66acfcd268e18f41771a160e054db160ffab15,8/10(木) 17:08
ignjapan,マカロフが登場する『Call of Duty: Modern Warfare III』のトレーラーが公開 旧シリーズでは空港テロ事件を起こした犯人,https://news.yahoo.co.jp/articles/f0e441c6a25c1074e28c600940efaff94a7fdece,8/10(木) 15:08
ignjapan,PS Plus8月のゲームカタログ追加ラインアップに『LOST JUDGMENT： 裁かれざる記憶』や懐かしの『サルゲッチュP!』などが登場,https://news.yahoo.co.jp/articles/0c2f609db5267788437348499812df5d8f4c4695,8/10(木) 15:08
ignjapan,コーヒー飲料のBOSSと「ゼルダの伝説 TotK」がコラボ！記念商品「ボス 伝説の序章」の販売やグッズが当たるキャンペーンが開催！,https://news.yahoo.co.jp/articles/1c0f16339ad66e11e41b1bfd6811c5e11ea39fc2,8/10(木) 13:08
ignjapan,ソニー、ハリウッドのストライキの影響で映画事業の売上予想を3％下方修正,https://news.yahoo.co.jp/articles/05c5f512565c60a8596d0252c35bc28bd300f5cb,8/10(木) 11:08
ignjapan,Disney+がアカウント共有の取り締まりを2024年に開始予定,https://news.yahoo.co.jp/articles/4853a4537d35683a431cc7da58d52146bd63782c,8/10(木) 10:08
ignjapan,『Baldur's Gate 3』の人気を受けて、重要な場面の直前にセーブし失敗したらやり直す行為についての議論が再燃,https://news.yahoo.co.jp/articles/676bf53f72094b6f6ebf9b5ceb46bbede5173002,8/10(木) 9:08
