media_en,media_jp,title_articles,date_original
fineplayv,FINEPLAY,歴代王者が集結！その結末はまさかの展開に?!【THE ONE’S -歴代王者へ挑戦の巻-】in YUSF ’24,11/16(土) 13:24
fineplayv,FINEPLAY,新バトルフォーマットの中で、男女共に前回大会王者が2連覇を果たす【FLAT ARK produced by ARK LEAGUE】in YUSF’24,11/15(金) 12:10
fineplayv,FINEPLAY,“AIRHEADZ”が世界への挑戦権を獲得！「Freestyle Session JAPAN 2024」,11/14(木) 23:03
fineplayv,FINEPLAY,世界最高峰レベルの異次元のコンボトリックの数々が披露された熾烈な一戦【SKATE ARK produced by ARK LEAGUE】in YUSF’24,11/14(木) 12:56
fineplayv,FINEPLAY,幅広い世代が躍動！YUSF ’24にてパルオニ、パルクールの全日本大会が開催！,11/13(水) 14:06
fineplayv,FINEPLAY,世界最高峰と言っても過言ではない日本一を決める戦いを制したのは「第8回全日本BMXフリースタイル選手権」フラットランド種目,11/6(水) 16:50
fineplayv,FINEPLAY,ネクストレベルへの突入を感じた今年の日本一を決める大会「第8回全日本BMXフリースタイル選手権」フリースタイル・パーク種目,11/6(水) 16:28
fineplayv,FINEPLAY,いよいよ今週末開催！日本最大級“入場無料”のアーバンスポーツの祭典 「YOKOHAMA URBAN SPORTS FESTIVAL 24」全コンテンツ紹介,11/6(水) 15:20
fineplayv,FINEPLAY,世界で戦い続けながら幅広い分野で活躍を続ける女性ロングボーダー田岡なつみ,11/2(土) 15:58
fineplayv,FINEPLAY,激戦の果てに見えてきた“時代の転換点”「Double Dutch Delight Japan 2024」Report,11/1(金) 17:02
fineplayv,FINEPLAY,「挑戦こそが我が人生」誰も成し遂げたことのない形で世界の高みへ挑戦し続ける“若手スケーター番長”櫻井壱世,10/24(木) 17:10
fineplayv,FINEPLAY,日本最大級“入場無料”のアーバンスポーツの祭典 YOKOHAMA URBAN SPORTS FESTIVAL ’24 世界を熱狂させたトップアスリートが横浜に集結！,10/24(木) 13:05
fineplayv,FINEPLAY,日本のキッズたちにサーフィンを通じて自然を大切にすること、そして夢を与え続けたい「Reo Inaba Meet&Greet Supported By CARIUMA」,10/22(火) 11:10
fineplayv,FINEPLAY,ブレイキン日本代表が上海で躍進！FISE上海大会 Shigekix 金メダル、 Ayumi 銅メダル獲得！,10/21(月) 10:39
fineplayv,FINEPLAY,プロダブルダッチチーム「FLY DIGGERZ」が、単独公演を川崎で定期開催！,10/19(土) 20:27
fineplayv,FINEPLAY,度重なる怪我や困難を乗り越え、男子エリートは中井飛馬が悲願の優勝「第41回全日本自転車競技選手権  BMXレーシング」,10/15(火) 0:27
fineplayv,FINEPLAY,日本のダブルダッチがパリ五輪 2024の“エキシビジョンアクト”に！,10/11(金) 21:52
fineplayv,FINEPLAY,KAZUfreakがインドでの世界大会決勝への切符を獲得！「Red Bull Dance Your Style 2024 Japan Final」,10/10(木) 23:30
fineplayv,FINEPLAY,U.S. Open Adaptive Surfing Championships大会レポート,10/10(木) 15:33
fineplayv,FINEPLAY,悪天候にも負けない国内最高峰の戦い「マイナビ Japan Cup Yokosuka」BMXフリースタイル・パーク/フラットランド種目,10/7(月) 9:41
fineplayv,FINEPLAY,Japan Street League 2024 年間王者が決まる最終戦 “BIG YEAR GIG” 大会レポート,10/4(金) 16:53
fineplayv,FINEPLAY,X Gamesを盛り上げたコンテンツの数々。大会の雛形種目である「Moto X・ベストトリック」では東野貴行が銅メダル獲得【X Games Chiba 2024】Moto X & 豪華コンテンツまとめレポート,10/3(木) 13:01
fineplayv,FINEPLAY,ここから生まれる、伝説の1ページ目。「ITADAKI ダブルダッチ甲子園 2024」Report,10/1(火) 20:22
fineplayv,FINEPLAY,山口県宇部市でアーバンスポーツを全身で楽しんだこの夏一番熱い1日「UBE URBAN SPORTS FES 2024」イベントレポート,10/1(火) 0:48
fineplayv,FINEPLAY,素晴らしいコンディションの中開催されたThe Open Surfing Miyazaki Series QS3000 IBK日向プロ・WSLプロジュニア Presented by RASH,9/28(土) 20:28
