media_en,media_jp,title_articles,link_articles,date_original
devi,デビュー,杉咲花の映画単独初主演作『市子』が満席続出のスマッシュヒット　市子と恋人・長谷川の2人の幸せな一幕をおさめた場面写真公開,https://news.yahoo.co.jp/articles/c9a9ab0c6de2ad41606c0b4aec171204daa0cb59,12/11(月) 19:31
devi,デビュー,【2023年ヒット＆ブレイク特別オーディション】『それってパクリじゃないですか？』で主演を務めた芳根京子、『だが、情熱はある』『ブギウギ』などに出演の富田望生が所属するジャパン・ミュージックエンターテインメントグループが新人を募集,https://news.yahoo.co.jp/articles/a8253019a994ace56a4d62a0213bf08ab93d3d22,12/11(月) 19:00
devi,デビュー,【第56回ミス日本コンテスト2024ファイナリスト】大学付属病院の研修医として勤務する26歳・早川知里さん「ミス日本の勉強会で培ったものは、患者さんと接し信頼関係を築く上で非常に役立つ」,https://news.yahoo.co.jp/articles/2d321c15e71c65b0df720ab08c6b5dbf8049fc43,12/11(月) 17:30
devi,デビュー,【第56回ミス日本コンテスト2024ファイナリスト】長野県出身の21歳大学生モデル・丸山蘭奈さん「動物の毛皮を使わない『ファーフリー』を日本でも広めていきたい」,https://news.yahoo.co.jp/articles/6ad21ca9e630d897edf1663937758743cf22bf0e,12/11(月) 17:00
devi,デビュー,SKE48江籠裕奈卒業写真集に秋元康が帯コメント寄稿　3種類の裏表紙画像も解禁「わたしのSKE48人生を見守って来てくださった全ての方に届けたい」,https://news.yahoo.co.jp/articles/d5d5cda17a43bfc1bdd3148df0af730299aa2d75,12/11(月) 16:00
devi,デビュー,『美少女図鑑』とエイベックス・クリエイティヴ・ファクトリーが共催　全国規模のシンガーコンテスト「美少女歌祭2023」グランプリは愛知県出身の17歳・Komomoさんに決定,https://news.yahoo.co.jp/articles/650ef81bb43860c80b9b76d46e05c7ea12ef449b,12/11(月) 15:30
devi,デビュー,【2023年ヒット＆ブレイク特別オーディション】『ONE DAY～聖夜のから騒ぎ～』出演の中村アン、モデル・バラエティ・ドラマなど幅広く活躍中の安斉星来が所属するプラチナムプロダクションが新人を募集,https://news.yahoo.co.jp/articles/5adfcf605500fc46cda6e8cc50ff17653b598a77,12/11(月) 12:00
devi,デビュー,ギリシャ神話から生まれたガールズユニット「アルテミスの翼」新メンバー3名加入 新体制お披露目ライブを開催,https://news.yahoo.co.jp/articles/6042a5c0ad633f58fe95d85c7799d72e98ce91ea,12/11(月) 11:55
devi,デビュー,【2023年ヒット＆ブレイク特別オーディション】『ハレーションラブ』主演の高橋ひかる、TBS金曜ドラマ『フェルマーの料理』出演の小芝風花が所属するオスカープロモーションが新人を募集,https://news.yahoo.co.jp/articles/ef77bfef81a12b30053d1f1406c2d306242469af,12/9(土) 17:02
devi,デビュー,美女軍団・ゼロイチファミリア、韓国で毎年恒例『#ゼロイチ大忘年会』を開催,https://news.yahoo.co.jp/articles/f487baab6294140d5f727d774172cf5b92b4bd54,12/8(金) 19:30
devi,デビュー,俳優・グラビアアイドルの豊田ルナ、ベトナムロケの2nd写真集発売　初の海外撮影でアオザイ姿やランジェリーショットも初挑戦,https://news.yahoo.co.jp/articles/1e43241cfa89c286c3acaf25c74b40d11b04b31c,12/8(金) 19:04
devi,デビュー,【2023年ヒット＆ブレイク特別オーディション】EX金曜ナイトドラマ『今日からヒットマン』ヒロインの山本舞香、映画『キングダム 運命の炎』出演の桜井日奈子が所属するインセントが新人を募集,https://news.yahoo.co.jp/articles/3b02cd781f52d68335f8c53829b6ab6f229775c3,12/8(金) 18:09
devi,デビュー,【第56回ミス日本コンテスト2024ファイナリスト】大阪府出身の関西大学2年・石村彩華さん「10年間のバスケットボール経験を活かし、スポーツの魅力を伝えるアナウンサーを目指しています」,https://news.yahoo.co.jp/articles/7f0c24d4b6e6bd435bd21b39aad39cc1fd6da388,12/8(金) 17:00
devi,デビュー,「2023ミセスSDGsジャパン」グランプリに静岡代表・朝日紋伽さん　審査員長はアンミカが務める,https://news.yahoo.co.jp/articles/3041d07dbd487468eaf4fc676299694fc607779f,12/8(金) 17:00
devi,デビュー,AKB48小栗有以、ファッションブランド「dazzlin」のモデルに起用「どのお洋服も本当に可愛くてずっとテンションが上がっていました」,https://news.yahoo.co.jp/articles/9700d730e9f68ce73eb7610304d6a1509d641969,12/8(金) 14:25
devi,デビュー,有村架純、ファンへの感謝を込めて制作した写真集「sou.」　カバー、先行カット、イベント情報解禁,https://news.yahoo.co.jp/articles/2be2983606af8bcf6bf4feef269c16c323a1451f,12/8(金) 12:00
devi,デビュー,ももいろクローバーZ・百田夏菜子、ヴァレンティノのポップアップストアに来店,https://news.yahoo.co.jp/articles/89f31511e41af5774503a028bc4d964d9f7c1238,12/8(金) 11:44
devi,デビュー,昨年のホリプロTSC落選のリベンジを果たし、見事グランプリに輝いた塚本恋乃葉さん「地元の友達もたくさん応援してくれて、“これはグランプリ獲らんと帰れん！”という気持ちに」,https://news.yahoo.co.jp/articles/9d03d3592a7f8ec46edbfc859c2dfcf8ff914763,12/8(金) 8:40
devi,デビュー,【第56回ミス日本コンテスト2024ファイナリスト】ウクライナにルーツを持つ身長172cmの日本人モデル・椎野カロリーナさん「人との違いに悩みを持つ子どもたちの励みになりたい」,https://news.yahoo.co.jp/articles/2c9116038a132f71790f961b608869abee64872e,12/7(木) 19:07
devi,デビュー,20歳以上からの『芸能界デビューへの挑戦』【4】芸能プロダクションに聞く「20歳を過ぎてからオーディションに挑む際に心がけておくこと」,https://news.yahoo.co.jp/articles/8619446379d6a58418f5a87d946f8bedf81586ae,12/7(木) 16:00
devi,デビュー,『美少女図鑑AWARD2023』3冠の「鳥取が生んだ超逸材！」　17歳の美少女・白濱美兎がデジタル写真集発売,https://news.yahoo.co.jp/articles/01bd31d8b8a004c1819c944ffd276d09e691156e,12/7(木) 12:29
devi,デビュー,スタイルアップを叶える韓国発フィットネスウエアブランド「XEXYMIX」ポップアップストアが期間限定オープン,https://news.yahoo.co.jp/articles/75780657e4165fd5b30bc09ee8db6c87da9ac625,12/7(木) 12:07
devi,デビュー,『アミューズボーイズオーディション』応募締切12月17日　鈴木仁・古屋呂敏・坂ノ上茜による直前YouTubeライブを山梨のアミューズ本社・西湖オフィスより10日生配信,https://news.yahoo.co.jp/articles/726390b1be2b10ebf46a23435b9e1be0430ea341,12/7(木) 12:00
devi,デビュー,数々のスターを生んだ雑誌業界で最も歴史あるコンテスト『ミスマガジン2024』エントリー受付中,https://news.yahoo.co.jp/articles/77491e7e57d2cb70926480ee4b6729edd52c705f,12/7(木) 11:55
devi,デビュー,桃月なしこ、鳥取ロケで露天風呂も食事も満喫「鳥取県大好きになっちゃいました」,https://news.yahoo.co.jp/articles/26ec3026e106cf6c3e04732651ca690e7b3795a3,12/6(水) 19:50
devi,デビュー,AKB48茂木忍、卒業記念写真集「どこへ行けば会える？」の限定版カバー解禁,https://news.yahoo.co.jp/articles/4de8a87a43e102611d79a978c329596f240b34bb,12/6(水) 19:33
devi,デビュー,富山県出身の26歳、管理栄養士の高木咲依さんが2024ミス・インターナショナル日本代表第5位に「持続可能な健康美を体現します」,https://news.yahoo.co.jp/articles/111001657be3a6619d3632952ce91ee3930a712d,12/6(水) 18:54
devi,デビュー,身長172cmの19歳大学生・河手マナミさんが2024ミス・インターナショナル日本代表第4位に「誰もが取り残されない社会を作るために努力をし続けます」,https://news.yahoo.co.jp/articles/01d177307ef7225fe794c365583b0e5b5c0e05c8,12/6(水) 18:44
